,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3046999,88604000,1201000082,Республика Марий Эл,1,180279.0,180279.0,23.12.2015,Электроснабжение,639.9,,281.7299578059072,0.0
3055124,88628000,1207000157,Республика Марий Эл,1,414000.0,414000.0,13.11.2015,Электроснабжение,3824.83,,108.24010478897101,0.0
3056938,88648000,1212000047,Республика Марий Эл,1,128473.31,128473.31,23.09.2014,Электроснабжение,318.8,,402.9903074027603,0.0
3056654,88644000,1211000015,Республика Марий Эл,1,139966.6,139966.6,05.10.2015,Электроснабжение,210.6,,664.6087369420703,0.0
3056081,88632000,1208000073,Республика Марий Эл,1,65642.37,65642.37,04.12.2015,Электроснабжение,320.6,,204.7485028072364,0.0
3055616,88628000,1207000337,Республика Марий Эл,1,782356.8,782356.8,10.11.2015,Электроснабжение,4097.2,,190.9491359953139,0.0
3052803,88701000,1215001716,Республика Марий Эл,1,92795.0,92795.0,11.12.2015,Электроснабжение,394.6,,235.16218955904714,0.0
3057258,88652000,1213000033,Республика Марий Эл,1,178525.0,178525.0,23.10.2015,Электроснабжение,548.3,,325.59730074776587,0.0
3055010,88628000,1207000118,Республика Марий Эл,1,930598.5,930598.5,14.12.2015,Электроснабжение,5109.8,,182.1203373908959,0.0
3055002,88628000,1207000117,Республика Марий Эл,1,565759.62,565759.62,30.11.2015,Электроснабжение,3824.95,,147.9129452672584,0.0
3054919,88628000,1207000091,Республика Марий Эл,1,492595.4,492595.4,05.11.2015,Электроснабжение,3604.4,,136.66502053046278,0.0
3053325,88715000,1217000156,Республика Марий Эл,1,96320.09,96320.09,10.12.2015,Электроснабжение,306.0,,314.7715359477124,0.0
3053263,88715000,1217000138,Республика Марий Эл,1,84515.0,84515.0,10.12.2015,Электроснабжение,288.1,,293.35300242971186,0.0
3055534,88628000,1207000309,Республика Марий Эл,1,1081390.0,975500.0,05.10.2016,Электроснабжение,722.0,,1351.1080332409972,-9.792026928305242
3055601,88628000,1207000332,Республика Марий Эл,1,1244190.0,976118.0,02.12.2016,Электроснабжение,739.6,,1319.791779340184,-21.545905368151164
3055595,88628000,1207000330,Республика Марий Эл,1,1244190.0,851674.0,02.12.2016,Электроснабжение,725.7,,1173.5896375912912,-31.547914707560743
3055945,88632000,1208000022,Республика Марий Эл,1,99000.0,52620.0,06.06.2016,Электроснабжение,228.0,,230.78947368421052,-46.84848484848485
