,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1518533,89657000,89657000146351,Республика Мордовия,1,1147030.0,129386.41,,Электроснабжение,276.3,"0,00000",468.2823380383641,0.8871987567892732
1513514,89701000,89701000127835,Республика Мордовия,1,2896000.0,1276385.73,,Электроснабжение,3765.03,"0,00000",339.0107728225273,0.5592590711325967
1494408,89631000,89631000176442,Республика Мордовия,1,526080.0,462950.39,,Электроснабжение,835.6,"0,00000",554.0334968884633,0.12000001900851578
1496654,89640000,89640000179882,Республика Мордовия,1,243504.0,214283.53,,Электроснабжение,461.59,"0,00000",464.22914274572673,0.1199999589329128
1518617,89657000,89657000117793,Республика Мордовия,1,231618.0,203823.85,,Электроснабжение,638.2,"0,00000",319.37300219366966,0.11999995682546259
1518492,89657000,8965700068244,Республика Мордовия,1,412234.0,362765.94,,Электроснабжение,1529.7,"0,00000",237.1484212590704,0.11999995148386595
1496557,89640000,89640000159805,Республика Мордовия,1,203950.0,179476.01,,Электроснабжение,358.0,"0,00000",501.3296368715084,0.11999995096837456
1489309,89610000,89610000153469,Республика Мордовия,1,390012.0,343210.58,,Электроснабжение,1200.0,"0,00000",286.0088166666667,0.11999994871952653
1497061,89640000,8964000036611,Республика Мордовия,1,186306.0,163949.29,,Электроснабжение,460.5,"0,00000",356.0245168295331,0.11999994632486335
1488114,89603000,8960300060392,Республика Мордовия,1,177785.0,156450.81,,Электроснабжение,343.6,"0,00000",455.32831781140857,0.11999994375228508
1496546,89640000,89640000103167,Республика Мордовия,1,167792.0,147656.97,,Электроснабжение,437.54,"0,00000",337.4707912419436,0.11999994040240297
1518604,89657000,8965700072969,Республика Мордовия,1,147030.0,129386.41,,Электроснабжение,278.6,"0,00000",464.4164034458004,0.11999993198666936
1518601,89657000,8965700066383,Республика Мордовия,1,147030.0,129386.41,,Электроснабжение,252.7,"0,00000",512.0158686189158,0.11999993198666936
