,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1558556,98631000,4756,Республика Саха (Якутия),1,320032.99,0.0,,Электроснабжение,2266.0,"0,00000",0.0,1.0
1559139,98631000,4732,Республика Саха (Якутия),1,102798.54,0.0,,Электроснабжение,611.0,"0,00000",0.0,1.0
1558757,98631000,4663,Республика Саха (Якутия),1,634645.72,0.0,,Электроснабжение,5253.9,"2214,22000",0.0,1.0
1558748,98631000,4700,Республика Саха (Якутия),1,854777.97,0.0,,Электроснабжение,3174.5,"0,00000",0.0,1.0
1558678,98631000,4797,Республика Саха (Якутия),1,1958813.8,0.0,,Электроснабжение,5523.8,"7721,65000",0.0,1.0
1542387,98701000,2727,Республика Саха (Якутия),1,929902.43,0.0,,Электроснабжение,3419.8,"510,40000",0.0,1.0
1558476,98631000,4778,Республика Саха (Якутия),1,824739.54,0.0,,Электроснабжение,2768.7,"0,00000",0.0,1.0
1558435,98631000,4777,Республика Саха (Якутия),1,793166.82,0.0,,Электроснабжение,2231.4,"0,00000",0.0,1.0
1558319,98631000,4689,Республика Саха (Якутия),1,293814.05,0.0,,Электроснабжение,2259.4,"0,00000",0.0,1.0
1558310,98631000,4754,Республика Саха (Якутия),1,320039.66,0.0,,Электроснабжение,2267.7,"0,00000",0.0,1.0
1558271,98631000,4752,Республика Саха (Якутия),1,362025.1,0.0,,Электроснабжение,2265.4,"0,00000",0.0,1.0
1558258,98631000,4751,Республика Саха (Якутия),1,307365.9,0.0,,Электроснабжение,1382.8,"0,00000",0.0,1.0
1558246,98631000,4773,Республика Саха (Якутия),1,102174.51,0.0,,Электроснабжение,561.4,"0,00000",0.0,1.0
1557497,98631000,4567,Республика Саха (Якутия),1,230287.87,0.0,,Электроснабжение,1357.1,"0,00000",0.0,1.0
1557478,98631000,7190,Республика Саха (Якутия),1,51357.79,0.0,,Электроснабжение,161.7,"0,00000",0.0,1.0
1557093,98631000,4513,Республика Саха (Якутия),1,136416.74,0.0,,Электроснабжение,475.2,"0,00000",0.0,1.0
1557064,98631000,4509,Республика Саха (Якутия),1,102736.14,0.0,,Электроснабжение,561.6,"0,00000",0.0,1.0
1556862,98631000,4484,Республика Саха (Якутия),1,100926.45,0.0,,Электроснабжение,552.6,"0,00000",0.0,1.0
1556857,98631000,4483,Республика Саха (Якутия),1,100635.24,0.0,,Электроснабжение,543.0,"0,00000",0.0,1.0
1556847,98631000,4482,Республика Саха (Якутия),1,63505.45,0.0,,Электроснабжение,342.3,"0,00000",0.0,1.0
1556839,98631000,4481,Республика Саха (Якутия),1,110536.51,0.0,,Электроснабжение,602.4,"0,00000",0.0,1.0
1556687,98631000,4463,Республика Саха (Якутия),1,108726.83,0.0,,Электроснабжение,566.0,"0,00000",0.0,1.0
1556308,98631000,4417,Республика Саха (Якутия),1,78066.15,0.0,,Электроснабжение,423.8,"0,00000",0.0,1.0
1556136,98631000,4396,Республика Саха (Якутия),1,105336.26,0.0,,Электроснабжение,547.7,"2815,06000",0.0,1.0
1555866,98620000,1276,Республика Саха (Якутия),1,83579.93,0.0,,Электроснабжение,539.2,"0,00000",0.0,1.0
1555367,98612000,848,Республика Саха (Якутия),1,263573.03,0.0,,Электроснабжение,1053.5,"348,57000",0.0,1.0
1555376,98612000,850,Республика Саха (Якутия),1,257437.8,0.0,,Электроснабжение,1034.1,"340,45000",0.0,1.0
1559158,98631000,4736,Республика Саха (Якутия),1,103547.38,0.0,,Электроснабжение,559.8,"0,00000",0.0,1.0
1569810,98616000,1148,Республика Саха (Якутия),1,74076.53,0.0,,Электроснабжение,360.1,"0,00000",0.0,1.0
1569712,98616000,1132,Республика Саха (Якутия),1,112099.09,0.0,,Электроснабжение,599.5,"0,00000",0.0,1.0
1565006,98656000,6825,Республика Саха (Якутия),1,159416.62,0.0,,Электроснабжение,599.0,"1323,25000",0.0,1.0
1570031,98622000,3636,Республика Саха (Якутия),1,92372.69,0.0,,Электроснабжение,528.0,"0,00000",0.0,1.0
1559170,98631000,4737,Республика Саха (Якутия),1,102673.74,0.0,,Электроснабжение,583.5,"0,00000",0.0,1.0
1564287,98646000,6207,Республика Саха (Якутия),1,125866.88,0.0,,Электроснабжение,580.9,"0,00000",0.0,1.0
1544111,98701000,3093,Республика Саха (Якутия),1,109788.24,0.0,,Электроснабжение,679.4,"0,00000",0.0,1.0
1563379,98660000,5467,Республика Саха (Якутия),1,547916.15,0.0,,Электроснабжение,4273.6,"0,00000",0.0,1.0
1562312,98660000,5498,Республика Саха (Якутия),1,324298.94,0.0,,Электроснабжение,3554.9,"1916,16000",0.0,1.0
1562276,98660000,5493,Республика Саха (Якутия),1,320081.61,0.0,,Электроснабжение,3504.6,"1916,51000",0.0,1.0
1561836,98660000,5440,Республика Саха (Якутия),1,1070303.19,0.0,,Электроснабжение,12250.3,"9582,56000",0.0,1.0
1561637,98660000,5249,Республика Саха (Якутия),1,1091375.15,0.0,,Электроснабжение,11681.0,"11501,39000",0.0,1.0
1559199,98631000,4741,Республика Саха (Якутия),1,104483.42,0.0,,Электроснабжение,544.2,"0,00000",0.0,1.0
1559189,98631000,4740,Республика Саха (Якутия),1,102840.14,0.0,,Электроснабжение,608.6,"0,00000",0.0,1.0
1559180,98631000,4739,Республика Саха (Якутия),1,102736.14,0.0,,Электроснабжение,611.4,"0,00000",0.0,1.0
1545289,98701000,1518,Республика Саха (Якутия),1,114511.06,0.0,,Электроснабжение,442.3,"0,00000",0.0,1.0
1569799,98616000,1146,Республика Саха (Якутия),1,113868.61,0.0,,Электроснабжение,575.7,"0,00000",0.0,1.0
1546006,98701000,1744,Республика Саха (Якутия),1,91837.47,2776.66,29.09.2016,Электроснабжение,640.3,"942,53000",4.336498516320475,0.9697654998553422
1543611,98701000,3074,Республика Саха (Якутия),1,80911.87,20000.0,16.12.2015,Электроснабжение,552.7,"1199,14000",36.18599601954043,0.7528174790670392
1543580,98701000,3073,Республика Саха (Якутия),1,41704.58,15000.0,16.12.2015,Электроснабжение,310.4,"955,66000",48.32474226804124,0.6403272734073812
1543869,98701000,2778,Республика Саха (Якутия),1,156236.08,76415.0,23.12.2015,Электроснабжение,1165.2,"6715,62000",65.58101613456917,0.5109004270972493
1549089,98701000,2271,Республика Саха (Якутия),1,759499.51,377364.96,01.10.2018,Электроснабжение,3935.6,"5525,62000",95.88498831182031,0.5031399559428287
1548834,98701000,2216,Республика Саха (Якутия),1,80131.47,40281.83,19.09.2016,Электроснабжение,554.19,"2010,15000",72.68595608004475,0.4973032442809298
1543523,98701000,3069,Республика Саха (Якутия),1,111456.73,60000.0,16.12.2015,Электроснабжение,889.0,"1536,96000",67.49156355455568,0.4616744991531691
1576518,98644000,6928,Республика Саха (Якутия),1,239018.39,129856.88,30.05.2018,Электроснабжение,870.6,"129,86000",149.15791408224214,0.45670757802359896
1543908,98701000,2780,Республика Саха (Якутия),1,155939.53,87270.0,23.12.2015,Электроснабжение,1159.29,"6315,92000",75.27883445902233,0.4403599908246485
1576947,98644000,6944,Республика Саха (Якутия),1,173640.56,106510.07,21.07.2018,Электроснабжение,948.7,"106,51000",112.26949509855592,0.38660604411780286
1554887,98702000,3602,Республика Саха (Якутия),1,53238.38,33043.77,02.11.2015,Электроснабжение,789.9,"1323,11000",41.83285225977971,0.379324276959592
1554864,98702000,3600,Республика Саха (Якутия),1,128030.76,81245.2,02.11.2015,Электроснабжение,859.4,"2891,38000",94.53711892017687,0.36542437145573453
1565000,98656000,6824,Республика Саха (Якутия),1,147573.27,96320.58,15.06.2016,Электроснабжение,618.4,"1020,72000",155.7577296248383,0.3473033429427971
1573027,98635000,5227,Республика Саха (Якутия),1,79563.63,52585.75,10.08.2016,Электроснабжение,574.1,"2840,15000",91.59684723915694,0.33907301615072116
1576704,98644000,6973,Республика Саха (Якутия),1,366471.73,242942.38,02.09.2015,Электроснабжение,2789.5,"242,94000",87.09172970066321,0.3370774329577891
1565012,98656000,6826,Республика Саха (Якутия),1,143136.23,96320.58,08.09.2016,Электроснабжение,398.8,"4553,40000",241.52602808425274,0.32707058164100034
1542354,98701000,2724,Республика Саха (Якутия),1,271603.06,187052.1,18.05.2016,Электроснабжение,1745.2,"193,94000",107.18089617235847,0.3113034146227955
1576737,98644000,6976,Республика Саха (Якутия),1,435014.65,301511.36,28.11.2018,Электроснабжение,2944.2,"3948,09000",102.40858637320834,0.3068937793244435
1548369,98701000,2135,Республика Саха (Якутия),1,1023146.05,722700.16,30.08.2018,Электроснабжение,3977.0,"25718,32000",181.71992959517226,0.29364907385411887
1568584,98608000,741,Республика Саха (Якутия),1,84805.06,60000.0,20.03.2016,Электроснабжение,577.3,"1209,19000",103.93209769617184,0.2924950468757406
1564240,98646000,6187,Республика Саха (Якутия),1,264022.99,188302.2,24.05.2018,Электроснабжение,921.4,"15211,22000",204.36531365313655,0.2867961990734215
1562147,98660000,5449,Республика Саха (Якутия),1,366118.99,262041.68,28.09.2018,Электроснабжение,3109.7,"3810,25000",84.2659034633566,0.2842718155646611
1545913,98701000,1747,Республика Саха (Якутия),1,169393.62,121375.55,19.09.2016,Электроснабжение,1355.9,"4357,94000",89.51659414411093,0.2834703573841801
1543835,98701000,2774,Республика Саха (Якутия),1,171407.06,123859.52,12.08.2016,Электроснабжение,1327.3,"3955,33000",93.31689896782943,0.27739545850678493
1574366,98639000,6025,Республика Саха (Якутия),1,381261.94,279311.62,30.07.2016,Электроснабжение,1629.7,"284,30000",171.3883659569246,0.26740230089580935
1548386,98701000,2136,Республика Саха (Якутия),1,633435.84,465879.72,30.08.2018,Электроснабжение,2970.7,"14427,47000",156.824896489043,0.2645194815626473
1546182,98701000,1767,Республика Саха (Якутия),1,522876.54,388962.15,01.09.2018,Электроснабжение,2900.5,"11909,83000",134.10175831753148,0.2561109167376298
1561875,98660000,5265,Республика Саха (Якутия),1,596137.49,450302.0,20.09.2016,Электроснабжение,8854.1,"8400,00000",50.85802057803729,0.24463398535797504
1546089,98701000,1755,Республика Саха (Якутия),1,1113213.19,840887.64,17.10.2018,Электроснабжение,5658.4,"10181,87000",148.6087303831472,0.24463018624491858
1546094,98701000,1756,Республика Саха (Якутия),1,765657.6,578590.8,13.12.2018,Электроснабжение,4040.3,"7763,11000",143.20491052644607,0.2443217438186468
1569199,98615000,1038,Республика Саха (Якутия),1,435194.58,329271.11,17.12.2018,Электроснабжение,1110.6,"9111,54000",296.48037997478843,0.24339335751837723
1553204,98701000,3310,Республика Саха (Якутия),1,473669.7,359248.0,30.08.2018,Электроснабжение,2630.5,"5522,67000",136.5702337958563,0.24156432214262388
1554781,98702000,3594,Республика Саха (Якутия),1,533420.89,406341.12,,Электроснабжение,2924.0,"15532,47000",138.96755129958962,0.23823545793266554
1554823,98702000,3597,Республика Саха (Якутия),1,519029.0,397410.55,,Электроснабжение,2851.3,"17415,19000",139.3787219864623,0.23431918062381873
1551768,98701000,2955,Республика Саха (Якутия),1,670595.13,515786.47,27.07.2018,Электроснабжение,3775.3,"8355,68000",136.62132015998728,0.23085264576854297
1546329,98701000,1781,Республика Саха (Якутия),1,260231.56,202009.58,,Электроснабжение,1443.6,"3099,74000",139.9345940703796,0.22373143365086084
1547083,98701000,1901,Республика Саха (Якутия),1,543476.46,424698.15,30.08.2018,Электроснабжение,2969.04,"7536,59000",143.0422459784981,0.21855281459660636
1552103,98701000,3008,Республика Саха (Якутия),1,158858.22,125570.17,17.01.2016,Электроснабжение,1177.9,"6439,11000",106.6051192800747,0.20954565649797663
1546355,98701000,1782,Республика Саха (Якутия),1,301363.5,239928.47,06.10.2018,Электроснабжение,1699.7,"7575,32000",141.15930458316174,0.2038569037059896
1576781,98644000,6981,Республика Саха (Якутия),1,622681.08,496869.0,03.10.2018,Электроснабжение,2699.1,"3498,73000",184.0869178615094,0.20204898469052562
1569258,98615000,1047,Республика Саха (Якутия),1,149995.35,120527.09,01.09.2015,Электроснабжение,604.0,"4819,20000",199.5481622516556,0.19646115696253255
1552130,98701000,3010,Республика Саха (Якутия),1,156126.82,125570.17,17.01.2016,Электроснабжение,1157.5,"5520,11000",108.48394816414687,0.19571685377310577
1576585,98644000,6957,Республика Саха (Якутия),1,432573.8,349257.43,30.10.2018,Электроснабжение,1745.5,"1604,19000",200.09019192208535,0.19260614027016892
1567018,98603000,323,Республика Саха (Якутия),1,68508.15,55686.34,25.11.2016,Электроснабжение,417.27,"626,27000",133.45397464471446,0.1871574403921285
1552127,98701000,3009,Республика Саха (Якутия),1,153691.98,125570.17,17.01.2016,Электроснабжение,1032.7,"5237,96000",121.59404473709692,0.18297512986689357
1564202,98660000,5420,Республика Саха (Якутия),1,756086.19,618712.79,10.10.2018,Электроснабжение,6403.0,"8265,97000",96.62857879119163,0.1816901324437627
1568729,98610000,793,Республика Саха (Якутия),1,192716.54,157740.83,27.12.2016,Электроснабжение,580.4,"5522,59000",271.77951412818743,0.18148784738455775
1552162,98701000,3011,Республика Саха (Якутия),1,153130.09,125570.17,17.01.2016,Электроснабжение,1138.8,"6239,89000",110.2653407095188,0.17997716843240932
1561618,98660000,5424,Республика Саха (Якутия),1,772950.02,635724.03,09.07.2018,Электроснабжение,6586.2,"9251,86000",96.523644893869,0.17753539873121418
1575772,98654000,6656,Республика Саха (Якутия),1,75471.89,62459.91,13.09.2016,Электроснабжение,524.9,"3887,84000",118.99392265193372,0.1724082966519057
1552168,98701000,3012,Республика Саха (Якутия),1,102497.74,85140.25,17.01.2016,Электроснабжение,730.1,"3724,07000",116.61450486234762,0.1693450997065887
1563732,98660000,5380,Республика Саха (Якутия),1,766704.57,636956.44,28.09.2018,Электроснабжение,6450.0,"11837,13000",98.75293643410852,0.16922832480312464
1563969,98660000,5393,Республика Саха (Якутия),1,773989.71,643008.92,28.09.2018,Электроснабжение,6530.5,"13131,13000",98.4624331980706,0.16922807668851297
1561915,98660000,5269,Республика Саха (Якутия),1,552499.11,459122.84,03.07.2018,Электроснабжение,4530.6,"9424,98000",101.33819803116585,0.16900709577613612
1552185,98701000,3013,Республика Саха (Якутия),1,151054.22,125570.17,17.01.2016,Электроснабжение,1137.8,"5497,34000",110.36225171383371,0.1687079645970831
1552207,98701000,3014,Республика Саха (Якутия),1,149259.3,125570.17,17.01.2016,Электроснабжение,1124.8,"5146,07000",111.63777560455192,0.15871124948328172
