,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4050223,60704000,60404000205201,Ростовская область,1,1110212.0,365003.0,11.09.2018,Электроснабжение,6188.0,"0,00000",58.985617323852615,0.6712312603358638
4165520,60737000,60437000201970,Ростовская область,1,566698.24,217189.0,,Электроснабжение,582.9,"111,83000",372.60078915766,0.6167466480926428
4102099,60701000,60401372205181,Ростовская область,1,578249.0,287347.0,10.10.2017,Электроснабжение,325.0,"1524,53889",884.1446153846153,0.5030739352770174
4160122,60737000,60437000207081,Ростовская область,1,147928.0,79939.0,09.10.2018,Электроснабжение,152.4,"140,48590",524.5341207349081,0.459608728570656
4142044,60701000,60401372205327,Ростовская область,1,507667.0,275949.0,10.10.2018,Электроснабжение,397.5,"367,62197",694.211320754717,0.4564369951168778
4170896,60737000,60437000206057,Ростовская область,1,746043.0,406986.0,09.10.2018,Электроснабжение,442.14,"5197,50489",920.491247116298,0.45447380378878965
4060731,60712000,60412000205161,Ростовская область,1,252613.0,146830.0,10.10.2018,Электроснабжение,819.0,"5262,07085",179.27960927960928,0.4187551709531972
4051361,60704000,60404000201127,Ростовская область,1,1483108.0,887561.0,,Электроснабжение,3376.0,"6719,71313",262.9031398104265,0.40155335956653193
4066933,60715000,60415000205368,Ростовская область,1,255649.0,155828.0,10.10.2018,Электроснабжение,394.0,"2210,45313",395.502538071066,0.3904611400787799
4050221,60704000,60404000205201,Ростовская область,1,1110212.0,745209.0,14.06.2018,Электроснабжение,6188.0,"0,00000",120.42808661926308,0.3287687396641362
4117673,60701000,60401380205584,Ростовская область,1,3879545.0,2616576.0,10.10.2018,Электроснабжение,6805.33,"6849,17950",384.48921654056454,0.3255456503275513
4103444,60701000,60401368205221,Ростовская область,1,578963.0,393198.0,09.10.2018,Электроснабжение,480.5,"3578,71431",818.3100936524454,0.3208581550116329
4207377,60650000,60250812205032,Ростовская область,1,1029433.0,704765.0,13.09.2019,Электроснабжение,1273.3,"825,50015",553.4948558862798,0.3153852654810949
4212449,60657000,60257501205019,Ростовская область,1,370691.0,253928.0,09.10.2018,Электроснабжение,746.1,"2960,25572",340.34043693874816,0.314987415394493
4064753,60712000,60412000205480,Ростовская область,1,302573.0,209017.0,10.10.2018,Электроснабжение,427.2,"277,09304",489.2720037453184,0.3092014158566693
4064736,60712000,60412000205619,Ростовская область,1,302573.0,211903.0,10.10.2018,Электроснабжение,430.4,"1764,10524",492.33968401486993,0.29966322176797006
4048555,60704000,60404000205022,Ростовская область,1,259513.0,183689.0,,Электроснабжение,477.5,"2584,11458",384.6890052356021,0.2921780411771279
4060604,60712000,60412000205158,Ростовская область,1,343458.0,244455.0,10.10.2018,Электроснабжение,1205.0,"6525,05337",202.86721991701245,0.2882535855912513
4105140,60701000,60401368205862,Ростовская область,1,426969.0,310652.0,10.10.2018,Электроснабжение,1072.9,"1000,49387",289.54422592972315,0.2724249301471535
4212298,60657000,60257501205085,Ростовская область,1,273893.0,199317.0,10.10.2018,Электроснабжение,497.2,"2769,81857",400.87892196299276,0.2722815113931353
4158224,60701000,60401380205500,Ростовская область,1,610636.0,445871.0,10.10.2018,Электроснабжение,914.5,"669,86709",487.5571350464735,0.2698252313980833
4150127,60701000,60401372205343,Ростовская область,1,286330.0,209363.0,10.10.2017,Электроснабжение,269.6,"2976,03031",776.5689910979228,0.2688052247406838
