,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2289568,36701000,1107347,Самарская область,1,1240777.75,0.0,26.01.2017,Электроснабжение,3507.4,"7754,86095",0.0,1.0
2284755,36701000,1106497,Самарская область,1,1343934.24,0.0,30.09.2018,Электроснабжение,3799.0,"1616,48627",0.0,1.0
2239035,36724000,16020,Самарская область,1,783083.14,0.0,30.10.2017,Электроснабжение,2213.6,"4869,79367",0.0,1.0
2239156,36724000,16037,Самарская область,1,240698.3,0.0,30.09.2018,Электроснабжение,680.4,"1504,36437",0.0,1.0
2272914,36701000,1104537,Самарская область,1,1575187.15,0.0,31.03.2018,Электроснабжение,4452.7,"6564,92100",0.0,1.0
2299369,36701000,1108901,Самарская область,1,2652280.22,62556.52,31.12.2018,Электроснабжение,7497.4,"11288,58675",8.343761837436977,0.9764140608038769
2332114,36602000,21038,Самарская область,1,460701.65,17700.0,23.11.2017,Электроснабжение,1302.3,"2878,88227",13.591338401290026,0.9615803416375869
2319210,36740000,120895,Самарская область,1,7087050.96,434529.58,15.12.2017,Электроснабжение,20033.5,"39987,42320",21.69014800209649,0.9386868272215726
2301613,36701000,1109307,Самарская область,1,262104.04,17192.6,31.12.2018,Электроснабжение,748.8,"1007,08983",22.96020299145299,0.9344054368639262
2299430,36701000,1108898,Самарская область,1,3146412.19,347587.63,,Электроснабжение,8894.2,"0,00000",39.080257920892265,0.8895288954496455
2314813,36740000,120361,Самарская область,1,3322513.92,388452.18,15.12.2017,Электроснабжение,9392.0,"19180,82084",41.35989991482112,0.8830848600327308
2267308,36701000,1103674,Самарская область,1,622575.71,73875.14,,Электроснабжение,1889.8,,39.09151232934702,0.8813395080897068
2345660,36622000,21306,Самарская область,1,277443.36,38107.35,,Электроснабжение,784.27,"0,00000",48.589580119091636,0.8626481815964167
2256465,36701000,1101857,Самарская область,1,2459056.51,342459.98,,Электроснабжение,6951.2,"0,00000",49.26631085280239,0.8607352134416789
2280628,36701000,1105862,Самарская область,1,982462.27,139474.57,,Электроснабжение,5585.6,"0,00000",24.97038276997995,0.8580356984090595
2349864,36630000,217031,Самарская область,1,1263630.72,184369.99,31.05.2018,Электроснабжение,3572.0,"1903,54718",51.61533874580067,0.8540950397280623
2264187,36701000,1103145,Самарская область,1,1888227.54,278121.6,,Электроснабжение,5354.3,"0,00000",51.94359673533421,0.8527075820533789
2248541,36701000,110426,Самарская область,1,2129233.1,320149.51,30.06.2017,Электроснабжение,7096.5,"15182,94558",45.11371943916015,0.8496409294031734
2252079,36701000,110952,Самарская область,1,699171.26,105998.94,15.12.2017,Электроснабжение,2582.7,"4347,61639",41.04190962945755,0.8483934537011719
2283444,36701000,1106302,Самарская область,1,4725136.94,719044.52,,Электроснабжение,13357.3,"17918,48971",53.8315767408084,0.8478256759263363
2321420,36740000,1201186,Самарская область,1,1764053.39,271172.25,15.06.2017,Электроснабжение,9882.8,"11025,33366",27.43880782774113,0.8462788872846984
2255974,36701000,1101786,Самарская область,1,3526993.87,546803.97,,Электроснабжение,10123.3,"0,00000",54.01439945472326,0.844965999331323
2263759,36701000,1103069,Самарская область,1,336107.38,52634.41,,Электроснабжение,950.1,"0,00000",55.39881065151037,0.8434000169826678
2277079,36701000,1105281,Самарская область,1,811207.05,127035.02,30.06.2019,Электроснабжение,3565.7,"3271,75372",35.62695122977256,0.8434000049679056
2253713,36701000,1101493,Самарская область,1,1428313.54,223673.9,,Электроснабжение,5575.0,"0,00000",40.12087892376682,0.8434000002548461
2282793,36701000,1106224,Самарская область,1,1305789.33,204486.61,,Электроснабжение,5446.1,"4079,58030",37.547347643267656,0.8433999992939137
2289511,36701000,1107336,Самарская область,1,1594936.9,249767.12,,Электроснабжение,6121.7,"0,00000",40.80028750183772,0.8433999990846032
2243734,36701000,1101349,Самарская область,1,715543.68,114058.29,,Электроснабжение,3470.71,,32.86310005733697,0.8405991231730255
2321295,36740000,1201170,Самарская область,1,962838.74,154054.2,,Электроснабжение,4400.0,"0,00000",35.01231818181819,0.8399999983382472
2327672,36740000,1201989,Самарская область,1,1294217.09,224996.08,09.07.2017,Электроснабжение,4397.7,"8088,85681",51.16221661322964,0.8261527515449514
2287957,36701000,1106990,Самарская область,1,1109258.7,209975.12,23.11.2017,Электроснабжение,2254.4,"1980,50439",93.1401348474095,0.8107068080692087
2283131,36701000,1106264,Самарская область,1,9196380.34,1855881.44,,Электроснабжение,29630.04,"36134,70412",62.63513110343421,0.7981943578466656
2346103,36624000,21402,Самарская область,1,244989.41,49875.0,30.10.2017,Электроснабжение,692.53,"1522,75901",72.01854071303771,0.7964197717770739
2301126,36701000,1109228,Самарская область,1,1376565.04,286029.52,,Электроснабжение,6466.4,"0,00000",44.23319312136584,0.7922150340241098
2257207,36701000,1101970,Самарская область,1,1580281.3,331766.57,23.11.2017,Электроснабжение,4467.1,"9728,39672",74.2688925701238,0.7900585357809398
2239231,36724000,16048,Самарская область,1,784109.04,166743.99,30.10.2017,Электроснабжение,2216.5,"4890,89340",75.22850891044439,0.7873459155629682
2243747,36701000,1101351,Самарская область,1,1691963.33,368506.32,15.12.2017,Электроснабжение,4782.8,"10574,77000",77.04823952496446,0.7822019464216166
2239212,36724000,16045,Самарская область,1,771692.06,169444.83,30.10.2017,Электроснабжение,2182.1,"4808,77570",77.65218367627514,0.7804242925604289
2239223,36724000,16047,Самарская область,1,782941.63,179173.08,30.10.2017,Электроснабжение,2213.2,"4893,38301",80.95656967287186,0.7711539747860898
2239067,36724000,16024,Самарская область,1,771302.93,180292.92,30.10.2017,Электроснабжение,2181.5,"4762,79407",82.64630758652304,0.7662488848577302
