,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
401724,10621000,106211010091,Амурская область,64,87570.0,150750.0,29.02.2016,ИРД,291.1,"1524,69000",517.8632772243215,72.14799588900308
380089,10701000,107750000136,Амурская область,64,163579.0,163579.0,07.05.2015,ИРД,347.76,"66,79000",470.3789970094318,0.0
360251,10710000,107100000326,Амурская область,64,113260.0,103261.39,,ИРД,302.1,"3,00000",341.81194968553456,-8.828015186297012
385203,10712000,107120000139,Амурская область,64,127990.0,127990.0,11.12.2017,ИРД,402.0,"1949,95000",318.3830845771144,0.0
362784,10701000,107010000894,Амурская область,64,38070.0,38074.0,20.08.2019,ИРД,125.5,"38,07000",303.3784860557769,0.010506960861578207
390173,10730000,107300000028,Амурская область,64,133840.0,133840.0,24.02.2017,ИРД,454.0,"133,84000",294.80176211453744,0.0
350201,10605000,106051510056,Амурская область,64,120575.0,174958.0,21.07.2017,ИРД,655.7,"120,58000",266.8262925118194,45.10304789550072
416007,10649000,106491010042,Амурская область,64,143230.0,143234.0,01.07.2016,ИРД,552.7,"3819,65000",259.15324769314276,0.0027927110242353947
358076,10710000,107100000252,Амурская область,64,74780.0,74781.74,03.08.2018,ИРД,293.4,"1700,60000",254.87982276755287,0.0023268253543706763
349713,10605000,106051510013,Амурская область,64,122200.0,122199.0,27.09.2017,ИРД,482.4,"2076,95000",253.31467661691545,-0.0008183306055675743
372105,10701000,107010000476,Амурская область,64,73930.0,73929.95,19.11.2018,ИРД,299.3,"1278,51000",247.00952221850983,-6.763154335454047e-05
393152,10730000,107300000218,Амурская область,64,87146.0,162300.0,22.12.2017,ИРД,670.3,"200,00000",242.1303893778905,86.23918481628532
390347,10730000,107300000041,Амурская область,64,85573.0,117070.0,05.02.2018,ИРД,483.5,"1746,85000",242.1302998965874,36.80717048601778
391264,10730000,107300000100,Амурская область,64,86586.0,156270.0,22.12.2017,ИРД,645.4,"200,00000",242.1289123024481,80.47952324856212
393754,10730000,107300000254,Амурская область,64,100762.0,204180.0,22.12.2017,ИРД,843.3,"200,00000",242.12024190679475,102.63591433278418
394404,10730000,107300000299,Амурская область,64,86642.0,141130.0,22.12.2017,ИРД,582.9,"200,00000",242.1170012008921,62.888668313289166
391968,10730000,107300000146,Амурская область,64,88740.0,131760.0,05.02.2018,ИРД,544.2,"2615,13000",242.1168687982359,48.4787018255578
393760,10730000,107300000255,Амурская область,64,84234.0,110670.0,22.12.2017,ИРД,457.1,"200,00000",242.11332312404286,31.384001709523467
393312,10730000,107300000230,Амурская область,64,78151.0,67960.0,22.12.2017,ИРД,280.7,"200,00000",242.1090131813324,-13.040140241327691
368116,10701000,107010000224,Амурская область,64,71092.83,71092.83,10.07.2018,ИРД,301.7,"71,09000",235.6408021213126,0.0
409944,10775000,107750000083,Амурская область,64,107430.0,107430.0,27.09.2017,ИРД,457.2,"2649,30000",234.9737532808399,0.0
359797,10710000,107100000290,Амурская область,64,119630.0,99629.32,,ИРД,428.7,"0,00000",232.3986937252158,-16.718782913984775
389713,10730000,107300000279,Амурская область,64,72310.0,72306.7,12.10.2018,ИРД,312.8,"1752,12000",231.15952685421993,-0.004563684137748325
381814,10701000,107010001107,Амурская область,64,153620.0,103619.47,,ИРД,449.64,"0,00000",230.44984876790323,-32.54819033979951
386053,10712000,107120000055,Амурская область,64,80870.0,80867.89,13.11.2018,ИРД,355.0,"1885,19000",227.79687323943662,-0.0026091257573912507
