,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2570123,83615000,83615124,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,1450.0,"0,00000",0.0,
2570129,83615000,83615125,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,1450.0,"0,00000",0.0,
2570133,83615000,83615115,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,976.0,"0,00000",0.0,
2570145,83615000,83615139,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,2984.0,"0,00000",0.0,
2570150,83615000,83615140,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,2801.0,"0,00000",0.0,
2570168,83615000,83615130,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,4115.0,"0,00000",0.0,
2570172,83615000,83615120,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,3150.0,"0,00000",0.0,
2570182,83615000,83615123,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,3999.0,"0,00000",0.0,
2570189,83615000,83615118,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,440.0,"0,00000",0.0,
2570198,83615000,83615119,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,950.0,"0,00000",0.0,
2570221,83615000,83615132,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,2177.0,"0,00000",0.0,
2570227,83615000,83615128,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,875.0,"0,00000",0.0,
2570230,83615000,83615129,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,875.0,"0,00000",0.0,
2570239,83615000,83615131,Кабардино-Балкарская Республика,76,0.0,0.0,,ИРД,620.4,"0,00000",0.0,
