,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2987054,29620000,40260196,Калужская область,20,165160.0,153245.0,15.12.2015,ИРД,158.9,"1385,40336",964.4115796098174,-7.21421651731654
3009142,29701000,40012274,Калужская область,20,307138.7,307138.7,21.03.2018,ИРД,360.6,"3572,09604",851.7434830837493,0.0
2999698,29701000,40011339,Калужская область,20,110000.0,302954.13,28.06.2019,ИРД,527.2,"302,95413",574.6474393019727,175.41284545454548
2999724,29701000,40011343,Калужская область,20,120000.0,270469.03,28.06.2019,ИРД,485.4,"270,46903",557.2085496497734,125.39085833333337
3026783,29613000,40090034,Калужская область,20,132191.2,228481.3,28.06.2019,ИРД,429.5,"5982,33029",531.9704307334109,72.8415355938973
3036276,29623000,40130451,Калужская область,20,141970.0,141970.0,27.07.2015,ИРД,269.8,"192,99780",526.2045959970349,0.0
2992413,29701000,40010628,Калужская область,20,142768.2,142768.2,22.03.2018,ИРД,271.7,"2235,50189",525.4626426205374,0.0
2985634,29620000,40260106,Калужская область,20,142410.0,140189.0,14.07.2015,ИРД,269.1,"2139,85694",520.9550353028613,-1.5595814900638993
3037402,29625000,40140028,Калужская область,20,50000.0,90594.8,28.02.2019,ИРД,176.2,"2100,99953",514.1589103291715,81.1896
3036310,29623000,40130450,Калужская область,20,115810.0,115810.0,27.07.2015,ИРД,225.7,"115,81000",513.1147540983607,0.0
3005605,29701000,40011914,Калужская область,20,180000.0,143876.54,28.06.2019,ИРД,281.6,"4038,29379",510.9252130681818,-20.068588888888883
2979220,29606000,40050413,Калужская область,20,144790.0,133556.0,14.07.2015,ИРД,271.2,"286,54076",492.46312684365785,-7.758823123143865
2976550,29602000,40030045,Калужская область,20,111300.0,106250.0,11.12.2015,ИРД,221.7,"820,60594",479.2512404149752,-4.537286612758306
2979202,29606000,40050412,Калужская область,20,143890.0,131557.0,14.07.2015,ИРД,279.4,"345,56546",470.8554044380816,-8.571130724859266
