,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4914218,46770000,100655512,Московская область,64,994972.92,989998.06,,ИРД,466.9,"0,00000",2120.3642321696298,0.004999995376758581
4928766,46652000,100648731,Московская область,64,543835.46,1128281.06,,ИРД,625.6,"563,88117",1803.5183184143223,-1.0746735786592514
4991425,46659000,100633299,Московская область,64,671533.13,702044.94,,ИРД,424.6,"404,42506",1653.4266132830896,-0.04543604572420714
4972937,46657000,100243855,Московская область,64,246587.19,245213.96,,ИРД,155.7,"246,07606",1574.9130378933849,0.005568942977127118
4521132,46639000,100353606,Московская область,64,0.0,132437.1,,ИРД,99.4,"7,23973",1332.3651911468812,
4815027,46645101,100757128,Московская область,64,15501.41,240753.21,,ИРД,199.4,"1048,13664",1207.3882146439316,-14.531052336529386
4933502,46653000,100882254,Московская область,64,557862.3,3129946.07,,ИРД,2612.3,"1108,89131",1198.1572062933046,-4.610606900663478
4624690,46618000,100764178,Московская область,64,261552.57,423522.89,,ИРД,356.5,"577,72460",1188.0024964936886,-0.6192648766555802
4928781,46652000,100369375,Московская область,64,0.0,894200.59,,ИРД,804.7,"0,00000",1111.2223064496084,
4813930,46645101,100771359,Московская область,64,138660.51,155522.93,,ИРД,146.1,"49,27249",1064.4964407939767,-0.12160938972458693
4903612,46770000,100503202,Московская область,64,285677.12,385031.29,,ИРД,371.2,"0,00000",1037.2610183189654,-0.3477848348513174
4570184,46716000,100170863,Московская область,64,848824.98,790563.29,,ИРД,771.2,"0,00000",1025.1080005186723,0.06863804832887922
4710504,46742000,100218700,Московская область,64,640732.29,614911.59,,ИРД,610.3,"0,00000",1007.5562674094708,0.04029873381283791
4570051,46716000,100840840,Московская область,64,427492.21,427039.39,,ИРД,431.7,"32,49784",989.2040537410239,0.001059247372016456
4903277,46770000,100301960,Московская область,64,379445.23,377548.01,,ИРД,382.42,"0,00000",987.2601066889807,0.004999983792127185
4857033,46648000,100583860,Московская область,64,117187.05,233202.22,,ИРД,236.4,"0,00000",986.4730118443316,-0.989999918933022
4570244,46716000,100233085,Московская область,64,833030.53,775806.49,,ИРД,791.9,"0,00000",979.6773456244475,0.06869380885716161
4586379,46709000,100690513,Московская область,64,821144.11,836211.17,,ИРД,877.4,"0,00000",953.0558126282198,-0.018348862052971503
4586422,46709000,100105092,Московская область,64,828327.21,834655.63,,ИРД,877.1,"0,00000",951.6082886785999,-0.0076400001395584265
4813114,46645101,100924143,Московская область,64,421602.09,407031.41,,ИРД,431.4,"0,00000",943.512772369031,0.034560265106845296
4586478,46709000,100523475,Московская область,64,829343.46,829506.68,,ИРД,879.9,"0,00000",942.7283554949427,-0.000196806278547236
4586430,46709000,100633448,Московская область,64,831235.34,834325.27,,ИРД,889.6,"0,00000",937.8656362410072,-0.003717274580746352
4824463,46760000,100377662,Московская область,64,1441236.51,1415099.15,,ИРД,1513.6,"0,00000",934.9227999471459,0.01813537182734852
4653561,46738000,101776036,Московская область,64,554907.77,636564.3,,ИРД,689.0,"0,00000",923.8959361393324,-0.14715333685091492
4914162,46770000,100502729,Московская область,64,547669.53,822279.18,,ИРД,898.43,"3392,48123",915.2401188740359,-0.5014148769605642
4629068,46618000,100145245,Московская область,64,183673.4,272099.46,,ИРД,298.61,"19,26699",911.2201868658116,-0.48143095298502686
4587683,46709000,100234846,Московская область,64,0.0,958705.94,19.09.2019,ИРД,1052.8,"9214,20475",910.6249430091185,
4914143,46770000,100434295,Московская область,64,469049.27,699712.54,,ИРД,770.68,"2631,29014",907.9157886541757,-0.49176767719945497
4817397,46645101,100958976,Московская область,64,286452.0,383341.19,,ИРД,423.1,"0,00000",906.0297565587331,-0.33823883233491125
4677324,46734000,100052034,Московская область,64,1836847.23,2385953.47,,ИРД,2657.7,"0,00000",897.7512397938068,-0.2989395258526754
4629410,46618000,100437873,Московская область,64,205287.99,252649.69,,ИРД,283.5,"15,67569",891.1805643738977,-0.23070857676574266
