,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
338650,57708000,10005210,Пермский край,20,350511.44,332387.74,25.05.2017,ИРД,139.0,,2391.278705035971,-5.1706443589972455
340661,57627000,10004548,Пермский край,20,0.0,1102015.0,30.11.2016,ИРД,655.0,,1682.4656488549617,
340654,57627000,10004544,Пермский край,20,0.0,890048.0,03.11.2016,ИРД,533.0,,1669.8836772983113,
341324,57657000,10017320,Пермский край,21,1438141.59,1404096.46,22.09.2017,ИРД,861.0,,1630.7740534262484,-2.3673002878666582
339090,57701000,10003767,Пермский край,20,1477023.25,1445438.43,16.01.2017,ИРД,887.0,,1629.5810935738443,-2.138410482028641
339600,57701000,10010825,Пермский край,20,778541.0,812615.55,26.08.2016,ИРД,513.0,,1584.0459064327486,4.376718759834097
340523,57616000,10016950,Пермский край,20,0.0,1011273.52,30.12.2016,ИРД,649.0,,1558.2026502311248,
340892,57640000,10006618,Пермский край,21,0.0,480732.4,29.12.2016,ИРД,322.0,,1492.9577639751553,
339264,57701000,10017072,Пермский край,20,1577678.61,1573194.71,20.01.2017,ИРД,1294.0,,1215.7609814528594,-0.2842087083883449
339864,57701000,10011762,Пермский край,20,3437938.44,2480678.46,21.11.2017,ИРД,2352.0,,1054.7102295918367,-27.844011657172086
338945,57701000,10009792,Пермский край,21,0.0,1649551.84,23.08.2016,ИРД,1640.0,,1005.8242926829269,
338965,57701000,10010897,Пермский край,20,4909932.77,3402988.03,01.11.2017,ИРД,3489.0,,975.3476726855832,-30.69175914602187
340874,57640000,10007591,Пермский край,21,0.0,353071.3,30.12.2016,ИРД,382.0,,924.2704188481675,
338735,57708000,10005009,Пермский край,20,3415185.72,3396260.25,25.12.2017,ИРД,3909.0,,868.8309669992325,-0.5541563929940541
340359,57730000,10000549,Пермский край,20,0.0,4141111.27,08.12.2016,ИРД,5185.0,,798.6714117647059,
339603,57701000,10010999,Пермский край,20,3114304.71,2487888.65,01.11.2017,ИРД,3259.2,,763.3433511291114,-20.114154468847723
339918,57701000,10014921,Пермский край,20,5195127.22,3693682.19,01.11.2017,ИРД,5264.0,,701.68734612462,-28.901025257279457
340894,57640000,10006618,Пермский край,20,212977.27,212977.27,07.07.2017,ИРД,322.0,,661.4200931677018,0.0
339163,57701000,10008835,Пермский край,20,3041549.41,2457590.56,21.07.2017,ИРД,3973.0,,618.573007802668,-19.199387262296685
341105,57646000,10002804,Пермский край,20,0.0,133000.0,,ИРД,256.0,,519.53125,
339341,57701000,10012927,Пермский край,20,2490.0,711708.7,20.12.2016,ИРД,3071.0,,231.75144903940082,28482.678714859434
340620,57627000,10003375,Пермский край,20,0.0,127000.0,,ИРД,694.0,,182.9971181556196,
341204,57651000,10003160,Пермский край,21,0.0,94321.0,,ИРД,580.0,,162.62241379310345,
338966,57701000,10015168,Пермский край,20,67810.0,978978.18,22.12.2016,ИРД,6732.0,,145.4215953654189,1343.7076832325615
340642,57627000,10004503,Пермский край,20,78000.0,78000.0,,ИРД,636.0,,122.64150943396227,0.0
341384,57658000,10012260,Пермский край,20,0.0,65705.0,,ИРД,577.0,,113.87348353552859,
340800,57634000,10018152,Пермский край,20,0.0,21500.0,,ИРД,207.0,,103.86473429951691,
340389,57615000,10007561,Пермский край,20,0.0,36680.0,,ИРД,376.0,,97.55319148936171,
340811,57636000,10006546,Пермский край,20,0.0,75000.0,,ИРД,778.0,,96.40102827763496,
339421,57701000,10008734,Пермский край,20,0.0,253129.37,15.08.2018,ИРД,2962.0,,85.45893652937204,
340594,57624000,10002452,Пермский край,20,0.0,24810.0,,ИРД,291.0,,85.25773195876289,
340771,57851000,10012107,Пермский край,20,0.0,10700.0,,ИРД,126.0,,84.92063492063492,
341370,57658000,10009352,Пермский край,20,0.0,22960.0,,ИРД,292.0,,78.63013698630137,
340980,57646000,10001841,Пермский край,20,0.0,75000.0,,ИРД,954.0,,78.61635220125787,
339552,57701000,10009540,Пермский край,20,0.0,277288.7,25.06.2018,ИРД,3529.0,,78.57429866817796,
341348,57657000,10009375,Пермский край,20,0.0,30000.0,,ИРД,385.0,,77.92207792207792,
341389,57658000,10012336,Пермский край,20,0.0,35550.0,,ИРД,470.0,,75.63829787234043,
341379,57658000,10007369,Пермский край,20,0.0,28430.0,,ИРД,376.0,,75.61170212765957,
339903,57701000,10009509,Пермский край,20,0.0,1864463.72,09.08.2018,ИРД,24717.0,,75.4324440668366,
341329,57657000,10020410,Пермский край,20,0.0,35000.0,,ИРД,464.0,,75.43103448275862,
340357,57730000,10001977,Пермский край,20,0.0,59910.0,,ИРД,813.0,,73.69003690036901,
340570,57620000,10010383,Пермский край,20,0.0,15300.0,,ИРД,208.5,,73.38129496402878,
341172,57646000,10002972,Пермский край,20,0.0,44990.0,,ИРД,615.0,,73.15447154471545,
341024,57646000,10001867,Пермский край,20,0.0,55000.0,,ИРД,753.0,,73.04116865869854,
341409,57658000,10012447,Пермский край,20,0.0,21370.0,,ИРД,294.0,,72.68707482993197,
341405,57658000,10012446,Пермский край,20,0.0,21370.0,,ИРД,296.0,,72.19594594594595,
339933,57701000,10006904,Пермский край,20,0.0,144589.38,07.09.2018,ИРД,2031.0,,71.19122599704579,
339836,57701000,10014012,Пермский край,20,0.0,99794.43,,ИРД,1417.0,,70.42655610444601,
340822,57640000,10006635,Пермский край,20,29664.5,29664.5,,ИРД,426.0,,69.6349765258216,0.0
339383,57701000,10008767,Пермский край,20,0.0,176347.26,03.09.2018,ИРД,2538.0,,69.48276595744682,
339681,57701000,10005878,Пермский край,20,0.0,98231.24,,ИРД,1423.0,,69.03108924806747,
340291,57730000,10016663,Пермский край,20,0.0,42804.0,,ИРД,626.0,,68.37699680511182,
338643,57708000,10007065,Пермский край,20,0.0,48500.0,,ИРД,712.0,,68.11797752808988,
340789,57634000,10018290,Пермский край,20,0.0,43500.0,,ИРД,641.0,,67.86271450858034,
340349,57730000,10016654,Пермский край,20,0.0,30852.0,,ИРД,455.0,,67.80659340659341,
340802,57634000,10018155,Пермский край,20,0.0,15300.0,,ИРД,226.0,,67.69911504424779,
340384,57615000,10007558,Пермский край,81,44542.17,32961.21,17.05.2018,ИРД,489.0,,67.40533742331289,-25.99999057073331
