,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5439382,66603000,2187,Смоленская область,20,,,01.02.2016,ИРД,302.32,"1094,12818",,
5439383,66603000,2187,Смоленская область,52,,,10.08.2015,ИРД,302.32,"1094,12818",,
5439390,66603000,2266,Смоленская область,20,,,08.09.2016,ИРД,1711.0,"3882,79599",,
5439392,66603000,2266,Смоленская область,20,,,05.09.2016,ИРД,1711.0,"3882,79599",,
5439405,66603000,2188,Смоленская область,52,,,10.08.2015,ИРД,490.89,"1648,69689",,
5439407,66603000,2188,Смоленская область,20,,,01.02.2016,ИРД,490.89,"1648,69689",,
5439412,66603000,2250,Смоленская область,20,,,16.04.2019,ИРД,316.45,"98,42222",,
5439421,66603000,2193,Смоленская область,52,,,10.08.2015,ИРД,519.66,"1515,91384",,
5439422,66603000,2193,Смоленская область,20,,,01.02.2016,ИРД,519.66,"1515,91384",,
5439430,66603000,2199,Смоленская область,52,,,10.08.2015,ИРД,955.3,"3291,26969",,
5439433,66603000,2199,Смоленская область,20,,,12.05.2016,ИРД,955.3,"3291,26969",,
5439434,66603000,2199,Смоленская область,20,,,01.02.2016,ИРД,955.3,"3291,26969",,
5439441,66603000,2201,Смоленская область,64,,,04.07.2018,ИРД,858.2,"2849,25258",,
5439442,66603000,2201,Смоленская область,64,,,08.11.2018,ИРД,858.2,"2849,25258",,
5439446,66603000,2201,Смоленская область,20,,,01.07.2016,ИРД,858.2,"2849,25258",,
5439447,66603000,2201,Смоленская область,64,,,14.06.2018,ИРД,858.2,"2849,25258",,
5439462,66603000,2198,Смоленская область,20,,,12.05.2016,ИРД,326.78,"1298,87088",,
5439463,66603000,2198,Смоленская область,20,,,01.02.2016,ИРД,326.78,"1298,87088",,
5439528,66603000,2194,Смоленская область,52,,,10.08.2015,ИРД,1058.66,"3265,99374",,
5439530,66603000,2194,Смоленская область,20,,,01.02.2016,ИРД,1058.66,"3265,99374",,
5439531,66603000,2194,Смоленская область,20,,,12.05.2016,ИРД,1058.66,"3265,99374",,
5439555,66603000,2257,Смоленская область,20,,,,ИРД,964.34,"0,00000",,
5439580,66603000,2191,Смоленская область,52,,,10.08.2015,ИРД,518.44,"1508,05588",,
5439583,66603000,2191,Смоленская область,20,,,01.02.2016,ИРД,518.44,"1508,05588",,
5439585,66603000,2196,Смоленская область,20,,,27.10.2016,ИРД,583.32,"2011,55523",,
5439587,66603000,2196,Смоленская область,52,,,10.08.2015,ИРД,583.32,"2011,55523",,
5439589,66603000,2196,Смоленская область,20,,,01.02.2016,ИРД,583.32,"2011,55523",,
5439590,66603000,2197,Смоленская область,52,,,10.08.2015,ИРД,375.4,"1343,37746",,
5439593,66603000,2197,Смоленская область,20,,,01.02.2016,ИРД,375.4,"1343,37746",,
5439627,66603000,2288,Смоленская область,20,,,,ИРД,605.59,"0,00000",,
5439647,66603000,2292,Смоленская область,20,,,17.04.2019,ИРД,570.95,"79,95612",,
5439663,66603000,2265,Смоленская область,20,,,,ИРД,341.99,"0,00000",,
5439668,66603000,2269,Смоленская область,20,,,,ИРД,375.27,"0,00000",,
5439683,66603000,2300,Смоленская область,20,,,,ИРД,753.6,"0,00000",,
5439697,66603000,2291,Смоленская область,20,,,,ИРД,852.95,"0,00000",,
5439741,66605000,3687,Смоленская область,52,,,26.07.2016,ИРД,4682.72,"2204,02465",,
5439742,66605000,3687,Смоленская область,20,,,20.03.2017,ИРД,4682.72,"2204,02465",,
5439744,66605000,3687,Смоленская область,20,,,14.05.2016,ИРД,4682.72,"2204,02465",,
5439747,66605000,3723,Смоленская область,52,,,26.07.2016,ИРД,5689.5,"2835,50247",,
5439748,66605000,3723,Смоленская область,20,,,20.03.2017,ИРД,5689.5,"2835,50247",,
5439749,66605000,3723,Смоленская область,20,,,14.05.2016,ИРД,5689.5,"2835,50247",,
5439765,66605000,464,Смоленская область,20,,,14.05.2016,ИРД,4348.0,"2062,38860",,
5439766,66605000,464,Смоленская область,20,,,20.03.2017,ИРД,4348.0,"2062,38860",,
5439768,66605000,464,Смоленская область,52,,,26.07.2016,ИРД,4348.0,"2062,38860",,
5439770,66605000,912,Смоленская область,20,,,14.05.2016,ИРД,4730.0,"2518,96697",,
5439771,66605000,912,Смоленская область,52,,,26.07.2016,ИРД,4730.0,"2518,96697",,
