,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
422878,68606000,4130,Тамбовская область,64,922129.58,922129.58,25.12.2018,ИРД,428.1,"922,12958",2154.005092268161,0.0
424247,68705000,120,Тамбовская область,64,1516725.59,1516725.59,25.12.2018,ИРД,732.35,"1516,72559",2071.0392435310987,0.0
424888,68705000,54,Тамбовская область,64,525321.81,525321.81,25.12.2018,ИРД,273.9,"525,32181",1917.932858707558,0.0
422948,68606000,4108,Тамбовская область,64,957095.18,957095.18,25.12.2018,ИРД,505.1,"957,09518",1894.8627598495348,0.0
424174,68705000,116,Тамбовская область,64,1172327.35,1172327.35,25.12.2018,ИРД,650.73,"1172,32735",1801.5572510872405,0.0
425360,68705000,5739,Тамбовская область,64,576894.1,576894.1,25.12.2018,ИРД,339.5,"576,89410",1699.2462444771722,0.0
425440,68705000,144,Тамбовская область,64,1560988.24,1560988.24,25.12.2018,ИРД,989.88,"1560,98824",1576.9469430638057,0.0
424753,68705000,142,Тамбовская область,64,4370113.0,4370113.0,25.12.2018,ИРД,3359.78,"4370,11300",1300.7140348475198,0.0
445152,68622000,5101,Тамбовская область,64,3794134.66,3794134.66,25.12.2018,ИРД,6931.5,"6442,65376",547.3756993435765,0.0
434552,68715000,542,Тамбовская область,52,25682.0,25682.0,25.12.2018,ИРД,222.8,"25,68200",115.26929982046678,0.0
473986,68640000,4209,Тамбовская область,21,52708.4,52708.4,25.12.2015,ИРД,478.8,"3967,45440",110.0843776106934,0.0
446701,68725000,1102,Тамбовская область,20,360371.0,360371.0,25.12.2016,ИРД,3759.7,"2786,13425",95.85099874990026,0.0
439359,68720000,3904,Тамбовская область,21,21652.8,21652.8,25.12.2015,ИРД,250.0,"1137,62980",86.6112,0.0
430166,68715000,297,Тамбовская область,21,46680.0,46680.0,25.12.2015,ИРД,593.98,"3108,32930",78.58850466345667,0.0
474629,68640000,4937,Тамбовская область,21,33550.63,33550.63,25.12.2015,ИРД,434.2,"2289,84663",77.26999078765546,0.0
439723,68720000,951,Тамбовская область,21,14192.0,14192.0,25.12.2014,ИРД,184.7,"1135,42700",76.83811586356254,0.0
474619,68640000,2820,Тамбовская область,21,35820.3,35820.3,25.12.2015,ИРД,467.2,"2651,13230",76.67016267123289,0.0
452540,68701000,2311,Тамбовская область,21,29926.0,29926.0,25.12.2015,ИРД,401.7,"2917,80300",74.49838187702265,0.0
439027,68720000,4539,Тамбовская область,21,10740.0,10740.0,25.12.2014,ИРД,145.1,"723,23100",74.01791867677464,0.0
449522,68632000,3264,Тамбовская область,20,48600.0,48600.0,25.12.2016,ИРД,658.0,"1513,03100",73.86018237082067,0.0
449515,68632000,3239,Тамбовская область,20,30400.0,30400.0,25.12.2016,ИРД,415.0,"1434,80800",73.25301204819277,0.0
474268,68640000,3311,Тамбовская область,21,37735.0,37735.0,25.12.2015,ИРД,516.8,"3101,48800",73.01664086687308,0.0
432409,68715000,3533,Тамбовская область,20,149202.68,149202.68,25.12.2016,ИРД,2165.5,"5475,95600",68.89987531747865,0.0
474314,68640000,3347,Тамбовская область,21,23994.0,23994.0,25.12.2015,ИРД,360.4,"1991,81900",66.57602663706993,0.0
442829,68616000,2945,Тамбовская область,20,27429.0,27429.0,25.12.2018,ИРД,427.0,"1696,00344",64.23653395784544,0.0
433048,68715000,3550,Тамбовская область,21,18000.0,18000.0,25.12.2015,ИРД,280.7,"1200,00000",64.1254007837549,0.0
421210,68604000,4082,Тамбовская область,64,24641.9,24641.9,25.12.2016,ИРД,388.13,"812,59590",63.48877953263082,0.0
422673,68606000,3666,Тамбовская область,64,38828.32,38828.32,25.12.2016,ИРД,611.7,"1357,97732",63.476083047245375,0.0
455767,68701000,2381,Тамбовская область,21,26280.0,26280.0,25.12.2015,ИРД,418.0,"2508,12600",62.87081339712919,0.0
442284,68616000,5213,Тамбовская область,20,26458.0,26458.0,25.12.2018,ИРД,424.2,"877,65861",62.37152286657237,0.0
443547,68616000,2854,Тамбовская область,20,25079.0,25079.0,25.12.2018,ИРД,402.5,"831,92549",62.30807453416149,0.0
442350,68616000,2863,Тамбовская область,20,38700.0,38700.0,25.12.2017,ИРД,621.7,"950,17943",62.24867299340517,0.0
442311,68616000,2902,Тамбовская область,20,26458.0,26458.0,25.12.2018,ИРД,425.5,"877,65861",62.18096357226792,0.0
438945,68720000,963,Тамбовская область,21,27939.0,27939.0,25.12.2014,ИРД,449.4,"2235,16600",62.16955941255007,0.0
