,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5559247,71715000,10556,Тюменская область,20,3436774.0,1270334.0,19.12.2018,ИРД,98.0,"1270,33400",12962.591836734693,0.6303702251006321
5557357,71715000,101109,Тюменская область,20,134903.64,134903.64,08.10.2018,ИРД,159.7,"134,35883",844.731621790858,0.0
5558707,71715000,9109,Тюменская область,20,77679.43,77679.43,01.10.2018,ИРД,96.9,"78,81249",801.6453044375644,0.0
5557229,71715000,5596,Тюменская область,20,93148.06,93148.06,01.10.2018,ИРД,126.2,"899,40463",738.0987321711568,0.0
5558077,71715000,101068,Тюменская область,20,74418.56,74418.56,01.10.2018,ИРД,105.2,"74,11802",707.4007604562737,0.0
5549278,71705000,19291,Тюменская область,20,43444.0,43444.0,29.01.2016,ИРД,69.9,"539,57971",621.516452074392,0.0
5558048,71715000,7660,Тюменская область,20,36140.39,36140.39,01.10.2018,ИРД,59.0,"679,43274",612.5489830508475,0.0
5559104,71715000,9504,Тюменская область,20,55105.18,55105.16,01.10.2018,ИРД,93.2,"55,10516",591.2570815450644,3.629422859484095e-07
5558648,71715000,120458,Тюменская область,20,67825.13,67825.13,01.10.2018,ИРД,117.8,"67,82513",575.7651103565365,0.0
5559108,71715000,10056,Тюменская область,20,58956.6,58956.6,01.10.2018,ИРД,109.9,"58,95660",536.4567788898999,0.0
5557234,71715000,6177,Тюменская область,20,71367.96,71367.96,01.10.2018,ИРД,138.7,"1373,06607",514.5490987743332,0.0
5557260,71715000,6255,Тюменская область,20,55090.65,55090.65,08.10.2018,ИРД,108.5,"1116,92979",507.7479262672811,0.0
5558621,71715000,8671,Тюменская область,20,104050.75,104050.75,01.10.2018,ИРД,206.6,"1299,47876",503.63383349467574,0.0
5559081,71715000,9557,Тюменская область,20,91262.51,76612.37,22.10.2018,ИРД,152.9,"75,68419",501.06193590582075,0.16052747179537358
5572849,71701000,126892,Тюменская область,20,114685.0,114685.0,,ИРД,233.92,"0,00000",490.2744528043776,0.0
5558726,71715000,9123,Тюменская область,20,59861.56,57861.56,22.10.2018,ИРД,119.1,"57,16054",485.82334172963897,0.03341042231442014
5586013,71701000,85535,Тюменская область,20,44115.65,44115.65,18.05.2016,ИРД,91.1,"44,12000",484.25521405049403,0.0
5597034,71703000,100389,Тюменская область,20,47761.98,39407.9,,ИРД,81.8,"0,00000",481.75916870415654,0.17491067162626006
5558653,71715000,8899,Тюменская область,20,80081.06,80081.06,01.10.2018,ИРД,170.4,"80,08106",469.9592723004695,0.0
5557245,71715000,6179,Тюменская область,20,53643.72,53643.72,03.09.2018,ИРД,115.8,"72,98299",463.24455958549225,0.0
5560183,71715000,11464,Тюменская область,20,86014.03,86014.03,01.10.2018,ИРД,193.7,"86,01403",444.057976251936,0.0
5545500,71705000,19187,Тюменская область,20,133436.72,36306.95,31.12.2018,ИРД,84.3,"1010,52051",430.6874258600237,0.7279088544742407
5609526,71648000,11237,Тюменская область,20,156229.28,136468.94,21.11.2018,ИРД,317.5,"128,04460",429.82343307086614,0.12648294865085466
