,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5641692,96616000,11670,Чеченская Республика,20,48510.0,48510.0,06.05.2019,ИРД,382.2,,126.92307692307692,0.0
5643621,96622000,11737,Чеченская Республика,20,72974.4,72974.4,06.05.2019,ИРД,578.1,,126.23144784639334,0.0
5640357,96610000,11608,Чеченская Республика,20,48530.4,48530.4,06.05.2019,ИРД,386.2,,125.6613153806318,0.0
5642973,96622000,11786,Чеченская Республика,20,48543.6,48543.6,06.05.2019,ИРД,388.7,,124.88705942886546,0.0
5641951,96616000,11684,Чеченская Республика,20,48458.4,48458.4,06.05.2019,ИРД,389.7,,124.3479599692071,0.0
5646409,96628000,11901,Чеченская Республика,20,48678.0,48678.0,06.05.2019,ИРД,396.0,,122.92424242424242,0.0
5646392,96628000,11900,Чеченская Республика,20,48678.0,48678.0,06.05.2019,ИРД,413.7,,117.66497461928934,0.0
5641822,96616000,11676,Чеченская Республика,20,48458.4,48458.4,06.05.2019,ИРД,433.4,,111.80987540378405,0.0
5615286,96701000,10286,Чеченская Республика,20,146781.6,146781.6,06.05.2019,ИРД,1480.8,,99.12317666126418,0.0
5619207,96701000,10491,Чеченская Республика,20,240656.4,240656.4,06.05.2019,ИРД,2573.9,,93.49873732468238,0.0
5619328,96701000,10496,Чеченская Республика,20,240656.4,240656.4,06.05.2019,ИРД,2573.9,,93.49873732468238,0.0
5640491,96610000,11614,Чеченская Республика,20,49465.2,49465.2,06.05.2019,ИРД,567.0,,87.24021164021164,0.0
5644835,96625000,11825,Чеченская Республика,20,49531.2,49531.2,06.05.2019,ИРД,579.6,,85.45755693581779,0.0
5644842,96625000,11826,Чеченская Республика,20,49531.2,49531.2,06.05.2019,ИРД,579.6,,85.45755693581779,0.0
5640514,96610000,11616,Чеченская Республика,20,49521.6,49521.6,06.05.2019,ИРД,582.0,,85.08865979381443,0.0
5640511,96610000,11615,Чеченская Республика,20,49599.6,49599.6,06.05.2019,ИРД,593.0,,83.64182124789207,0.0
5640464,96610000,11613,Чеченская Республика,20,49599.6,49599.6,06.05.2019,ИРД,593.0,,83.64182124789207,0.0
5618235,96701000,10444,Чеченская Республика,20,149804.4,149804.4,06.05.2019,ИРД,1871.0,,80.06648850881881,0.0
5645601,96637000,11862,Чеченская Республика,20,49951.2,49951.2,06.05.2019,ИРД,625.0,,79.92192,0.0
5638610,96607000,11523,Чеченская Республика,20,30830.0,30830.0,14.09.2017,ИРД,389.2,"791,03900",79.21377183967113,0.0
5645280,96634000,11848,Чеченская Республика,20,30059.0,30059.0,14.09.2017,ИРД,390.0,"411,64400",77.07435897435897,0.0
5643663,96622000,11739,Чеченская Республика,20,75301.2,75301.2,06.05.2019,ИРД,1063.78,,70.78644080542969,0.0
5641506,96616000,11661,Чеченская Республика,20,50323.2,50323.2,06.05.2019,ИРД,732.8,,68.67248908296943,0.0
5630879,96701000,11074,Чеченская Республика,20,108345.6,108345.6,06.05.2019,ИРД,1591.3,,68.0862188148055,0.0
5641563,96616000,11664,Чеченская Республика,20,50366.4,50366.4,06.05.2019,ИРД,747.3,,67.39783219590527,0.0
5641460,96616000,11658,Чеченская Республика,20,50557.2,50557.2,06.05.2019,ИРД,778.2,,64.96684656900538,0.0
5613331,96602000,10093,Чеченская Республика,20,24663.0,24663.0,14.09.2017,ИРД,397.4,"587,18900",62.06089582284852,0.0
5624867,96701000,10773,Чеченская Республика,20,149694.0,149694.0,06.05.2019,ИРД,2419.4,,61.872365049185746,0.0
5641483,96616000,11659,Чеченская Республика,20,50581.2,50581.2,06.05.2019,ИРД,839.1,,60.280300321773325,0.0
5638820,96607000,11537,Чеченская Республика,20,17730.0,17730.0,14.09.2017,ИРД,299.2,"640,24700",59.25802139037433,0.0
5638800,96607000,11536,Чеченская Республика,20,17730.0,17730.0,14.09.2017,ИРД,299.2,"632,80800",59.25802139037433,0.0
5638833,96607000,11538,Чеченская Республика,20,17730.0,17730.0,14.09.2017,ИРД,299.9,"664,10100",59.11970656885629,0.0
5638871,96607000,11540,Чеченская Республика,20,17629.0,17629.0,14.09.2017,ИРД,300.0,"602,68000",58.763333333333335,0.0
5645194,96634000,11843,Чеченская Республика,20,23282.0,23282.0,14.09.2017,ИРД,397.7,"258,28000",58.541614282122204,0.0
5639919,96610000,11589,Чеченская Республика,20,51187.2,51187.2,06.05.2019,ИРД,900.0,,56.87466666666666,0.0
5624719,96701000,10765,Чеченская Республика,20,150103.2,150103.2,06.05.2019,ИРД,2720.0,,55.185,0.0
5640407,96610000,11611,Чеченская Республика,20,51345.6,51345.6,06.05.2019,ИРД,930.7,,55.16879767916622,0.0
5644227,96622000,11762,Чеченская Республика,20,51361.2,51361.2,06.05.2019,ИРД,933.62,,55.01296030504916,0.0
5638600,96607000,11522,Чеченская Республика,20,20691.0,20691.0,14.09.2017,ИРД,376.6,"570,22800",54.941582580987784,0.0
5630846,96701000,11072,Чеченская Республика,20,109602.0,109602.0,06.05.2019,ИРД,1996.0,,54.910821643286575,0.0
5630906,96701000,11076,Чеченская Республика,20,109602.0,109602.0,06.05.2019,ИРД,1996.0,,54.910821643286575,0.0
5643169,96622000,11796,Чеченская Республика,20,20873.0,20873.0,01.11.2017,ИРД,384.0,"549,76000",54.356770833333336,0.0
5638587,96607000,11521,Чеченская Республика,20,20709.0,20709.0,14.09.2017,ИРД,384.6,"548,27100",53.84555382215288,0.0
5644462,96622000,11770,Чеченская Республика,20,77344.8,77344.8,06.05.2019,ИРД,1458.9,,53.01583384741929,0.0
5645311,96634000,11849,Чеченская Республика,20,19405.0,19405.0,14.09.2017,ИРД,368.4,"205,65500",52.67372421281216,0.0
5640363,96610000,11609,Чеченская Республика,20,51601.2,51601.2,06.05.2019,ИРД,980.0,,52.65428571428571,0.0
5619515,96701000,10506,Чеченская Республика,20,247447.2,247447.2,06.05.2019,ИРД,4762.8,,51.954144620811284,0.0
5625070,96701000,10784,Чеченская Республика,20,279027.6,279027.6,06.05.2019,ИРД,5387.6,,51.79070458088944,0.0
5644777,96625000,11822,Чеченская Республика,20,24883.0,24883.0,19.10.2017,ИРД,481.0,"441,95222",51.731808731808734,0.0
5645664,96637000,11865,Чеченская Республика,20,52052.4,52052.4,06.05.2019,ИРД,1031.2,,50.47750193948797,0.0
5618745,96701000,10470,Чеченская Республика,20,151630.8,151630.8,06.05.2019,ИРД,3043.8,,49.816282278730526,0.0
5641796,96616000,11675,Чеченская Республика,20,151702.8,151702.8,06.05.2019,ИРД,3066.9,,49.46454074146532,0.0
5618519,96701000,10459,Чеченская Республика,20,279027.6,279027.6,06.05.2019,ИРД,5664.8,,49.2563903403474,0.0
5623434,96701000,10697,Чеченская Республика,20,155103.6,155103.6,06.05.2019,ИРД,3270.0,,47.43229357798165,0.0
5628310,96701000,10959,Чеченская Республика,20,152328.0,152328.0,06.05.2019,ИРД,3268.5,,46.6048646167967,0.0
5641256,96612000,11648,Чеченская Республика,20,28656.0,28656.0,19.10.2017,ИРД,624.0,"675,34400",45.92307692307692,0.0
5626415,96701000,10860,Чеченская Республика,20,111165.6,111165.6,06.05.2019,ИРД,2500.0,,44.46624,0.0
5641329,96612000,11652,Чеченская Республика,20,23930.0,23930.0,19.10.2017,ИРД,546.0,"304,58600",43.827838827838825,0.0
5630630,96701000,10956,Чеченская Республика,20,153604.8,153604.8,06.05.2019,ИРД,3680.0,,41.740434782608695,0.0
5623338,96701000,10691,Чеченская Республика,20,154124.4,154124.4,06.05.2019,ИРД,3847.7,,40.056241390960835,0.0
5618674,96701000,10466,Чеченская Республика,20,158787.6,158787.6,06.05.2019,ИРД,3972.3,,39.97371799713012,0.0
5626991,96701000,10891,Чеченская Республика,20,154078.8,154078.8,06.05.2019,ИРД,3949.1,,39.01618090197766,0.0
5641322,96612000,11651,Чеченская Республика,20,23899.0,23899.0,19.10.2017,ИРД,624.0,"308,64500",38.29967948717949,0.0
5629497,96701000,11013,Чеченская Республика,20,158989.2,158989.2,06.05.2019,ИРД,4188.1,,37.962130799169074,0.0
5644522,96622000,11773,Чеченская Республика,20,154880.4,154880.4,06.05.2019,ИРД,4091.2,,37.856961282753225,0.0
5639804,96610000,11584,Чеченская Республика,20,25413.0,25413.0,19.10.2017,ИРД,682.7,"1547,72500",37.22425662809433,0.0
5627228,96701000,10907,Чеченская Республика,20,155193.6,155193.6,06.05.2019,ИРД,4192.2,,37.01960784313726,0.0
5639835,96610000,11585,Чеченская Республика,20,25457.0,25457.0,19.10.2017,ИРД,699.6,"1600,51900",36.387935963407664,0.0
5624761,96701000,10767,Чеченская Республика,20,156324.0,156324.0,06.05.2019,ИРД,4556.4,,34.30866473531736,0.0
5626913,96701000,10887,Чеченская Республика,20,156477.6,156477.6,06.05.2019,ИРД,4606.2,,33.97108245408363,0.0
5645262,96634000,11847,Чеченская Республика,20,13964.0,13964.0,14.09.2017,ИРД,416.4,"192,23700",33.53506243996158,0.0
5645256,96634000,11846,Чеченская Республика,20,13327.0,13327.0,14.09.2017,ИРД,397.6,"364,17700",33.51861167002012,0.0
5618991,96701000,10481,Чеченская Республика,20,156626.4,156626.4,06.05.2019,ИРД,4702.8,,33.30492472569533,0.0
5629350,96701000,11007,Чеченская Республика,20,157436.4,157436.4,06.05.2019,ИРД,4915.2,,32.030517578125,0.0
5645322,96634000,11850,Чеченская Республика,20,19952.0,19952.0,14.09.2017,ИРД,632.3,"168,55600",31.554641783963312,0.0
5639845,96610000,11586,Чеченская Республика,20,24456.0,24456.0,19.10.2017,ИРД,779.0,"1869,91200",31.394094993581515,0.0
5629429,96701000,11010,Чеченская Республика,20,166617.6,166617.6,06.05.2019,ИРД,5342.1,,31.189532206435672,0.0
5635932,96701000,11336,Чеченская Республика,20,154334.4,154334.4,06.05.2019,ИРД,5186.1,,29.759241048186496,0.0
5638846,96607000,11539,Чеченская Республика,20,8868.0,8868.0,14.09.2017,ИРД,302.0,"639,63100",29.364238410596027,0.0
5645577,96637000,11861,Чеченская Республика,20,18182.0,18182.0,09.11.2017,ИРД,625.8,"1338,32000",29.054010866091406,0.0
5645653,96637000,11864,Чеченская Республика,20,29869.0,29869.0,09.11.2017,ИРД,1031.2,"863,00600",28.965283165244376,0.0
5634817,96701000,11275,Чеченская Республика,20,159607.2,159607.2,06.05.2019,ИРД,5548.0,,28.76842105263158,0.0
5626432,96701000,10861,Чеченская Республика,20,157243.2,157243.2,06.05.2019,ИРД,5491.3,,28.634968040354742,0.0
5615904,96701000,10322,Чеченская Республика,20,261560.4,261560.4,06.05.2019,ИРД,9312.5,,28.087022818791947,0.0
5629391,96701000,11008,Чеченская Республика,20,160252.8,160252.8,06.05.2019,ИРД,5823.1,,27.520186842060067,0.0
5619284,96701000,10494,Чеченская Республика,20,160802.4,160802.4,06.05.2019,ИРД,6000.0,,26.8004,0.0
5645701,96637000,11866,Чеченская Республика,20,27559.0,27559.0,09.11.2017,ИРД,1049.9,"796,61600",26.249166587294027,0.0
5633214,96701000,11190,Чеченская Республика,20,117285.6,117285.6,06.05.2019,ИРД,4472.9,,26.221377629725684,0.0
5629320,96701000,11005,Чеченская Республика,20,156110.4,156110.4,06.05.2019,ИРД,6255.8,,24.954506218229483,0.0
5627194,96701000,10906,Чеченская Республика,20,162877.2,162877.2,06.05.2019,ИРД,6668.0,,24.42669466106779,0.0
5626496,96701000,10864,Чеченская Республика,20,163008.0,163008.0,06.05.2019,ИРД,6711.1,,24.28931173727109,0.0
5613485,96602000,10100,Чеченская Республика,20,22876.0,22876.0,14.09.2017,ИРД,942.6,"2009,20000",24.269043072353064,0.0
5621927,96701000,10623,Чеченская Республика,20,163117.2,163117.2,06.05.2019,ИРД,6746.2,,24.17912306187187,0.0
5634446,96701000,11257,Чеченская Республика,20,68875.0,68875.0,01.11.2018,ИРД,3615.0,,19.05255878284924,0.0
5619314,96701000,10495,Чеченская Республика,20,170108.4,170108.4,06.05.2019,ИРД,9000.0,,18.90093333333333,0.0
5645433,96637000,11855,Чеченская Республика,20,16618.0,16618.0,09.11.2017,ИРД,1049.9,"1735,99000",15.828174111820172,0.0
5645497,96637000,11857,Чеченская Республика,20,15406.0,15406.0,09.11.2017,ИРД,1031.2,"354,59500",14.939875872769589,0.0
5617485,96701000,10359,Чеченская Республика,20,267830.6,267830.6,06.05.2019,ИРД,18397.4,,14.55806798786785,0.0
5636312,96701000,11355,Чеченская Республика,20,279750.2,279750.2,06.05.2019,ИРД,22239.1,,12.579205093731312,0.0
5612149,96702000,10036,Чеченская Республика,20,,,,ИРД,4302.5,,,
5612150,96702000,10036,Чеченская Республика,21,,,,ИРД,4302.5,,,
5612367,96702000,10048,Чеченская Республика,21,,,,ИРД,2181.0,,,
5612386,96702000,10048,Чеченская Республика,20,,,,ИРД,2181.0,,,
5612512,96702000,10054,Чеченская Республика,20,,,,ИРД,2152.2,,,
5612513,96702000,10054,Чеченская Республика,21,,,,ИРД,2152.2,,,
5612564,96702000,10057,Чеченская Республика,20,,,,ИРД,2217.4,,,
5612565,96702000,10057,Чеченская Республика,21,,,,ИРД,2217.4,,,
5612810,96702000,10071,Чеченская Республика,20,,,,ИРД,5972.0,,,
5612811,96702000,10071,Чеченская Республика,21,,,,ИРД,5972.0,,,
5612849,96702000,10073,Чеченская Республика,20,,,,ИРД,7896.1,,,
5612850,96702000,10073,Чеченская Республика,21,,,,ИРД,7896.1,,,
5613328,96602000,10093,Чеченская Республика,21,12039.0,,14.09.2017,ИРД,397.4,"587,18900",,
