,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6307570,25701000,4187,Иркутская область,3,6846959.2,6778490.0,,Инженерные системы,2311.6,"0,00000",2932.3801695795123,-0.9999942748307955
6306065,25701000,3649,Иркутская область,3,11148523.7,11037038.0,,Инженерные системы,3763.85,"0,00000",2932.379876987659,-1.0000041530162318
6323940,25746000,6858,Иркутская область,3,929331.0,929331.0,21.12.2016,Инженерные системы,370.44,"2359,79895",2508.7220602526727,0.0
6323953,25746000,6855,Иркутская область,3,929331.0,929331.0,30.07.2016,Инженерные системы,378.85,"2322,90357",2453.0315428269764,0.0
6320399,25714000,59,Иркутская область,3,961986.54,957176.62,14.12.2017,Инженерные системы,436.8,"3051,88649",2191.338415750916,-0.49999867981521673
6306159,25701000,3697,Иркутская область,3,845631.66,845631.66,31.07.2016,Инженерные системы,410.4,"971,75881",2060.505994152047,0.0
6306899,25701000,3991,Иркутская область,3,1280790.55,1267982.64,30.06.2017,Инженерные системы,701.4,"4189,69344",1807.7881950384945,-1.0000003513455091
6317938,25612000,11242,Иркутская область,3,2956876.8,2912523.65,,Инженерные системы,1614.9,"341,04536",1803.5318905195365,-1.4999999323610624
6305001,25701000,3181,Иркутская область,3,650462.4,643957.78,21.08.2017,Инженерные системы,365.8,"1994,65276",1760.4094587206123,-0.9999993850528521
6328052,25745000,8498,Иркутская область,3,917852.83,917852.83,20.12.2017,Инженерные системы,532.7,"3932,18577",1723.0201426694198,0.0
6304776,25701000,3063,Иркутская область,3,1226851.29,1226851.29,29.07.2016,Инженерные системы,717.2,"3599,52205",1710.612506971556,0.0
6304767,25701000,3062,Иркутская область,3,1226851.29,1226851.29,29.07.2016,Инженерные системы,717.7,"3452,51719",1709.4207746969485,0.0
6308410,25701000,4467,Иркутская область,3,872270.48,863547.78,30.06.2017,Инженерные системы,505.3,"4363,45210",1708.9803680981595,-0.9999994497119746
6304756,25701000,3061,Иркутская область,3,1226851.29,1226851.29,29.07.2016,Инженерные системы,718.1,"3227,02065",1708.468583762707,0.0
6316556,25701000,6607,Иркутская область,3,1102219.44,1584663.6,,Инженерные системы,930.3,"998,60744",1703.3898742341182,43.770245968443476
6328023,25745000,8504,Иркутская область,3,931122.41,931122.41,20.12.2017,Инженерные системы,549.96,"4008,89330",1693.0729689431957,0.0
6304796,25701000,3064,Иркутская область,3,1226851.29,1226851.29,29.07.2016,Инженерные системы,725.1,"2744,28848",1691.9752999586265,0.0
6305916,25701000,3611,Иркутская область,3,813102.16,813102.16,31.07.2016,Инженерные системы,501.4,"1826,23890",1621.6636617471083,0.0
6335382,25644000,13888,Иркутская область,3,1317188.43,1317188.43,28.08.2016,Инженерные системы,832.9,"3660,51851",1581.448469203986,0.0
6305932,25701000,3614,Иркутская область,3,781149.9,781149.9,31.07.2016,Инженерные системы,500.7,"2535,01651",1560.1156381066507,0.0
6318077,25604000,10762,Иркутская область,3,922138.49,922138.49,18.09.2017,Инженерные системы,602.43,"4301,95917",1530.698155802334,0.0
6331314,25628000,12183,Иркутская область,3,557638.13,557638.13,18.07.2016,Инженерные системы,382.66,"1885,71762",1457.2678879422986,0.0
6310318,25701000,5151,Иркутская область,3,811676.51,803559.74,31.08.2017,Инженерные системы,551.8,"2992,49769",1456.2517941283074,-1.0000006036887776
6310027,25701000,5086,Иркутская область,3,986223.08,981291.96,29.12.2017,Инженерные системы,701.8,"3278,19076",1398.250156739812,-0.5000004664259095
6304219,25701000,2879,Иркутская область,3,2009000.06,1988910.06,31.10.2017,Инженерные системы,1471.0,"6917,77777",1352.0802583276684,-0.9999999701343909
6307269,25701000,4155,Иркутская область,3,935734.22,926376.89,24.08.2017,Инженерные системы,696.3,"2347,92443",1330.4278184690509,-0.9999986962109797
6328962,25745000,8777,Иркутская область,3,1552908.23,1552908.23,30.08.2016,Инженерные системы,1185.0,"4974,83022",1310.4710801687763,0.0
6304989,25701000,3179,Иркутская область,3,1137342.56,1125969.14,21.08.2017,Инженерные системы,861.2,"1639,52656",1307.4421040408731,-0.9999995076241719
6318155,25604000,10798,Иркутская область,3,729219.83,729219.83,18.07.2016,Инженерные системы,561.0,"1287,48615",1299.8570944741532,0.0
6322697,25714000,1195,Иркутская область,3,5536069.2,5508388.84,,Инженерные системы,4321.69,"577,04299",1274.5913843889775,-0.5000002528870229
6324140,25746000,6905,Иркутская область,3,1266879.16,1254210.37,20.12.2017,Инженерные системы,1009.47,"4288,26656",1242.4444213300048,-0.9999998737053817
6307285,25701000,4157,Иркутская область,3,648149.29,641667.79,05.07.2017,Инженерные системы,521.8,"2945,57647",1229.7197968570335,-1.0000010954266392
