,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5057213,37701000,45010000267,Курганская область,12,2053596.0,5742824.0,29.11.2018,Инженерные системы,2656.6,"5131,25301",2161.7194910788226,179.64721396029208
5052453,37701000,45010000838,Курганская область,12,4511425.72,4803520.0,24.10.2018,Инженерные системы,3038.9,"4755,72124",1580.6772187304616,6.474544814183503
5058757,37701000,45010000233,Курганская область,12,1318077.0,1318077.0,26.09.2018,Инженерные системы,862.41,"1592,25282",1528.3646989251054,0.0
5064572,37701000,45010000283,Курганская область,12,2359065.0,2359065.0,22.12.2017,Инженерные системы,1563.9,"2496,69092",1508.4500287742183,0.0
5073793,37705000,45020000150,Курганская область,12,489689.0,812325.0,,Инженерные системы,559.5,"156,88300",1451.876675603217,65.88589900937126
5060596,37701000,45010000323,Курганская область,12,2148490.0,2148490.0,06.07.2018,Инженерные системы,1487.1,"4227,14706",1444.7515298231458,0.0
5079578,37642000,45240100017,Курганская область,12,386684.0,381446.0,,Инженерные системы,264.2,"102,77000",1443.777441332324,-1.3545944492143414
5065432,37701000,45010000466,Курганская область,12,5158271.0,4813538.0,,Инженерные системы,3362.3,"245,12493",1431.6206168396632,-6.683111453430812
5058961,37701000,45010000359,Курганская область,12,2240854.0,2240854.0,19.01.2018,Инженерные системы,1582.3,"2354,39310",1416.2004676736397,0.0
5072818,37705000,45020000071,Курганская область,12,498943.0,498943.0,27.12.2017,Инженерные системы,357.0,"550,94666",1397.5994397759105,0.0
5060728,37701000,45010000197,Курганская область,12,5112923.0,4512522.97,12.08.2019,Инженерные системы,3268.3,"9445,50912",1380.6942355352935,-11.742794288120518
5074679,37705000,45020000239,Курганская область,12,642904.0,1203657.0,,Инженерные системы,874.9,"229,33300",1375.7652303120358,87.22188693801873
5075636,37705000,45020000625,Курганская область,12,426358.0,389417.0,,Инженерные системы,289.6,"32,27283",1344.6719613259668,-8.664314965357756
5071873,37705000,45020000209,Курганская область,12,611677.0,1172528.43,,Инженерные системы,872.3,"60,87900",1344.1802476212313,91.69078288050719
5060055,37701000,45010000496,Курганская область,12,4473246.0,4210833.0,,Инженерные системы,3164.8,"5927,00636",1330.521043983822,-5.866276972024343
5051370,37701000,45010000425,Курганская область,12,3675566.0,3675566.0,,Инженерные системы,2786.1,"3511,87458",1319.2512831556658,0.0
5053508,37701000,45010000259,Курганская область,12,3115383.0,3115383.0,04.12.2017,Инженерные системы,2406.8,"3393,54958",1294.4087585175337,0.0
5043782,37612000,45090100007,Курганская область,12,675313.31,675313.31,26.09.2018,Инженерные системы,532.4,"728,64916",1268.4322126220889,0.0
5077443,37705000,45020000554,Курганская область,12,581761.0,1088494.0,,Инженерные системы,860.9,"58,01000",1264.3675223603207,87.1032949957113
5060368,37701000,45010000499,Курганская область,12,5633752.0,5213356.0,,Инженерные системы,4179.6,"284,12517",1247.3337161450856,-7.462096308108701
5062556,37701000,45010000411,Курганская область,12,5187969.0,5187969.0,,Инженерные системы,4184.6,"5287,69504",1239.7765616785355,0.0
5055877,37701000,45010000438,Курганская область,12,4116559.0,3819939.0,,Инженерные системы,3150.2,"220,93787",1212.6020570122532,-7.205532581945262
5038438,37606000,45050100017,Курганская область,12,248187.0,248187.0,15.07.2016,Инженерные системы,208.9,"297,84000",1188.0660603159406,0.0
5075288,37705000,45020000315,Курганская область,12,787370.35,787370.35,27.02.2019,Инженерные системы,674.7,"854,59806",1166.9932562620422,0.0
