,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
335726,11851000,1205212,Ненецкий автономный округ,3,2637806.13,2798821.05,20.12.2016,Инженерные системы,637.0,"22025,82218",4393.7536106750385,-0.061041225952416726
335760,11851000,1205411,Ненецкий автономный округ,3,2006740.17,2340432.16,08.12.2017,Инженерные системы,603.2,"12223,11951",3880.0267904509283,-0.16628559839911922
336411,11851000,2702300,Ненецкий автономный округ,3,1710881.77,1710901.9,17.10.2016,Инженерные системы,568.6,"4900,93601",3008.9727400633133,-1.1765862698910073e-05
335527,11851000,1202800,Ненецкий автономный округ,3,1111210.88,1111210.88,18.12.2018,Инженерные системы,485.2,"6541,53607",2290.2120362737014,0.0
335526,11851000,1202800,Ненецкий автономный округ,5,446677.37,454206.61,02.11.2016,Инженерные системы,485.2,"6541,53607",936.1224443528441,-0.01685610354516055
336213,11851000,2101111,Ненецкий автономный округ,5,737504.93,729760.5,10.10.2017,Инженерные системы,792.2,"14459,33839",921.1821509719767,0.010500851838373543
335539,11851000,1202800,Ненецкий автономный округ,53,381612.84,381612.84,18.12.2018,Инженерные системы,485.2,"6541,53607",786.5062654575433,0.0
336246,11851000,2101500,Ненецкий автономный округ,54,336200.76,350471.94,28.11.2016,Инженерные системы,446.0,"5475,93232",785.8115246636771,-0.04244838708871447
336377,11851000,2300300,Ненецкий автономный округ,2,323679.87,336386.33,19.12.2016,Инженерные системы,559.8,"8643,88836",600.9044837441944,-0.03925625649812582
336410,11851000,2702300,Ненецкий автономный округ,53,335763.47,335753.03,17.10.2016,Инженерные системы,568.6,"4900,93601",590.4907316215266,3.109331697085487e-05
336236,11851000,2101500,Ненецкий автономный округ,2,213514.88,260436.82,19.12.2016,Инженерные системы,446.0,"5475,93232",583.9390582959642,-0.21975957834882515
336413,11851000,2702300,Ненецкий автономный округ,2,309229.73,330906.39,19.12.2016,Инженерные системы,568.6,"4900,93601",581.9669187478016,-0.07009888732238014
335144,11851000,602100,Ненецкий автономный округ,2,236410.99,296705.27,24.11.2017,Инженерные системы,525.7,"9918,40416",564.4003614228648,-0.2550400892953413
334826,11851000,5700300,Ненецкий автономный округ,2,230729.17,294710.93,24.11.2017,Инженерные системы,523.7,"8563,22417",562.7476226847431,-0.2773024321112063
335155,11851000,602400,Ненецкий автономный округ,2,231206.78,297287.31,24.11.2017,Инженерные системы,528.5,"9941,94784",562.5114664143803,-0.28580705981027027
