,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5010899,82715000,7215,Республика Дагестан,3,137715.2,442852.0,15.11.2017,Инженерные системы,424.0,"0,00000",1044.4622641509434,221.57089413514262
5010896,82715000,7214,Республика Дагестан,3,137715.2,442852.0,15.11.2017,Инженерные системы,424.0,"0,00000",1044.4622641509434,221.57089413514262
5011000,82715000,7225,Республика Дагестан,3,657784.96,2065042.0,15.11.2017,Инженерные системы,2025.2,"0,00000",1019.6731187043255,213.93876807399187
5013691,82720000,7529,Республика Дагестан,3,912395.68,2798489.66,07.11.2017,Инженерные системы,2809.1,"0,00000",996.2228685344061,206.71886346502652
5011040,82715000,7231,Республика Дагестан,3,764839.04,2396389.0,15.11.2017,Инженерные системы,2419.4,"0,00000",990.4889642060015,213.319388089813
5010987,82715000,7213,Республика Дагестан,3,151876.48,442852.0,18.10.2017,Инженерные системы,467.6,"0,00000",947.0744225834046,191.58695276582654
5010334,82710000,7154,Республика Дагестан,3,1427658.4,4023337.0,07.11.2017,Инженерные системы,4410.4,"0,00000",912.2385724650826,181.81370277371673
5010985,82715000,7212,Республика Дагестан,3,221773.44,632590.0,18.07.2018,Инженерные системы,714.3,"0,00000",885.6082878342434,185.24155101711005
5013323,82720000,7474,Республика Дагестан,3,1025978.24,2827089.06,07.11.2017,Инженерные системы,3194.5,"0,00000",884.9864016277978,175.5505867258939
5014098,82720000,7561,Республика Дагестан,3,626838.02,1699366.0,,Инженерные системы,1929.92,"0,00000",880.5370170784281,171.10129663162422
5011043,82715000,7233,Республика Дагестан,3,656388.32,1740842.0,14.12.2018,Инженерные системы,2020.9,"0,00000",861.4191696768765,165.2152616000236
5016775,82730000,7822,Республика Дагестан,3,376183.36,995911.0,06.12.2018,Инженерные системы,1158.2,"0,00000",859.8782593679848,164.74084340147317
5011036,82715000,7228,Республика Дагестан,3,827687.84,2139828.46,21.12.2015,Инженерные системы,2569.72,"0,00000",832.7088009588593,158.53085627064428
5011047,82715000,7234,Республика Дагестан,3,949487.84,2398074.0,21.11.2016,Инженерные системы,2923.3,"0,00000",820.3311326240892,152.565003886727
5010750,82715000,7320,Республика Дагестан,3,829279.36,2075412.0,18.10.2017,Инженерные системы,2553.2,"0,00000",812.8669904433652,150.2669305552233
5031916,82701000,9355,Республика Дагестан,3,690589.76,2541013.88,29.11.2016,Инженерные системы,3235.8,"0,00000",785.2815007107979,267.9483866079914
5011015,82715000,7227,Республика Дагестан,3,794330.88,1900853.0,21.11.2016,Инженерные системы,2477.4,"0,00000",767.2773875837571,139.30241765245233
5011210,82715000,7254,Республика Дагестан,3,468881.28,1071153.0,20.12.2018,Инженерные системы,1443.6,"0,00000",742.0012468827931,128.44865975455448
5011042,82715000,7232,Республика Дагестан,3,1122443.84,2249773.0,21.11.2016,Инженерные системы,3455.8,"0,00000",651.0136581978123,100.43523959292253
5011039,82715000,7230,Республика Дагестан,3,814923.2,1409488.0,21.12.2015,Инженерные системы,2509.0,"0,00000",561.7728178557194,72.95961140878062
5006173,82705000,6728,Республика Дагестан,3,834443.68,1313748.0,30.11.2018,Инженерные системы,2569.1,"0,00000",511.3650694795843,57.439984445684814
