,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1713346,26710000,100503,Республика Ингушетия,3,222156.0,0.0,,Инженерные системы,1597.2,"0,00000",0.0,-100.0
1714740,26706000,402715,Республика Ингушетия,54,306152.0,0.0,,Инженерные системы,1874.0,"0,00000",0.0,-100.0
1714603,26715000,312803,Республика Ингушетия,5,313757.2,0.0,,Инженерные системы,2754.56,"0,00000",0.0,-100.0
1714608,26715000,312804,Республика Ингушетия,5,365924.0,0.0,,Инженерные системы,3603.2,"0,00000",0.0,-100.0
1714609,26715000,312804,Республика Ингушетия,54,578396.0,0.0,,Инженерные системы,3603.2,"0,00000",0.0,-100.0
1714610,26715000,312804,Республика Ингушетия,2,525278.0,0.0,,Инженерные системы,3603.2,"0,00000",0.0,-100.0
1714611,26715000,312804,Республика Ингушетия,2,525278.0,0.0,,Инженерные системы,3603.2,"0,00000",0.0,-100.0
1714612,26715000,312804,Республика Ингушетия,3,451503.0,0.0,,Инженерные системы,3603.2,"0,00000",0.0,-100.0
1714624,26715000,312805,Республика Ингушетия,3,233325.0,0.0,,Инженерные системы,2017.28,"0,00000",0.0,-100.0
1714625,26715000,312805,Республика Ингушетия,2,271450.0,0.0,,Инженерные системы,2017.28,"0,00000",0.0,-100.0
1714626,26715000,312805,Республика Ингушетия,54,298900.0,0.0,,Инженерные системы,2017.28,"0,00000",0.0,-100.0
1714627,26715000,312805,Республика Ингушетия,5,189100.0,0.0,,Инженерные системы,2017.28,"0,00000",0.0,-100.0
1714731,26706000,402701,Республика Ингушетия,5,204600.0,0.0,,Инженерные системы,1980.0,"0,00000",0.0,-100.0
1714732,26706000,402701,Республика Ингушетия,54,323400.0,0.0,,Инженерные системы,1980.0,"0,00000",0.0,-100.0
1714733,26706000,402701,Республика Ингушетия,2,293700.0,0.0,,Инженерные системы,1980.0,"0,00000",0.0,-100.0
1714734,26706000,402701,Республика Ингушетия,3,252450.0,0.0,,Инженерные системы,1980.0,"0,00000",0.0,-100.0
1714738,26706000,402715,Республика Ингушетия,3,238986.0,0.0,,Инженерные системы,1874.0,"0,00000",0.0,-100.0
1714602,26715000,312803,Республика Ингушетия,54,495938.8,0.0,,Инженерные системы,2754.56,"0,00000",0.0,-100.0
1714601,26715000,312803,Республика Ингушетия,2,450393.4,0.0,,Инженерные системы,2754.56,"0,00000",0.0,-100.0
1714600,26715000,312803,Республика Ингушетия,3,387135.9,0.0,,Инженерные системы,2754.56,"0,00000",0.0,-100.0
1714571,26715000,312809,Республика Ингушетия,3,678050.1,0.0,,Инженерные системы,4692.65,"0,00000",0.0,-100.0
1714559,26715000,312808,Республика Ингушетия,3,617079.6,0.0,,Инженерные системы,4315.5,"0,00000",0.0,-100.0
