,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5439375,66603000,2281,Смоленская область,12,,,,Инженерные системы,592.2,"0,00000",,
5439376,66603000,2203,Смоленская область,12,,,,Инженерные системы,568.2,"1901,06852",,
5439384,66603000,2289,Смоленская область,12,,,,Инженерные системы,288.7,"0,00000",,
5439388,66603000,2266,Смоленская область,54,295326.0,,03.08.2015,Инженерные системы,1711.0,"3882,79599",,
5439393,66603000,2266,Смоленская область,3,,,30.06.2016,Инженерные системы,1711.0,"3882,79599",,
5439395,66603000,2266,Смоленская область,27,120980.0,,03.08.2015,Инженерные системы,1711.0,"3882,79599",,
5439396,66603000,2266,Смоленская область,30,,,29.11.2016,Инженерные системы,1711.0,"3882,79599",,
5439397,66603000,2266,Смоленская область,5,295326.0,,03.08.2015,Инженерные системы,1711.0,"3882,79599",,
5439399,66603000,2267,Смоленская область,12,,,,Инженерные системы,1505.3,"0,00000",,
5439408,66603000,2188,Смоленская область,5,,,09.03.2016,Инженерные системы,490.89,"1648,69689",,
5439409,66603000,2188,Смоленская область,54,,,10.03.2016,Инженерные системы,490.89,"1648,69689",,
5439411,66603000,2250,Смоленская область,12,,,,Инженерные системы,316.45,"98,42222",,
5439417,66603000,2193,Смоленская область,54,,,10.03.2016,Инженерные системы,519.66,"1515,91384",,
5439419,66603000,2193,Смоленская область,5,,,09.03.2016,Инженерные системы,519.66,"1515,91384",,
5439426,66603000,2326,Смоленская область,12,,,,Инженерные системы,887.6,"0,00000",,
5439428,66603000,2199,Смоленская область,3,,,09.09.2016,Инженерные системы,955.3,"3291,26969",,
5439429,66603000,2199,Смоленская область,54,,,10.08.2016,Инженерные системы,955.3,"3291,26969",,
5439432,66603000,2199,Смоленская область,30,,,18.07.2016,Инженерные системы,955.3,"3291,26969",,
5439437,66603000,2199,Смоленская область,5,,,10.08.2016,Инженерные системы,955.3,"3291,26969",,
5439438,66603000,2201,Смоленская область,54,,,,Инженерные системы,858.2,"2849,25258",,
5439440,66603000,2201,Смоленская область,30,,,12.09.2018,Инженерные системы,858.2,"2849,25258",,
5439444,66603000,2201,Смоленская область,5,,,,Инженерные системы,858.2,"2849,25258",,
5439445,66603000,2201,Смоленская область,3,,,,Инженерные системы,858.2,"2849,25258",,
5439449,66603000,2208,Смоленская область,12,,,,Инженерные системы,733.3,"0,00000",,
5439451,66603000,2211,Смоленская область,12,,,,Инженерные системы,279.1,"0,00000",,
5439454,66603000,2274,Смоленская область,12,,,,Инженерные системы,729.8,"0,00000",,
5439457,66603000,2276,Смоленская область,12,,,,Инженерные системы,731.5,"757,94169",,
5439465,66603000,2198,Смоленская область,54,,,17.06.2016,Инженерные системы,326.78,"1298,87088",,
5439466,66603000,2198,Смоленская область,5,,,17.06.2016,Инженерные системы,326.78,"1298,87088",,
5439467,66603000,2198,Смоленская область,30,,,19.07.2016,Инженерные системы,326.78,"1298,87088",,
5439468,66603000,2312,Смоленская область,12,,,,Инженерные системы,603.1,"0,00000",,
5439473,66603000,2310,Смоленская область,12,,,,Инженерные системы,504.9,"0,00000",,
5439479,66603000,2277,Смоленская область,12,,,,Инженерные системы,377.6,"0,00000",,
5439483,66603000,2278,Смоленская область,12,,,,Инженерные системы,387.2,"0,00000",,
