,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1330491,69644000,4934,Томская область,3,1121526.0,1098003.89,,Инженерные системы,421.0,"58,21200",2608.0852494061755,-2.097330779669848
1227937,69710000,5099,Томская область,3,1011618.4,1011618.4,,Инженерные системы,393.3,"705,18777",2572.129163488431,0.0
1231094,69710000,5210,Томская область,3,2379035.0,2716392.9,13.08.2018,Инженерные системы,1063.2,"2930,46543",2554.9218397291193,14.180451317445941
1338707,69654000,7021,Томская область,3,2227531.08,2345744.7,06.08.2018,Инженерные системы,953.7,"3959,81570",2459.6253538848696,5.3069347072813855
1213180,69741000,5877,Томская область,3,1980046.33,2389069.8,08.04.2019,Инженерные системы,977.9,"2331,04174",2443.0614582268126,20.657267650903897
1227892,69710000,5098,Томская область,3,1027253.5,942999.85,30.07.2019,Инженерные системы,396.5,"1870,74839",2378.3098360655736,-8.201836255607798
1268583,69701000,2236,Томская область,3,3213547.23,3899772.49,10.10.2018,Инженерные системы,1955.2,"3489,07954",1994.564489566285,21.354136438193883
1304945,69701000,283,Томская область,3,5839174.9,4256105.71,,Инженерные системы,2186.8,"6632,72976",1946.271131333455,-27.11117952640878
1205550,69608000,4641,Томская область,3,1739413.83,1739413.83,28.12.2018,Инженерные системы,902.8,"6991,86629",1926.6878932210902,0.0
1227993,69710000,5102,Томская область,3,7607965.6,7607965.6,,Инженерные системы,4103.3,"3717,57497",1854.1090341919917,0.0
1218484,69741000,6208,Томская область,3,3052359.88,3052359.88,29.12.2018,Инженерные системы,1693.0,"3895,83981",1802.9296396928528,0.0
1279891,69701000,402,Томская область,3,2615082.36,2994293.6,22.09.2017,Инженерные системы,1665.2,"3403,44587",1798.158539514773,14.500929140908593
1260457,69701000,3281,Томская область,3,8381836.48,8381836.48,15.10.2018,Инженерные системы,4719.0,"12355,03377",1776.1891248145794,0.0
1228148,69710000,5108,Томская область,3,4941403.06,4928526.58,,Инженерные системы,2778.4,"268,41756",1773.8722214224013,-0.26058347889555966
1260370,69701000,3278,Томская область,3,9006597.78,8385820.8,14.03.2019,Инженерные системы,4824.5,"13182,59234",1738.174069851798,-6.892469222712416
1260409,69701000,3280,Томская область,3,8175798.74,8175798.74,15.10.2018,Инженерные системы,4732.6,"12833,92675",1727.5490723914972,0.0
1310428,69701000,476,Томская область,3,6361118.67,5863665.0,30.07.2019,Инженерные системы,3416.66,"7903,86901",1716.1979828253325,-7.820223074065047
1310703,69701000,555,Томская область,3,4575185.7,4575185.7,29.12.2018,Инженерные системы,2721.2,"7013,31459",1681.3118109657505,0.0
1218956,69741000,6234,Томская область,3,3419238.54,3688144.19,14.11.2018,Инженерные системы,2282.1,"4599,45805",1616.1185706147846,7.864489325743262
1310688,69701000,544,Томская область,3,8575232.35,8575232.35,14.03.2019,Инженерные системы,5336.62,"11632,94337",1606.865834554456,0.0
1283307,69701000,554,Томская область,3,6055608.33,6874316.75,21.05.2018,Инженерные системы,4396.4,"7882,23107",1563.6240446729144,13.519837733626993
1239118,69701000,548,Томская область,3,6624685.41,6624685.41,02.11.2017,Инженерные системы,4543.6,"8116,68132",1458.0256646711857,0.0
1219124,69741000,6244,Томская область,3,1330166.54,1379654.51,14.05.2018,Инженерные системы,946.7,"1619,53157",1457.330210203866,3.7204341345107084
1213284,69741000,5881,Томская область,3,9854710.91,9854710.91,01.08.2018,Инженерные системы,6843.8,"10678,70440",1439.9472383763407,0.0
1209827,69741000,5981,Томская область,3,5711868.72,5500873.76,04.05.2018,Инженерные системы,3949.1,"6931,47969",1392.943647919779,-3.6939742550665566
1221926,69741000,6351,Томская область,3,2139912.94,2139912.94,19.12.2018,Инженерные системы,1538.0,"2618,58586",1391.3608192457737,0.0
1277474,69701000,2654,Томская область,31,900425.17,900425.17,30.11.2017,Инженерные системы,659.7,"2204,72388",1364.9009701379414,0.0
1281100,69701000,647,Томская область,3,5352422.18,5352422.18,29.12.2018,Инженерные системы,3976.8,"8444,50185",1345.9118336350834,0.0
1211052,69741000,6025,Томская область,3,7148459.64,7148459.64,15.12.2017,Инженерные системы,5322.5,"8388,31634",1343.064281822452,0.0
