,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5256049,19730000,2800346,Вологодская область,6,0.0,5979215.17,27.10.2017,Лифтовое оборудование,4553.5,"5834,25538",1313.1031448336444,
5259905,19730000,2800629,Вологодская область,6,0.0,5980889.2,27.10.2017,Лифтовое оборудование,4595.0,"5801,46252",1301.608095756257,
5276193,19730000,2801519,Вологодская область,6,0.0,5970400.39,27.10.2017,Лифтовое оборудование,4750.1,"1755,09397",1256.8999368434347,
5233825,19701000,2500718,Вологодская область,6,14330002.09,14633900.7,05.07.2018,Лифтовое оборудование,11842.2,"14229,69208",1235.7417287328367,-0.021207157409423617
5271138,19730000,2800103,Вологодская область,6,0.0,8564490.11,02.11.2017,Лифтовое оборудование,7217.2,"4663,29401",1186.677674167267,
5237928,19701000,2501069,Вологодская область,6,0.0,11832730.11,02.11.2017,Лифтовое оборудование,10140.5,"0,00000",1166.8783699028647,
5256029,19730000,2800344,Вологодская область,6,0.0,9142024.63,27.10.2017,Лифтовое оборудование,8056.7,"8920,50634",1134.710815842715,
5256104,19730000,2800349,Вологодская область,6,0.0,11422388.77,27.10.2017,Лифтовое оборудование,10129.0,"16077,42682",1127.691654654951,
5271155,19730000,2800104,Вологодская область,6,0.0,8566609.93,02.11.2017,Лифтовое оборудование,7598.0,"0,00000",1127.4822229534088,
5275341,19730000,2801492,Вологодская область,6,0.0,8925997.06,02.11.2017,Лифтовое оборудование,8028.6,"4643,33929",1111.7750367436415,
5258672,19730000,2800538,Вологодская область,6,0.0,8875560.09,02.11.2017,Лифтовое оборудование,7995.9,"0,00000",1110.0138933703524,
5265065,19730000,2800014,Вологодская область,6,0.0,8886873.89,02.11.2017,Лифтовое оборудование,8033.8,"0,00000",1106.185602081207,
5273879,19730000,2800251,Вологодская область,6,0.0,8891621.93,02.11.2017,Лифтовое оборудование,8061.7,"2031,71299",1102.9462681568405,
5256778,19730000,2800396,Вологодская область,6,0.0,5966670.76,27.10.2017,Лифтовое оборудование,5441.5,"5787,67064",1096.512130846274,
5265331,19730000,2800035,Вологодская область,6,0.0,8883614.29,02.11.2017,Лифтовое оборудование,8113.7,"0,00000",1094.8906528464202,
5271800,19730000,2800154,Вологодская область,6,0.0,6407999.06,02.11.2017,Лифтовое оборудование,5924.7,"0,00000",1081.5735919118267,
5271327,19730000,2800117,Вологодская область,6,9000000.0,6482695.7,10.07.2019,Лифтовое оборудование,6033.1,"9191,64186",1074.5215063565995,0.27970047777777773
5260327,19730000,2800662,Вологодская область,6,0.0,2432076.55,02.11.2017,Лифтовое оборудование,2275.6,"0,00000",1068.7627658639478,
5258725,19730000,2800542,Вологодская область,6,0.0,8856055.03,02.11.2017,Лифтовое оборудование,8310.0,"0,00000",1065.7105932611312,
5271676,19730000,2800144,Вологодская область,6,0.0,8444801.64,02.11.2017,Лифтовое оборудование,7931.0,"0,00000",1064.7839667128987,
5269513,19730000,2801277,Вологодская область,6,0.0,8552171.03,27.10.2017,Лифтовое оборудование,8062.2,"5617,98354",1060.7738619731585,
5271702,19730000,2800146,Вологодская область,6,0.0,10586852.45,02.11.2017,Лифтовое оборудование,10146.6,"943,99975",1043.3891599156366,
5272586,19730000,2800214,Вологодская область,6,0.0,8481636.83,02.11.2017,Лифтовое оборудование,8136.4,"6286,75473",1042.4311525982007,
5255877,19730000,2800334,Вологодская область,6,0.0,6916694.42,27.10.2017,Лифтовое оборудование,6668.8,"6749,09759",1037.1722678742801,
5259525,19730000,2800608,Вологодская область,6,0.0,9767907.2,02.11.2017,Лифтовое оборудование,9493.5,"0,00000",1028.904745352083,
5265156,19730000,2800022,Вологодская область,6,0.0,4725364.41,31.12.2016,Лифтовое оборудование,4754.4,"5988,48120",993.8929013124686,
5267817,19730000,2801183,Вологодская область,6,0.0,11142120.06,02.11.2017,Лифтовое оборудование,11492.0,"0,00000",969.554477897668,
5260008,19730000,2800637,Вологодская область,6,0.0,4540610.3,27.10.2017,Лифтовое оборудование,4691.4,"4891,24029",967.8582725838769,
5248796,19701000,2501896,Вологодская область,6,0.0,14275992.49,02.11.2017,Лифтовое оборудование,14812.1,"0,00000",963.8061105447573,
5264652,19730000,2800981,Вологодская область,6,0.0,2414060.51,02.11.2017,Лифтовое оборудование,2524.7,"0,00000",956.1771735255674,
5254125,19701000,2502306,Вологодская область,6,3412071.0,5539763.0,31.12.2016,Лифтовое оборудование,5915.8,"2769,88150",936.4351397951249,-0.6235778798272369
5269043,19730000,2801241,Вологодская область,6,0.0,12965903.76,27.10.2017,Лифтовое оборудование,13854.6,"0,00000",935.8555108050755,
5268207,19730000,2801213,Вологодская область,6,0.0,13295308.93,02.11.2017,Лифтовое оборудование,14245.12,"0,00000",933.3237578904213,
5253404,19701000,2502240,Вологодская область,6,0.0,3542543.78,31.12.2016,Лифтовое оборудование,3853.7,"3518,04307",919.2577989983652,
5269052,19730000,2801242,Вологодская область,6,0.0,19143291.71,27.10.2017,Лифтовое оборудование,20944.0,"0,00000",914.0227134262797,
5256589,19730000,2800382,Вологодская область,6,0.0,13052086.72,27.10.2017,Лифтовое оборудование,14420.4,"12683,11427",905.1126681645447,
5264702,19730000,2800985,Вологодская область,6,0.0,2419952.18,02.11.2017,Лифтовое оборудование,2688.5,"0,00000",900.1123972475359,
5271077,19730000,2800098,Вологодская область,6,0.0,14794577.87,02.11.2017,Лифтовое оборудование,16438.2,"12317,50089",900.0120372060201,
5268216,19730000,2801214,Вологодская область,6,0.0,4453486.56,02.11.2017,Лифтовое оборудование,4968.8,"0,00000",896.2901626147157,
5255865,19730000,2800332,Вологодская область,6,0.0,15158138.44,27.10.2017,Лифтовое оборудование,16921.3,"14642,17873",895.8022397806316,
5271862,19730000,2800158,Вологодская область,6,0.0,2097163.21,02.11.2017,Лифтовое оборудование,2400.6,"0,00000",873.5996042656003,
5260313,19730000,2800655,Вологодская область,6,0.0,2340915.26,02.11.2017,Лифтовое оборудование,2687.1,"0,00000",871.1678984779129,
5264196,19730000,2800954,Вологодская область,6,0.0,7166496.1,02.11.2017,Лифтовое оборудование,8277.1,"0,00000",865.8220995276123,
5271850,19730000,2800157,Вологодская область,6,0.0,10650761.6,31.12.2016,Лифтовое оборудование,12545.02,"15438,08190",849.0031582253356,
5262163,19730000,2800800,Вологодская область,6,0.0,3792324.24,02.11.2017,Лифтовое оборудование,4571.6,"0,00000",829.5398197567591,
5259746,19730000,2800615,Вологодская область,6,6768335.02,4336949.71,15.08.2019,Лифтовое оборудование,5273.4,"0,00000",822.4200155497402,0.35922945640477466
