,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6432378,27701000,628018,Калининградская область,6,1955616.18,1955616.18,,Лифтовое оборудование,207.8,,9411.049951876805,0.0
6429306,27701000,628236,Калининградская область,6,1902241.06,1902241.06,29.08.2018,Лифтовое оборудование,1208.3,,1574.3118927418689,0.0
6441786,27701000,627388,Калининградская область,6,1902241.06,1902241.06,23.10.2018,Лифтовое оборудование,1270.2,,1497.5917650763658,0.0
6480950,27730000,619859,Калининградская область,6,1959785.41,1959785.41,,Лифтовое оборудование,1635.6,,1198.2058021521154,0.0
6431718,27701000,628344,Калининградская область,6,4214358.0,4214358.0,16.06.2017,Лифтовое оборудование,3817.5,,1103.9575638506876,0.0
6429468,27701000,628203,Калининградская область,6,4491790.0,4491790.0,16.06.2017,Лифтовое оборудование,4278.9,,1049.7534413050084,0.0
6452163,27701000,627859,Калининградская область,6,1992241.06,1992241.06,,Лифтовое оборудование,1900.2,,1048.4375644668983,0.0
6452157,27701000,627858,Калининградская область,6,1992241.06,1992241.06,,Лифтовое оборудование,1900.5,,1048.272065245988,0.0
6443371,27701000,627934,Калининградская область,6,6651550.0,6651550.0,16.06.2017,Лифтовое оборудование,6413.6,,1037.10084819758,0.0
6441747,27701000,627419,Калининградская область,6,13315687.42,13315687.42,23.10.2018,Лифтовое оборудование,13175.5,,1010.6400075898448,0.0
6446781,27701000,628390,Калининградская область,6,3853313.33,3853313.33,,Лифтовое оборудование,3823.9,,1007.6919715473731,0.0
6409194,27605000,613761,Калининградская область,6,3851960.77,3851960.77,,Лифтовое оборудование,3829.9,,1005.760142562469,0.0
6409188,27605000,613760,Калининградская область,6,3851532.22,3851532.22,,Лифтовое оборудование,3829.9,,1005.6482466905142,0.0
6431689,27701000,628167,Калининградская область,6,3852914.78,3852914.78,23.10.2018,Лифтовое оборудование,3833.3,,1005.1169436255966,0.0
6432231,27701000,628363,Калининградская область,6,5752843.25,5752843.25,,Лифтовое оборудование,5735.3,,1003.0588199396718,0.0
6446790,27701000,628393,Калининградская область,6,3853313.33,3853313.33,,Лифтовое оборудование,3847.1,,1001.6150684931507,0.0
6431884,27701000,628195,Калининградская область,6,9547542.48,9547542.48,23.10.2018,Лифтовое оборудование,9564.8,,998.1957259953163,0.0
6435181,27701000,627405,Калининградская область,6,3852719.23,3852719.23,,Лифтовое оборудование,3877.0,,993.7372272375549,0.0
6445490,27701000,627924,Калининградская область,6,9601205.3,9601205.3,,Лифтовое оборудование,9670.8,,992.8036253464038,0.0
6407720,27605000,613849,Калининградская область,6,5672500.0,5672500.0,14.12.2015,Лифтовое оборудование,5718.6,,991.9385863672926,0.0
6442462,27701000,627604,Калининградская область,6,3804482.12,3804482.12,23.10.2018,Лифтовое оборудование,3844.8,,989.5136600083229,0.0
6442432,27701000,627612,Калининградская область,6,3804482.12,3804482.12,29.08.2018,Лифтовое оборудование,3851.1,,987.8949183350212,0.0
6448988,27701000,628082,Калининградская область,6,7648963.7,7648963.7,29.08.2018,Лифтовое оборудование,7762.1,,985.4245242911068,0.0
6432093,27701000,628154,Калининградская область,6,9601205.3,9601205.3,,Лифтовое оборудование,10116.2,,949.0920800300509,0.0
6452284,27701000,626610,Калининградская область,6,1992241.06,1992241.06,,Лифтовое оборудование,2152.8,,925.418552582683,0.0
6431122,27701000,628198,Калининградская область,6,1955945.25,1955945.25,23.10.2018,Лифтовое оборудование,2133.3,,916.8636619322176,0.0
6444853,27701000,627688,Калининградская область,6,5750580.76,5750580.76,,Лифтовое оборудование,6402.6,,898.1633648830162,0.0
6442485,27701000,627605,Калининградская область,6,3854311.96,3854311.96,29.08.2018,Лифтовое оборудование,4312.2,,893.8156764528547,0.0
6442365,27701000,627606,Калининградская область,6,3854311.96,3854311.96,29.08.2018,Лифтовое оборудование,4323.7,,891.4383421606494,0.0
6435692,27701000,627446,Калининградская область,6,3869201.23,3869201.23,23.10.2018,Лифтовое оборудование,4341.7,,891.1719441693347,0.0
6428827,27701000,627929,Калининградская область,6,3852954.7,3852954.7,29.08.2018,Лифтовое оборудование,4324.5,,890.9595791420974,0.0
6446552,27701000,627519,Калининградская область,6,5753169.45,5753169.45,29.08.2018,Лифтовое оборудование,6468.3,,889.4407263113956,0.0
6448954,27701000,628085,Калининградская область,6,7648963.7,7648963.7,29.08.2018,Лифтовое оборудование,8664.2,,882.823999907666,0.0
6446555,27701000,627523,Калининградская область,6,7651291.94,7651291.94,29.08.2018,Лифтовое оборудование,8669.6,,882.5426709421426,0.0
6446581,27701000,627528,Калининградская область,6,7651291.94,7651291.94,29.08.2018,Лифтовое оборудование,8673.5,,882.1458396264484,0.0
6430820,27701000,628199,Калининградская область,6,4002844.69,4002844.69,29.08.2018,Лифтовое оборудование,4658.5,,859.2561318020822,0.0
6428614,27701000,628240,Калининградская область,6,5600000.0,5600000.0,30.11.2018,Лифтовое оборудование,6520.1,,858.8825324764957,0.0
6446600,27701000,627538,Калининградская область,6,1955002.45,1955002.45,29.08.2018,Лифтовое оборудование,2302.7,,849.0044078690233,0.0
6432206,27701000,628361,Калининградская область,6,3855445.49,3855445.49,,Лифтовое оборудование,4551.6,,847.0527924246419,0.0
6437353,27701000,627506,Калининградская область,6,7651429.2,7651429.2,,Лифтовое оборудование,9074.9,,843.1419850356478,0.0
6435783,27701000,627488,Калининградская область,6,3852917.13,3852917.13,23.10.2018,Лифтовое оборудование,4598.2,,837.9185616110652,0.0
6435685,27701000,627442,Калининградская область,6,5706723.18,5706723.18,23.10.2018,Лифтовое оборудование,6860.5,,831.8232169666934,0.0
6444822,27701000,627670,Калининградская область,6,3861087.69,3861087.69,29.08.2018,Лифтовое оборудование,4726.3,,816.9366502337981,0.0
6442423,27701000,627611,Калининградская область,6,1955473.27,1955473.27,29.08.2018,Лифтовое оборудование,2400.8,,814.5090261579473,0.0
6426702,27701000,628057,Калининградская область,6,3894482.12,3894482.12,,Лифтовое оборудование,4802.2,,810.9787430760902,0.0
6429286,27701000,628234,Калининградская область,6,3857931.71,3857931.71,29.08.2018,Лифтовое оборудование,4946.1,,779.9946847010775,0.0
6434829,27701000,624484,Калининградская область,6,3894482.12,3894482.12,,Лифтовое оборудование,5011.3,,777.1400874024704,0.0
6451436,27701000,627760,Калининградская область,6,4364461.0,4364461.0,22.06.2017,Лифтовое оборудование,5970.3,,731.0287590238346,0.0
6434834,27701000,624485,Калининградская область,6,3856801.05,3856801.05,28.11.2018,Лифтовое оборудование,5532.5,,697.1172254857659,0.0
6477410,27725000,619219,Калининградская область,6,1750000.0,1750000.0,29.12.2015,Лифтовое оборудование,2572.4,,680.2985538796454,0.0
6431862,27701000,628193,Калининградская область,6,2421102.63,2421102.63,22.12.2017,Лифтовое оборудование,3828.1,,632.4554295864789,0.0
6443367,27701000,627933,Калининградская область,6,3631653.93,3631653.93,22.12.2017,Лифтовое оборудование,6085.3,,596.7912724105631,0.0
