,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2994546,29701000,40010055,Калужская область,6,4628967.56,3629278.8,28.06.2019,Лифтовое оборудование,1954.4,"3705,12682",1856.978510028653,0.2159636564832612
2993305,29701000,40010760,Калужская область,6,5011534.78,4795551.86,06.09.2018,Лифтовое оборудование,2663.2,"4861,73633",1800.6728221688197,0.043097160746433036
3016268,29715000,40020011,Калужская область,6,8497807.47,8497807.47,21.06.2017,Лифтовое оборудование,5572.1,"8497,80747",1525.063704886847,0.0
2989789,29701000,40010343,Калужская область,6,18128194.73,17706839.28,30.11.2018,Лифтовое оборудование,12863.0,"36986,88491",1376.5715058695484,0.0232431003900629
3010270,29701000,40012391,Калужская область,6,9942157.26,9942157.26,09.10.2017,Лифтовое оборудование,7675.9,"11797,68291",1295.2431975403535,0.0
2994485,29701000,40010049,Калужская область,6,4819609.7,4964700.14,12.09.2018,Лифтовое оборудование,3853.4,"5035,87376",1288.3947007837232,-0.03010418872714931
2988622,29701000,40010030,Калужская область,6,3749028.7,3749028.7,31.03.2017,Лифтовое оборудование,3028.3,"5072,85581",1237.9977875375623,0.0
2989805,29701000,40010344,Калужская область,6,5936196.94,5936196.94,09.10.2017,Лифтовое оборудование,4859.3,"5936,19694",1221.6156524602309,0.0
3014842,29715000,40020366,Калужская область,6,4822512.5,4822512.5,27.12.2018,Лифтовое оборудование,4016.1,"4894,42137",1200.7949254251637,0.0
2988333,29701000,40010019,Калужская область,6,7323920.16,7323920.16,12.09.2018,Лифтовое оборудование,6118.4,"7392,36506",1197.0319299163182,0.0
2988645,29701000,40010032,Калужская область,6,11145190.02,11145190.02,31.03.2017,Лифтовое оборудование,9487.91,"15888,90193",1174.6728225710403,0.0
2988650,29701000,40010033,Калужская область,6,5376190.92,5376190.92,12.09.2018,Лифтовое оборудование,4583.8,"5440,31285",1172.8676905624154,0.0
