,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6167766,91701000,3600230505,Карачаево-Черкесская Республика,6,6400000.0,11898196.0,,Лифтовое оборудование,7943.99,"0,00000",1497.7606970804345,-0.859093125
6167064,91701000,3600220188,Карачаево-Черкесская Республика,6,1600000.0,4159889.0,,Лифтовое оборудование,4474.2,"0,00000",929.7503464306469,-1.599930625
6167759,91701000,3600230510,Карачаево-Черкесская Республика,6,9306800.0,6894396.81,20.12.2018,Лифтовое оборудование,7418.4,"0,00000",929.3643925913943,0.25920866355782873
6167853,91701000,3600290550,Карачаево-Черкесская Республика,6,7600000.0,6641148.19,20.12.2018,Лифтовое оборудование,9805.5,"0,00000",677.288072000408,0.1261647118421052
6167768,91701000,3600230505,Карачаево-Черкесская Республика,6,9306800.0,1724007.35,20.12.2018,Лифтовое оборудование,7943.99,"0,00000",217.0203323518786,0.8147583111273478
6165457,91705000,1200210093,Карачаево-Черкесская Республика,6,1900000.0,75308.0,17.07.2018,Лифтовое оборудование,2131.0,"0,00000",35.3392773345847,0.9603642105263158
6167536,91701000,3600570345,Карачаево-Черкесская Республика,6,1900000.0,74836.0,17.07.2018,Лифтовое оборудование,2195.1,"0,00000",34.09229647852034,0.9606126315789474
6165393,91705000,1200170054,Карачаево-Черкесская Республика,6,1900000.0,74024.0,17.07.2018,Лифтовое оборудование,2446.0,"0,00000",30.263286999182338,0.96104
6165389,91705000,1200170050,Карачаево-Черкесская Республика,6,3800000.0,75079.0,17.07.2018,Лифтовое оборудование,2816.0,"0,00000",26.661576704545453,0.9802423684210526
6167257,91701000,3600540270,Карачаево-Черкесская Республика,6,1600000.0,45000.0,17.03.2017,Лифтовое оборудование,1923.7,"0,00000",23.392420855642772,0.971875
6167692,91701000,3600780472,Карачаево-Черкесская Республика,6,1600000.0,45000.0,07.08.2017,Лифтовое оборудование,1979.6,"0,00000",22.73186502323702,0.971875
6166822,91635000,2002001032,Карачаево-Черкесская Республика,6,7600000.0,141940.0,17.07.2018,Лифтовое оборудование,7265.3,"0,00000",19.536701856771227,0.9813236842105263
6166817,91635000,2002001031,Карачаево-Черкесская Республика,6,7600000.0,142339.0,17.07.2018,Лифтовое оборудование,7290.6,"0,00000",19.523633171481084,0.9812711842105263
6167469,91701000,3600570367,Карачаево-Черкесская Республика,6,7600000.0,140579.0,17.07.2018,Лифтовое оборудование,7429.6,"0,00000",18.921476257133627,0.9815027631578948
6167871,91701000,3600290557,Карачаево-Черкесская Республика,6,7600000.0,140412.0,17.07.2018,Лифтовое оборудование,7433.2,"0,00000",18.889845557767853,0.9815247368421053
