,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3091389,41615000,41615000128884,Ленинградская область,6,1186548000.0,6716456.66,04.02.2019,Лифтовое оборудование,267.0,"2892,82459",25155.26838951311,-99.43394985622159
3120357,41621000,41621000353421,Ленинградская область,6,0.0,11412136.05,03.07.2017,Лифтовое оборудование,850.9,"11215,01856",13411.841638265367,
3120358,41621000,41621000353421,Ленинградская область,6,3781399600.0,11412136.05,03.07.2017,Лифтовое оборудование,850.9,"11215,01856",13411.841638265367,-99.69820338347738
3092516,41615000,41615000153102,Ленинградская область,6,13404881600.0,8434426.46,06.02.2019,Лифтовое оборудование,3016.4,"3382,66002",2796.1896499138047,-99.93707944082102
3091391,41615000,41615000128884,Ленинградская область,6,1186548000.0,677345.51,18.12.2017,Лифтовое оборудование,267.0,"2892,82459",2536.8745692883895,-99.94291461365238
3092640,41615000,41615000192428,Ленинградская область,6,0.0,5351072.19,,Лифтовое оборудование,2168.3,"11141,80401",2467.8652354379005,
3086164,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086161,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086160,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086157,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086167,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086170,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086185,41612000,41612000352220,Ленинградская область,6,128164960000.0,33230230.6,,Лифтовое оборудование,14420.0,"1136,07895",2304.45427184466,-99.97407229667141
3086207,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3086191,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3086210,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3086194,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3086204,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3086213,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3086216,41612000,41612000352221,Ленинградская область,6,128976434400.0,33230230.6,,Лифтовое оборудование,14511.3,"1136,07895",2289.95545540372,-99.97423542466917
3101999,41615000,41615000217259,Ленинградская область,6,0.0,5600089.81,10.10.2017,Лифтовое оборудование,2479.6,"5596,20395",2258.4649983868367,
3101922,41615000,41615000217246,Ленинградская область,6,11002455200.0,5390698.16,,Лифтовое оборудование,2475.8,"363,91092",2177.3560707650054,-99.95100458886668
3086262,41612000,41612000352223,Ленинградская область,6,117421145600.0,24817948.06,09.09.2015,Лифтовое оборудование,13211.2,"12533,06377",1878.5536559888578,-99.9788641577859
3160777,41754000,41754000351781,Ленинградская область,6,9111088800.0,3661838.26,,Лифтовое оборудование,2050.2,"162,29699",1786.0883133352845,-99.95980899384934
3094444,41615000,41615000211615,Ленинградская область,6,28245797360.0,10402570.56,03.12.2018,Лифтовое оборудование,6355.94,"56526,63109",1636.6690937925785,-99.96317126251591
3118732,41621000,41621000212788,Ленинградская область,6,1484296000.0,3995937.13,19.01.2015,Лифтовое оборудование,2518.7,"4035,89650",1586.5077738515902,-99.73078569705774
3118753,41621000,41621000212790,Ленинградская область,6,5377240000.0,3995937.13,19.01.2015,Лифтовое оборудование,2556.7,"4035,89650",1562.9276528337311,-99.92568795274155
3161702,41754000,41754000351850,Ленинградская область,6,8956882000.0,3658798.52,,Лифтовое оборудование,2363.58,"215,57060",1547.9901336108785,-99.95915097999504
3164331,41754000,41754000285350,Ленинградская область,6,0.0,5837512.8,10.10.2017,Лифтовое оборудование,3902.4,"5837,47618",1495.8776137761377,
3164335,41754000,41754000285350,Ленинградская область,6,0.0,5837512.8,10.10.2017,Лифтовое оборудование,3902.4,"5837,47618",1495.8776137761377,
3091185,41615000,41615000136066,Ленинградская область,6,10154673320.0,3233390.39,13.02.2019,Лифтовое оборудование,2285.03,"1192,21370",1415.0319208062913,-99.96815859764162
3094004,41615000,41615000122623,Ленинградская область,6,9251696960.0,2928050.98,10.10.2017,Лифтовое оборудование,2081.84,"2928,04983",1406.4726299811705,-99.96835120094552
3093997,41615000,41615000122623,Ленинградская область,6,0.0,2928050.98,10.10.2017,Лифтовое оборудование,2081.84,"2928,04983",1406.4726299811705,
3101897,41615000,41615000217243,Ленинградская область,6,0.0,5604607.47,10.10.2017,Лифтовое оборудование,3985.8,"5596,47636",1406.1436775553213,
3101899,41615000,41615000217243,Ленинградская область,6,0.0,5604607.47,10.10.2017,Лифтовое оборудование,3985.8,"5596,47636",1406.1436775553213,
3163218,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3163215,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3163214,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3163212,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3163220,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3163210,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3163222,41754000,41754000285277,Ленинградская область,6,54940283200.0,17342647.0,26.04.2016,Лифтовое оборудование,12362.8,"17342,64700",1402.8089914906009,-99.96843364105557
3120832,41621000,41621000350684,Ленинградская область,6,56497460800.0,17625110.77,03.10.2016,Лифтовое оборудование,12713.2,"17625,11077",1386.36305336186,-99.96880371167053
3120830,41621000,41621000350684,Ленинградская область,6,56497460800.0,17625110.77,03.10.2016,Лифтовое оборудование,12713.2,"17625,11077",1386.36305336186,-99.96880371167053
3120828,41621000,41621000350684,Ленинградская область,6,56497460800.0,17625110.77,03.10.2016,Лифтовое оборудование,12713.2,"17625,11077",1386.36305336186,-99.96880371167053
3162980,41754000,41754000285253,Ленинградская область,6,15946405200.0,4962052.0,24.06.2016,Лифтовое оборудование,3588.3,"4962,05200",1382.8420143243318,-99.968882942972
3162981,41754000,41754000285253,Ленинградская область,6,15946405200.0,4962052.0,24.06.2016,Лифтовое оборудование,3588.3,"4962,05200",1382.8420143243318,-99.968882942972
3163125,41754000,41754000351956,Ленинградская область,6,24031374400.0,7443078.0,26.04.2016,Лифтовое оборудование,5407.6,"7443,07800",1376.4106072934387,-99.9690276641023
3163117,41754000,41754000351956,Ленинградская область,6,24031374400.0,7443078.0,26.04.2016,Лифтовое оборудование,5407.6,"7443,07800",1376.4106072934387,-99.9690276641023
3163127,41754000,41754000351956,Ленинградская область,6,24031374400.0,7443078.0,26.04.2016,Лифтовое оборудование,5407.6,"7443,07800",1376.4106072934387,-99.9690276641023
3161952,41754000,41754000285231,Ленинградская область,6,7795664800.0,2413266.27,,Лифтовое оборудование,1754.2,"215,57060",1375.707598905484,-99.96904348337297
3132694,41625000,4162500041738,Ленинградская область,6,96631224800.0,29795592.0,12.05.2016,Лифтовое оборудование,21744.2,"29795,59200",1370.2776832442673,-99.96916566869388
3161972,41754000,41754000285233,Ленинградская область,6,7838771600.0,2413266.27,,Лифтовое оборудование,1763.9,"215,57060",1368.1423380010203,-99.96921371876685
3092609,41615000,41615000192384,Ленинградская область,6,9235076400.0,2820792.81,13.02.2019,Лифтовое оборудование,2078.1,"1133,11787",1357.3903132669266,-99.96945566351785
3167617,41645000,41645000162594,Ленинградская область,6,51407747600.0,15280148.77,03.10.2016,Лифтовое оборудование,11613.6,"15280,14877",1315.711645829028,-99.97027656436362
3167627,41645000,41645000162594,Ленинградская область,6,51407747600.0,15280148.77,03.10.2016,Лифтовое оборудование,11613.6,"15280,14877",1315.711645829028,-99.97027656436362
3167625,41645000,41645000162594,Ленинградская область,6,51407747600.0,15280148.77,03.10.2016,Лифтовое оборудование,11613.6,"15280,14877",1315.711645829028,-99.97027656436362
3167621,41645000,41645000162594,Ленинградская область,6,51407747600.0,15280148.77,03.10.2016,Лифтовое оборудование,11613.6,"15280,14877",1315.711645829028,-99.97027656436362
3167619,41645000,41645000162594,Ленинградская область,6,51407747600.0,15280148.77,03.10.2016,Лифтовое оборудование,11613.6,"15280,14877",1315.711645829028,-99.97027656436362
3167623,41645000,41645000162594,Ленинградская область,6,51407747600.0,15280148.77,03.10.2016,Лифтовое оборудование,11613.6,"15280,14877",1315.711645829028,-99.97027656436362
3162274,41754000,41754000351821,Ленинградская область,6,0.0,2583501.95,10.10.2017,Лифтовое оборудование,1988.5,"3278,57277",1299.2214986170482,
3162273,41754000,41754000351821,Ленинградская область,6,8836894000.0,2583501.95,10.10.2017,Лифтовое оборудование,1988.5,"3278,57277",1299.2214986170482,-99.9707645927404
3091826,41615000,41615000351030,Ленинградская область,6,21836482800.0,6363671.31,05.02.2019,Лифтовое оборудование,4913.7,"2585,55140",1295.0874717626227,-99.9708576176471
3119176,41621000,41621000168546,Ленинградская область,6,18264840000.0,16560698.11,,Лифтовое оборудование,12871.8,"1471,97024",1286.5875875945867,-99.90933017694104
3093886,41615000,41615000135509,Ленинградская область,6,8632114480.0,2488048.59,03.10.2016,Лифтовое оборудование,1942.42,"2488,04859",1280.9014476786688,-99.97117683511074
3162198,41754000,41754000351832,Ленинградская область,6,23747402800.0,6787954.66,,Лифтовое оборудование,5343.7,"646,71179",1270.2724067593615,-99.97141601244915
3161214,41754000,41754000285186,Ленинградская область,6,8644468800.0,2466058.51,19.10.2018,Лифтовое оборудование,1945.2,"937,86379",1267.7660446226607,-99.97147241123712
3160734,41754000,41754000351780,Ленинградская область,6,24566876400.0,6984237.17,,Лифтовое оборудование,5528.1,"1871,78898",1263.4064452524374,-99.97157051203303
3160731,41754000,41754000351780,Ленинградская область,6,24566876400.0,6984237.17,,Лифтовое оборудование,5528.1,"1871,78898",1263.4064452524374,-99.97157051203303
3160728,41754000,41754000351780,Ленинградская область,6,24566876400.0,6984237.17,,Лифтовое оборудование,5528.1,"1871,78898",1263.4064452524374,-99.97157051203303
3160720,41754000,41754000351779,Ленинградская область,6,24649979200.0,6990910.76,,Лифтовое оборудование,5546.8,"486,89098",1260.3502487920962,-99.97163928333052
3160714,41754000,41754000351779,Ленинградская область,6,24649979200.0,6990910.76,,Лифтовое оборудование,5546.8,"486,89098",1260.3502487920962,-99.97163928333052
3160717,41754000,41754000351779,Ленинградская область,6,24649979200.0,6990910.76,,Лифтовое оборудование,5546.8,"486,89098",1260.3502487920962,-99.97163928333052
3162408,41754000,41754000351817,Ленинградская область,6,46170938000.0,13072073.65,,Лифтовое оборудование,10389.5,"1291,71359",1258.2004571923578,-99.97168765847903
3162406,41754000,41754000351817,Ленинградская область,6,46170938000.0,13072073.65,,Лифтовое оборудование,10389.5,"1291,71359",1258.2004571923578,-99.97168765847903
3162401,41754000,41754000351817,Ленинградская область,6,46170938000.0,13072073.65,,Лифтовое оборудование,10389.5,"1291,71359",1258.2004571923578,-99.97168765847903
3162398,41754000,41754000351817,Ленинградская область,6,46170938000.0,13072073.65,,Лифтовое оборудование,10389.5,"1291,71359",1258.2004571923578,-99.97168765847903
3162395,41754000,41754000351817,Ленинградская область,6,46170938000.0,13072073.65,,Лифтовое оборудование,10389.5,"1291,71359",1258.2004571923578,-99.97168765847903
3162393,41754000,41754000351817,Ленинградская область,6,46170938000.0,13072073.65,,Лифтовое оборудование,10389.5,"1291,71359",1258.2004571923578,-99.97168765847903
3118747,41621000,41621000212789,Ленинградская область,6,40688819600.0,11550893.25,,Лифтовое оборудование,9186.9,"1051,40732",1257.3221924697123,-99.97161162854181
3162834,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162831,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162825,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162828,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162822,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162820,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162806,41754000,41754000351912,Ленинградская область,6,58484817600.0,16545558.09,,Лифтовое оборудование,13160.4,"1508,99419",1257.2230395732652,-99.97170965257486
3162864,41754000,41754000351914,Ленинградская область,6,49719472000.0,14034033.74,,Лифтовое оборудование,11188.0,"973,78196",1254.3827082588489,-99.97177356642082
3162881,41754000,41754000351914,Ленинградская область,6,49719472000.0,14034033.74,,Лифтовое оборудование,11188.0,"973,78196",1254.3827082588489,-99.97177356642082
3162875,41754000,41754000351914,Ленинградская область,6,49719472000.0,14034033.74,,Лифтовое оборудование,11188.0,"973,78196",1254.3827082588489,-99.97177356642082
3162871,41754000,41754000351914,Ленинградская область,6,49719472000.0,14034033.74,,Лифтовое оборудование,11188.0,"973,78196",1254.3827082588489,-99.97177356642082
3162878,41754000,41754000351914,Ленинградская область,6,49719472000.0,14034033.74,,Лифтовое оборудование,11188.0,"973,78196",1254.3827082588489,-99.97177356642082
3162883,41754000,41754000351914,Ленинградская область,6,49719472000.0,14034033.74,,Лифтовое оборудование,11188.0,"973,78196",1254.3827082588489,-99.97177356642082
3160889,41754000,41754000285146,Ленинградская область,6,8470708400.0,2390808.09,,Лифтовое оборудование,1906.1,"215,71310",1254.293106342794,-99.97177558266556
3161062,41754000,41754000285166,Ленинградская область,6,8396938000.0,2369851.58,19.10.2018,Лифтовое оборудование,1889.5,"1040,27230",1254.22152950516,-99.97177719330547
3162908,41754000,41754000351915,Ленинградская область,6,49735026000.0,14034033.74,,Лифтовое оборудование,11191.5,"1293,42359",1253.9904159406692,-99.97178239388073
3162897,41754000,41754000351915,Ленинградская область,6,49735026000.0,14034033.74,,Лифтовое оборудование,11191.5,"1293,42359",1253.9904159406692,-99.97178239388073
3162900,41754000,41754000351915,Ленинградская область,6,49735026000.0,14034033.74,,Лифтовое оборудование,11191.5,"1293,42359",1253.9904159406692,-99.97178239388073
3162906,41754000,41754000351915,Ленинградская область,6,49735026000.0,14034033.74,,Лифтовое оборудование,11191.5,"1293,42359",1253.9904159406692,-99.97178239388073
3162903,41754000,41754000351915,Ленинградская область,6,49735026000.0,14034033.74,,Лифтовое оборудование,11191.5,"1293,42359",1253.9904159406692,-99.97178239388073
