,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4671998,46734000,100338594,Московская область,6,8889661.84,11206153.04,,Лифтовое оборудование,5026.2,"0,00000",2229.5477776451394,26.058260051880655
4839871,46647000,100707205,Московская область,6,3704198.86,3667156.86,30.03.2019,Лифтовое оборудование,1830.2,"0,00000",2003.6918697410117,-1.0000003077588526
4814409,46645101,101780136,Московская область,6,4444830.92,5139778.28,,Лифтовое оборудование,2703.8,"3885,02516",1900.9461794511428,15.63495603112841
4670147,46734000,100341732,Московская область,6,14816795.44,18931677.92,20.03.2019,Лифтовое оборудование,10005.5,"20400,68532",1892.1271220828546,27.771743874463596
4493339,46704000,100887688,Московская область,6,29633590.88,37863355.92,27.12.2018,Лифтовое оборудование,20013.8,"41563,26020",1891.862410936454,27.77174414442751
4671741,46734000,100164537,Московская область,6,7408397.72,9465838.96,20.03.2019,Лифтовое оборудование,5007.8,"10200,34266",1890.2190502815608,27.771743874463596
4670032,46734000,100489010,Московская область,6,14816795.44,18931677.92,10.04.2019,Лифтовое оборудование,10060.6,"20400,68532",1881.76430033994,27.771743874463596
4501613,46704000,100796632,Московская область,6,17779323.68,22412306.08,,Лифтовое оборудование,11997.7,"0,00000",1868.0502162914556,26.058260051880655
4670177,46734000,100921491,Московская область,6,7102970.0,9121424.89,14.03.2018,Лифтовое оборудование,4995.0,"9898,48272",1826.1110890890893,28.417054978410448
4669688,46734000,100483727,Московская область,6,39066335.0,50167836.92,28.02.2018,Лифтовое оборудование,27491.8,"53263,77058",1824.8291097709136,28.417055042404172
4670213,46734000,100576798,Московская область,6,17757425.0,22803562.24,14.03.2018,Лифтовое оборудование,12554.4,"24363,51894",1816.380093035111,28.417055062882145
4669932,46734000,100217260,Московская область,6,13334492.76,16809229.56,,Лифтовое оборудование,9500.0,"0,00000",1769.3925852631578,26.058260051880655
