,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1690318,49701000,4796,Новгородская область,7,1677211.61,1865991.62,22.05.2019,Лифтовое оборудование,1862.6,"426,99000",1001.8209062600666,-0.112555868844719
1690646,49701000,4846,Новгородская область,7,1677211.61,1855518.49,30.04.2019,Лифтовое оборудование,1853.6,"1855,52000",1001.0350075528702,-0.1063114987619242
1689299,49701000,4694,Новгородская область,7,1677211.61,1878793.36,08.04.2019,Лифтовое оборудование,1886.9,"1878,79000",995.7037256876358,-0.12018862068334954
1684312,49701000,4154,Новгородская область,7,1951430.81,1951430.81,14.08.2018,Лифтовое оборудование,1970.4,"4598,59000",990.3729242793341,0.0
1689419,49701000,4705,Новгородская область,7,1677211.61,1878793.36,25.04.2019,Лифтовое оборудование,1941.0,"2500,68000",967.9512416280269,-0.12018862068334954
1684620,49701000,4185,Новгородская область,7,1677211.61,1867322.87,22.05.2019,Лифтовое оборудование,1934.6,"1867,32000",965.2242685826528,-0.1133495969539586
1684308,49701000,4152,Новгородская область,7,1677211.61,1854889.39,30.04.2019,Лифтовое оборудование,1949.0,"2586,47000",951.7133863519754,-0.10593641192359728
1684567,49701000,4191,Новгородская область,7,1677211.61,1627211.61,24.05.2019,Лифтовое оборудование,1924.2,"1627,21000",845.6561739943874,0.029811384384585794
1685396,49701000,4268,Новгородская область,7,1677211.61,1878793.36,08.04.2019,Лифтовое оборудование,2241.2,"1878,79000",838.2979475281101,-0.12018862068334954
1685397,49701000,4269,Новгородская область,7,1677211.61,1878793.36,25.04.2019,Лифтовое оборудование,2251.0,"1878,79000",834.648316303865,-0.12018862068334954
1689422,49701000,4707,Новгородская область,7,1860451.72,1367431.94,05.03.2018,Лифтовое оборудование,1919.0,"1367,43000",712.5752683689421,0.2650000398827872
