,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4366307,54701000,42180,Орловская область,6,5603574.17,5655954.39,25.12.2015,Лифтовое оборудование,6138.4,"5548,89569",921.4053157174508,0.9347644630177232
4362580,54701000,43280,Орловская область,6,,3069786.56,13.06.2019,Лифтовое оборудование,3968.2,"3077,21131",773.5967340355829,
4354446,54701000,41806,Орловская область,6,9088156.37,9022751.0,05.09.2016,Лифтовое оборудование,11808.51,"9357,10454",764.0888647255242,-0.7196769876880893
4357611,54701000,42329,Орловская область,6,8714981.15,8795496.37,25.12.2015,Лифтовое оборудование,11807.0,"8547,54672",744.9391352587447,0.9238714188153807
4354392,54701000,41801,Орловская область,6,,5828379.03,27.06.2019,Лифтовое оборудование,7828.4,"5856,57668",744.5172742833786,
4362952,54701000,43331,Орловская область,6,,5828409.03,13.06.2019,Лифтовое оборудование,7871.6,"7238,11728",740.4351123024544,
4361430,54701000,43110,Орловская область,6,0.0,15290410.62,,Лифтовое оборудование,21040.84,"0,00000",726.70152997694,
4360666,54701000,42927,Орловская область,6,10602849.09,10491430.0,02.08.2016,Лифтовое оборудование,14878.5,"10880,75772",705.1403031219545,-1.0508410433294202
4349691,54710000,42559,Орловская область,6,,8687614.08,03.06.2019,Лифтовое оборудование,12353.9,"9154,24741",703.2284606480545,
4354882,54701000,41900,Орловская область,6,,6149363.59,29.05.2019,Лифтовое оборудование,8793.9,"6261,77423",699.2760424839946,
4361434,54701000,43111,Орловская область,6,,9136651.22,,Лифтовое оборудование,13067.8,"0,00000",699.1728691899173,
4365061,54701000,43621,Орловская область,6,,4609575.07,29.05.2019,Лифтовое оборудование,6601.0,"4703,62164",698.3146599000152,
4362080,54701000,43212,Орловская область,6,0.0,9228940.63,30.04.2019,Лифтовое оборудование,13283.5,"204,18906",694.7672398087853,
4359745,54701000,42817,Орловская область,6,6058770.91,5994201.0,09.08.2016,Лифтовое оборудование,8666.74,"6216,65469",691.6327246461761,-1.0657262167385717
4349298,54710000,42524,Орловская область,6,3029385.46,3011650.0,15.08.2016,Лифтовое оборудование,4396.3,"3123,18820",685.041967108705,-0.5854474524347952
4349288,54710000,42531,Орловская область,6,,5771993.11,03.06.2019,Лифтовое оборудование,8440.3,"6134,12522",683.8611317133278,
4366035,54701000,43755,Орловская область,6,0.0,10697442.5,,Лифтовое оборудование,15713.8,"0,00000",680.7673828100142,
4351519,54701000,42394,Орловская область,6,,5866335.73,25.06.2019,Лифтовое оборудование,8645.6,"5864,86417",678.534252105117,
4359728,54701000,42815,Орловская область,6,3029385.46,2993740.0,03.08.2016,Лифтовое оборудование,4412.27,"3104,89492",678.503355415693,-1.1766564694609682
4360680,54701000,42929,Орловская область,6,4544078.18,4492264.0,12.08.2016,Лифтовое оборудование,6627.5,"4659,03178",677.8218030931724,-1.1402572303454428
4361722,54701000,43136,Орловская область,6,9088156.37,9001201.0,11.08.2016,Лифтовое оборудование,13299.0,"9335,09337",676.8329197684036,-0.9567987880032436
4354894,54701000,41902,Орловская область,6,3029385.46,2993753.0,08.08.2016,Лифтовое оборудование,4436.1,"3104,90820",674.8614774238632,-1.1762273395211964
4359713,54701000,42813,Орловская область,6,3029385.46,2993720.0,03.08.2016,Лифтовое оборудование,4437.6,"3104,87449",674.6259239228411,-1.1773166693683113
4366475,54701000,43023,Орловская область,6,,13389159.92,21.12.2017,Лифтовое оборудование,19922.3,"13895,27330",672.0689840028512,
4354886,54701000,41901,Орловская область,6,,5834888.19,20.06.2019,Лифтовое оборудование,8705.3,"5835,55426",670.26847897258,
4355403,54701000,41974,Орловская область,6,,5828409.03,27.06.2019,Лифтовое оборудование,8741.2,"5827,21748",666.7744737564636,
4353069,54701000,43799,Орловская область,6,9769687.15,9872182.5,11.02.2016,Лифтовое оборудование,14896.73,"9528,02229",662.708023841474,1.0491159893487367
