,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1377776,5701000,54536,Приморский край,6,7774087.43,7774087.44,22.05.2017,Лифтовое оборудование,1088.0,"8240,53000",7145.300955882353,-1.286324703426336e-09
1381470,5701000,55070,Приморский край,6,5267210.75,5282762.89,15.06.2017,Лифтовое оборудование,2387.7,"5629,75000",2212.4902165263643,-0.0029526329471437356
1352542,5701000,55673,Приморский край,6,2409056.14,4733421.16,16.06.2017,Лифтовое оборудование,2337.6,"2552,88000",2024.9063826146476,-0.9648446880943172
1381484,5701000,55073,Приморский край,6,5300190.59,5315742.73,15.06.2017,Лифтовое оборудование,2626.7,"5665,00000",2023.7342406822252,-0.002934260520620372
1355248,5701000,54890,Приморский край,6,10589493.46,10642818.56,26.04.2017,Лифтовое оборудование,5397.4,"11319,88000",1971.8417312039132,-0.005035661073065116
1381537,5701000,55077,Приморский край,6,5237839.5,5253391.63,06.06.2017,Лифтовое оборудование,2670.19,"5598,37000",1967.4224043981887,-0.0029691879638541595
1355251,5701000,54912,Приморский край,6,10528735.26,10643598.49,18.04.2017,Лифтовое оборудование,5472.56,"11259,18000",1944.9030234478926,-0.010909499304857672
1381653,5701000,55090,Приморский край,6,5300348.78,5316776.62,05.06.2017,Лифтовое оборудование,2743.33,"5665,23000",1938.0740268214179,-0.0030993884896759285
1381611,5701000,55054,Приморский край,6,5268396.74,5284243.31,27.04.2017,Лифтовое оборудование,2750.23,"5631,04000",1921.3823243874147,-0.0030078543401420763
1381571,5701000,55079,Приморский край,6,5260511.98,5280315.97,18.05.2017,Лифтовое оборудование,2748.73,"5622,89000",1921.0020518566755,-0.0037646506794951334
1381735,5701000,55060,Приморский край,6,5244266.92,5266476.98,15.06.2017,Лифтовое оборудование,2746.89,"5605,69000",1917.2507745122668,-0.0042351124263523415
1381514,5701000,55075,Приморский край,6,5295522.58,5316960.77,06.06.2017,Лифтовое оборудование,2774.49,"5660,41000",1916.374097581898,-0.0040483615499944635
1381689,5701000,55056,Приморский край,6,5243367.76,5263370.48,24.04.2017,Лифтовое оборудование,2756.44,"5604,58000",1909.4812439233215,-0.003814861157097375
1381622,5701000,55086,Приморский край,6,5246445.2,5265242.08,05.06.2017,Лифтовое оборудование,2768.28,"5607,79000",1901.9904344936206,-0.0035827840153557474
1381701,5701000,55057,Приморский край,6,5205861.46,5282611.23,18.04.2017,Лифтовое оборудование,2781.28,"5568,39000",1899.3453481850083,-0.014742952840700544
1381589,5701000,55084,Приморский край,6,5243766.6,5266026.83,05.06.2017,Лифтовое оборудование,2781.05,"5605,16000",1893.539069775804,-0.004245084058470575
1355267,5701000,54934,Приморский край,6,10572107.34,10608171.73,27.04.2017,Лифтовое оборудование,7252.49,"11300,12000",1462.6937410461787,-0.003411277320610386
1362669,5701000,52486,Приморский край,6,7127663.74,7217569.14,16.05.2017,Лифтовое оборудование,5251.0,"15496,22000",1374.5132622357646,-0.012613586061230133
1371888,5701000,53779,Приморский край,6,5029820.89,5020149.48,02.04.2019,Лифтовое оборудование,3751.3,"5233,19000",1338.2426038973156,0.0019228139950723411
1356680,5701000,53425,Приморский край,6,5029443.29,5019094.48,16.04.2019,Лифтовое оборудование,3809.1,"5246,06000",1317.658890551574,0.0020576452309495254
1354627,5701000,54242,Приморский край,6,4684908.59,4614744.78,07.05.2019,Лифтовое оборудование,3509.4,"4826,82000",1314.9668832279021,0.014976559019692547
1377465,5701000,54524,Приморский край,6,5142451.12,5142451.12,30.04.2019,Лифтовое оборудование,3954.9,"5364,08000",1300.2733621583352,0.0
1354852,5701000,55018,Приморский край,6,9339621.94,9368627.31,02.03.2017,Лифтовое оборудование,7313.3,"9982,57000",1281.0396551488384,-0.0031056257080145843
1374021,5701000,54050,Приморский край,6,9283900.53,9239955.05,02.04.2019,Лифтовое оборудование,7271.5,"9537,29000",1270.7082513924227,0.004733514739628365
1354971,5701000,55126,Приморский край,6,14232287.72,14051529.8,07.05.2019,Лифтовое оборудование,11140.7,"14456,30000",1261.2788962991553,0.01270055268388011
1355322,5701000,54996,Приморский край,6,9276760.33,9169274.15,16.05.2019,Лифтовое оборудование,7347.9,"13283,16000",1247.8768287537937,0.011586607412115788
1359818,5701000,55775,Приморский край,6,9319083.48,9230660.27,30.04.2019,Лифтовое оборудование,7398.8,"12934,86000",1247.5888346758934,0.009488401964610461
1426139,5723000,59945,Приморский край,6,7633412.92,8276558.04,31.08.2017,Лифтовое оборудование,6854.1,"10534,26000",1207.533890663982,-0.08425394076546303
