,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
86019,35703000,9102000468,Республика Крым,6,4860000.0,4709964.5,,Лифтовое оборудование,3117.9,"0,00000",1510.6207703903267,0.03087150205761317
117006,35729000,9102007930,Республика Крым,6,9720000.0,2704811.9,,Лифтовое оборудование,2513.0,"0,00000",1076.3278551532032,0.721727170781893
86209,35703000,9102000488,Республика Крым,6,4860000.0,2723757.25,,Лифтовое оборудование,3556.8,"0,00000",765.788700517319,0.43955612139917694
86195,35703000,9102000486,Республика Крым,6,4860000.0,2723757.25,,Лифтовое оборудование,3575.8,"0,00000",761.7196851054309,0.43955612139917694
123677,35729000,9102007810,Республика Крым,6,2430000.0,1386832.4,,Лифтовое оборудование,1943.54,"0,00000",713.5599987651399,0.42928707818930045
120749,35729000,9102007121,Республика Крым,6,2430000.0,1370017.75,,Лифтовое оборудование,1967.3,"0,00000",696.3949321404972,0.4362066872427984
121559,35729000,9102007328,Республика Крым,6,2430000.0,1359639.9,,Лифтовое оборудование,1956.7,"0,00000",694.8637501916492,0.44047740740740743
120755,35729000,9102007123,Республика Крым,6,2430000.0,1386824.95,,Лифтовое оборудование,1996.5,"0,00000",694.628074129727,0.4292901440329218
115183,35729000,9102006789,Республика Крым,6,2430000.0,1352830.6,,Лифтовое оборудование,1953.3,"0,00000",692.5872113858599,0.4432795884773662
121550,35729000,9102007326,Республика Крым,6,2430000.0,1369533.5,,Лифтовое оборудование,1985.1,"0,00000",689.9065538260038,0.4364059670781893
122423,35729000,9102007532,Республика Крым,6,2430000.0,1351511.95,,Лифтовое оборудование,2004.9,"0,00000",674.104419173026,0.4438222427983539
106430,35701000,9102004441,Республика Крым,6,7290000.0,5736763.53,,Лифтовое оборудование,8688.9,"21,00000",660.2404826848048,0.21306398765432094
119236,35729000,9102008470,Республика Крым,6,2430000.0,1352271.85,,Лифтовое оборудование,2053.2,"0,00000",658.6167202415743,0.44350952674897115
98775,35715000,9102002913,Республика Крым,6,14580000.0,8064461.1,,Лифтовое оборудование,13181.0,"0,00000",611.8246794628632,0.4468819547325103
104986,35701000,9102004148,Республика Крым,6,7290000.0,4059743.4,,Лифтовое оборудование,6670.0,"0,00000",608.6571814092954,0.4431079012345679
