,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3052021,88701000,1215001420,Республика Марий Эл,6,3000000.0,4313127.85,29.06.2018,Лифтовое оборудование,3847.2,,1121.1082995425245,43.770928333333316
3051387,88701000,1215001190,Республика Марий Эл,6,9600000.0,9694563.6,26.10.2018,Лифтовое оборудование,8901.8,,1089.0565503606012,0.9850374999999856
3048989,88701000,1215000330,Республика Марий Эл,6,10460978.0,10460978.0,11.12.2015,Лифтовое оборудование,10399.89,,1005.8739082817223,0.0
3050065,88701000,1215000730,Республика Марий Эл,6,6322380.0,6290768.1,23.08.2018,Лифтовое оборудование,6665.3,,943.8086957826354,-0.5000000000000004
3048203,88701000,1215000045,Республика Марий Эл,6,14400000.0,14692956.84,26.12.2017,Лифтовое оборудование,16722.4,,878.6392407788355,2.0344224999999883
3050397,88701000,1215000841,Республика Марий Эл,6,8000000.0,6805748.72,01.12.2017,Лифтовое оборудование,7904.2,,861.0294172718302,-14.928141000000005
3052036,88701000,1215001425,Республика Марий Эл,6,3170193.0,3170193.0,07.12.2015,Лифтовое оборудование,3744.1,,846.7169680297001,0.0
3049666,88701000,1215000586,Республика Марий Эл,6,2100072.0,2089571.64,21.09.2018,Лифтовое оборудование,2673.1,,781.7035052934795,-0.5000000000000004
3051214,88701000,1215001132,Республика Марий Эл,6,8000000.0,6793702.6,10.06.2018,Лифтовое оборудование,8742.8,,777.0625657684037,-15.078717500000005
3049288,88701000,1215000437,Республика Марий Эл,6,4400000.0,3716095.26,21.11.2017,Лифтовое оборудование,4919.2,,755.4267482517482,-15.543289545454552
3048291,88701000,1215000099,Республика Марий Эл,6,10000000.0,8237438.0,25.05.2017,Лифтовое оборудование,10991.5,,749.437110494473,-17.625619999999998
3050423,88701000,1215000850,Республика Марий Эл,6,12000000.0,10656151.5,01.08.2018,Лифтовое оборудование,14317.2,,744.2901894225128,-11.1987375
3047703,88705000,1216000254,Республика Марий Эл,6,2000000.0,1795763.35,10.06.2018,Лифтовое оборудование,2464.11,,728.7675266120425,-10.211832499999996
3047099,88705000,1216000022,Республика Марий Эл,6,3600000.0,3061792.0,23.04.2016,Лифтовое оборудование,4281.7,,715.0879323633137,-14.95022222222222
3047043,88705000,1216000006,Республика Марий Эл,6,2697048.46,2697048.46,30.10.2014,Лифтовое оборудование,3838.0,,702.7223710265763,0.0
