,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2282695,36701000,1106210,Самарская область,6,4492000.0,4492000.0,01.09.2016,Лифтовое оборудование,3975.7,"4492,00000",1129.8639233342556,0.0
2255983,36701000,1101787,Самарская область,6,6579218.44,6579218.44,01.10.2016,Лифтовое оборудование,5826.3,"14908,42864",1129.2275440674184,0.0
2284792,36701000,1106502,Самарская область,6,1830452.82,1830452.82,01.09.2016,Лифтовое оборудование,1781.7,"1830,45282",1027.3630914295336,0.0
2233337,36713000,14060,Самарская область,6,3866400.0,3734631.94,30.10.2018,Лифтовое оборудование,3689.1,"3734,63194",1012.3422894472907,-3.408029691702874
2248354,36701000,110401,Самарская область,6,5508612.0,5508612.0,01.09.2016,Лифтовое оборудование,5715.9,"5508,61200",963.734844906314,0.0
2255483,36701000,1101720,Самарская область,6,3599590.64,3599590.64,12.01.2015,Лифтовое оборудование,3780.6,"3599,59064",952.1215256837539,0.0
2237002,36713000,140581,Самарская область,6,3226434.06,3734631.91,30.10.2018,Лифтовое оборудование,4070.4,"3734,63191",917.5098049331762,15.751068844097183
2284316,36701000,1106433,Самарская область,6,10789384.0,10736295.68,21.12.2018,Лифтовое оборудование,11710.2,"21266,58808",916.8328192515926,-0.49204217775546955
2289970,36701000,1107418,Самарская область,6,5799600.0,5666989.72,30.11.2018,Лифтовое оборудование,6900.4,"10791,39689",821.2552489710741,-2.286541830471067
2234592,36713000,140224,Самарская область,6,3866400.0,3772531.18,31.12.2018,Лифтовое оборудование,4670.7,"3772,53118",807.7014537435502,-2.4278093316780436
2294920,36701000,1108216,Самарская область,6,5382790.44,5382790.44,12.03.2015,Лифтовое оборудование,6686.7,"5382,79044",804.9995423751627,0.0
2236905,36713000,140571,Самарская область,6,3866400.0,3724590.79,19.07.2017,Лифтовое оборудование,4629.0,"3724,59079",804.6210391013178,-3.6677325160355823
2233270,36713000,14053,Самарская область,6,3866400.0,3724590.79,19.07.2017,Лифтовое оборудование,4637.0,"3724,59079",803.2328639206384,-3.6677325160355823
2235300,36713000,140319,Самарская область,6,3866400.0,3743779.99,30.10.2018,Лифтовое оборудование,4666.4,"3743,77999",802.2844141093777,-3.1714258741982193
2235293,36713000,140318,Самарская область,6,3866400.0,3772562.96,31.12.2018,Лифтовое оборудование,4705.2,"3772,56296",801.7858879537533,-2.426987378439893
2234670,36713000,140232,Самарская область,6,3866400.0,3724590.79,19.07.2017,Лифтовое оборудование,4663.8,"3724,59079",798.6171769801449,-3.6677325160355823
2234704,36713000,140237,Самарская область,6,3866400.0,3724590.79,19.07.2017,Лифтовое оборудование,4681.6,"3724,59079",795.5807394907723,-3.6677325160355823
2233102,36713000,140532,Самарская область,6,7449180.27,7449180.27,19.07.2017,Лифтовое оборудование,9410.1,"7449,18027",791.61542066503,0.0
2233503,36713000,14030,Самарская область,6,3866400.0,3724590.79,19.07.2017,Лифтовое оборудование,4711.0,"3724,59079",790.6157482487795,-3.6677325160355823
2236515,36713000,140511,Самарская область,6,3866400.0,3724590.79,19.07.2017,Лифтовое оборудование,4711.2,"3724,59079",790.5821850059433,-3.6677325160355823
2234805,36713000,140249,Самарская область,6,3866400.0,3769739.86,19.07.2017,Лифтовое оборудование,4771.2,"3769,73986",790.1030893695506,-2.500003620939384
2233634,36713000,14096,Самарская область,6,3672408.0,3672408.0,01.09.2016,Лифтовое оборудование,4677.5,"3672,40800",785.1219668626403,0.0
2237225,36713000,140620,Самарская область,6,3672408.0,3672408.0,01.09.2016,Лифтовое оборудование,4678.2,"3672,40800",785.0044889059895,0.0
2236935,36713000,140575,Самарская область,6,5799600.0,5657627.69,31.12.2018,Лифтовое оборудование,7287.7,"5657,62769",776.3255471547951,-2.4479672736050673
2304620,36735000,130119,Самарская область,6,7732800.0,7202720.0,23.11.2017,Лифтовое оборудование,9293.9,"7202,72000",774.9943511335392,-6.854955514173389
2284286,36701000,1106427,Самарская область,6,4546740.29,4533766.45,30.10.2018,Лифтовое оборудование,5858.8,"4533,76645",773.8387468423568,-0.2853437665778724
2236925,36713000,140574,Самарская область,6,3866400.0,3601360.0,30.05.2017,Лифтовое оборудование,4667.0,"3601,36000",771.6648810799229,-6.854955514173389
2235311,36713000,140299,Самарская область,6,3672408.0,3672408.0,01.09.2016,Лифтовое оборудование,4765.9,"3672,40800",770.5591808472692,0.0
2236918,36713000,140573,Самарская область,6,5799600.0,5586886.37,19.07.2017,Лифтовое оборудование,7275.9,"5586,88637",767.8618961228165,-3.6677293261604182
2233881,36713000,140119,Самарская область,6,5799600.0,5586886.37,19.07.2017,Лифтовое оборудование,7293.4,"5586,88637",766.0194655441907,-3.6677293261604182
2284719,36701000,1106492,Самарская область,6,1895937.13,1895937.13,01.09.2016,Лифтовое оборудование,2484.0,"1895,93713",763.2597141706924,0.0
2313728,36740000,120244,Самарская область,6,13532400.0,13316950.96,30.10.2018,Лифтовое оборудование,17474.9,"13316,95096",762.0616404099594,-1.5920977801424652
2260142,36701000,1102410,Самарская область,6,2560104.6,2560104.6,01.09.2016,Лифтовое оборудование,3363.0,"2560,10460",761.2561998215879,0.0
2287197,36701000,1106871,Самарская область,6,5969244.84,5969244.84,01.10.2016,Лифтовое оборудование,7919.4,"5969,24484",753.7496325479203,0.0
2312239,36740000,12056,Самарская область,6,3748651.01,3748651.01,01.12.2016,Лифтовое оборудование,4982.9,"3748,65101",752.3030785285678,0.0
