,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6277462,67310000,673100711,Севастополь,6,4072169.95,4023585.09,19.11.2018,Лифтовое оборудование,2398.1,"3684,30000",1677.8220633001126,0.011930950966327016
6280451,67310000,673100379,Севастополь,6,1990000.0,1951941.66,25.12.2018,Лифтовое оборудование,1286.2,"1941,65000",1517.6035297776396,0.01912479396984929
6277364,67310000,673100697,Севастополь,6,3993645.55,4023804.35,04.06.2018,Лифтовое оборудование,2728.0,"4077,75000",1475.00159457478,-0.007551696719805362
6293293,67314000,673140539,Севастополь,6,3498915.64,3429542.13,30.11.2018,Лифтовое оборудование,2422.5,"3182,66000",1415.703665634675,0.019827145646758217
6283060,67312000,673120236,Севастополь,6,3474919.06,3435433.86,30.11.2018,Лифтовое оборудование,2447.4,"3147,54000",1403.7075508703113,0.011362912147945162
6280297,67310000,673100381,Севастополь,6,1515480.12,1514062.29,04.06.2018,Лифтовое оборудование,1105.5,"1540,01000",1369.5724016282225,0.0009355648954339793
6277449,67310000,673100713,Севастополь,6,4448550.0,4430965.0,17.12.2018,Лифтовое оборудование,3295.3,"8571,92000",1344.631748247504,0.003952973440784075
6289029,67312000,673120696,Севастополь,6,4084542.03,4024115.72,19.11.2018,Лифтовое оборудование,3095.7,"3679,62000",1299.9049391090869,0.01479390089664461
6277285,67310000,673100712,Севастополь,6,4074567.71,4023585.09,19.11.2018,Лифтовое оборудование,3105.6,"3684,30000",1295.59025309119,0.012512399750991035
6274891,67310000,673100232,Севастополь,6,4090359.71,4024115.72,19.11.2018,Лифтовое оборудование,3124.2,"3696,10000",1288.0467703732156,0.016195150230442632
6274911,67310000,673100233,Севастополь,6,4086581.29,4023896.46,19.11.2018,Лифтовое оборудование,3152.8,"3684,30000",1276.2929649835066,0.015339185874851415
6283310,67312000,673120258,Севастополь,6,,3859300.0,29.07.2019,Лифтовое оборудование,3129.0,"0,00000",1233.397251518057,
6283069,67312000,673120237,Севастополь,6,3491980.68,3435433.86,30.11.2018,Лифтовое оборудование,3095.8,"3164,61000",1109.7079462497577,0.01619333701468254
6299174,67314000,673140695,Севастополь,6,3486802.84,3429542.13,30.11.2018,Лифтовое оборудование,3101.1,"3176,46000",1105.9114926961402,0.016422124400931132
6283081,67312000,673120238,Севастополь,6,3474919.06,3435433.86,30.11.2018,Лифтовое оборудование,3119.9,"3147,54000",1101.1358889708004,0.011362912147945162
6299318,67314000,673140697,Севастополь,6,3473696.58,3429542.13,30.11.2018,Лифтовое оборудование,3116.9,"3159,40000",1100.305473387019,0.012711084282439023
6283857,67312000,673120303,Севастополь,6,3474660.64,3435169.43,30.11.2018,Лифтовое оборудование,3138.5,"3147,28000",1094.525865859487,0.011365486904067836
6293672,67314000,673140549,Севастополь,6,3475155.06,3429806.57,30.11.2018,Лифтовое оборудование,3136.71,"3162,83000",1093.4407611797074,0.013049342897522456
6293653,67314000,673140548,Севастополь,6,3471982.04,3429806.57,30.11.2018,Лифтовое оборудование,3153.3,"3159,66000",1087.6879998731486,0.01214737562409747
6299208,67314000,673140698,Севастополь,6,3477128.02,3369885.5,30.11.2018,Лифтовое оборудование,3111.8,"3162,83000",1082.9376887974804,0.03084226964988192
6284692,67312000,673120204,Севастополь,6,4081220.55,4023896.46,19.11.2018,Лифтовое оборудование,3742.5,"3679,40000",1075.1894348697394,0.014045820189746877
6284092,67312000,673120177,Севастополь,6,4071176.67,4023896.46,19.11.2018,Лифтовое оборудование,3831.3,"3674,63000",1050.2692193250332,0.011613401685169306
6283207,67312000,673120248,Севастополь,6,3474919.06,3435433.86,30.11.2018,Лифтовое оборудование,3319.2,"10568,04000",1035.018637020969,0.011362912147945162
6284979,67312000,673120228,Севастополь,6,4796320.04,4762974.25,19.11.2018,Лифтовое оборудование,4695.8,"4427,66000",1014.3051769666511,0.006952369675481463
6273714,67310000,673100012,Севастополь,6,3192086.69,3121783.5,04.06.2018,Лифтовое оборудование,3265.1,"3255,16000",956.1065511010382,0.022024210752246188
6286316,67312000,673120140,Севастополь,6,2094000.0,2094000.0,08.08.2019,Лифтовое оборудование,2421.9,"2094,00000",864.6104298278211,0.0
6283357,67312000,673120343,Севастополь,6,4177703.47,4068915.05,30.11.2018,Лифтовое оборудование,4796.3,"3796,53000",848.3445676875924,0.02604024454612629
6284054,67312000,673120316,Севастополь,6,5558186.07,5420670.6,30.11.2018,Лифтовое оборудование,6408.9,"5056,57000",845.8035856387212,0.024741069886492783
6292169,67312000,673121074,Севастополь,6,2560000.0,2560000.0,08.08.2019,Лифтовое оборудование,3102.2,"2560,00000",825.2208110373284,0.0
6278760,67310000,673100572,Севастополь,6,12789823.15,12641534.38,19.11.2018,Лифтовое оборудование,16055.0,"32146,31000",787.3892482092806,0.01159427837749262
