,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
473052,68701000,2327,Тамбовская область,6,5317616.79,5317616.79,25.12.2017,Лифтовое оборудование,5908.5,"5317,61679",899.9943792840822,0.0
460897,68701000,1286,Тамбовская область,6,1753329.0,1753329.0,25.12.2016,Лифтовое оборудование,1973.6,"1797,16200",888.3912646939604,0.0
458331,68701000,4343,Тамбовская область,6,3506658.0,3506658.0,25.12.2016,Лифтовое оборудование,4015.9,"3594,32400",873.1935556164246,0.0
470211,68701000,2616,Тамбовская область,6,20286408.0,20286408.0,25.12.2016,Лифтовое оборудование,23442.7,"20793,56400",865.3614131478029,0.0
456372,68701000,2511,Тамбовская область,6,18824150.0,18824150.0,25.12.2016,Лифтовое оборудование,22340.2,"19294,74000",842.6133159058558,0.0
467025,68701000,2711,Тамбовская область,6,10635237.18,10635237.18,25.12.2017,Лифтовое оборудование,12785.13,"10635,23718",831.8442737774274,0.0
472842,68701000,2148,Тамбовская область,6,1753329.0,1753329.0,25.12.2016,Лифтовое оборудование,2124.2,"1797,16200",825.4067413614538,0.0
459970,68701000,1244,Тамбовская область,6,3270092.0,3270092.0,25.12.2015,Лифтовое оборудование,4030.0,"3285,86800",811.4372208436724,0.0
456975,68701000,2351,Тамбовская область,6,4530078.3,4530078.3,25.12.2017,Лифтовое оборудование,5625.3,"4530,07830",805.3043037704655,0.0
438861,68720000,974,Тамбовская область,6,7074448.0,7074448.0,25.12.2016,Лифтовое оборудование,8940.6,"7200,00000",791.272174127016,0.0
454291,68701000,2183,Тамбовская область,6,9111712.5,9111712.5,25.12.2018,Лифтовое оборудование,11583.22,"9204,21250",786.6303583977513,0.0
462453,68701000,2685,Тамбовская область,6,8629135.0,8629135.0,25.12.2015,Лифтовое оборудование,11045.2,"9671,73477",781.2565639372758,0.0
465386,68701000,2033,Тамбовская область,6,9111712.5,9111712.5,25.12.2018,Лифтовое оборудование,11792.3,"9204,21250",772.6832339747124,0.0
466542,68701000,5231,Тамбовская область,6,5071602.0,5071602.0,25.12.2016,Лифтовое оборудование,6600.1,"5198,39100",768.4129028348054,0.0
462380,68701000,4627,Тамбовская область,6,8923035.0,8923035.0,25.12.2015,Лифтовое оборудование,11612.6,"8966,13000",768.39252191585,0.0
452682,68701000,2227,Тамбовская область,6,5467027.5,5467027.5,25.12.2018,Лифтовое оборудование,7136.6,"5779,80020",766.0549141047558,0.0
451454,68701000,2658,Тамбовская область,6,9000000.0,9000000.0,25.12.2014,Лифтовое оборудование,11854.7,"9000,00000",759.1925565387568,0.0
460333,68701000,4591,Тамбовская область,6,3644685.0,3644685.0,25.12.2018,Лифтовое оборудование,4894.3,"3681,68500",744.679525161923,0.0
459992,68701000,1324,Тамбовская область,6,3270092.0,3270092.0,25.12.2015,Лифтовое оборудование,4419.6,"3285,86800",739.9067788940175,0.0
472804,68701000,2192,Тамбовская область,6,1784607.0,1784607.0,25.12.2015,Лифтовое оборудование,2421.9,"1793,22600",736.8623807754242,0.0
462403,68701000,4038,Тамбовская область,6,7225710.0,7225710.0,25.12.2014,Лифтовое оборудование,9858.1,"7225,71000",732.9718708473235,0.0
451417,68701000,4698,Тамбовская область,6,2890284.0,2890284.0,25.12.2014,Лифтовое оборудование,4012.3,"2890,28400",720.3559055903098,0.0
453328,68701000,3670,Тамбовская область,6,30979822.5,30979822.5,25.12.2018,Лифтовое оборудование,43203.94,"31294,32250",717.0601222944018,0.0
473343,68701000,1188,Тамбовская область,6,3506658.0,3506658.0,25.12.2016,Лифтовое оборудование,4909.8,"3594,32400",714.2160576805572,0.0
460017,68701000,1243,Тамбовская область,6,3552046.52,3552046.52,25.12.2018,Лифтовое оборудование,4987.2,"3589,04652",712.2326195059352,0.0
460117,68701000,1326,Тамбовская область,6,14180311.44,14180311.44,25.12.2017,Лифтовое оборудование,19977.71,"14180,31144",709.8066515131113,0.0
466334,68701000,1745,Тамбовская область,6,5071602.0,5071602.0,25.12.2016,Лифтовое оборудование,7254.6,"5198,39100",699.0877512199156,0.0
471120,68701000,2453,Тамбовская область,6,3000000.0,3000000.0,25.12.2014,Лифтовое оборудование,4300.2,"3000,00000",697.6419701409237,0.0
467011,68701000,3921,Тамбовская область,6,6762136.0,6762136.0,25.12.2016,Лифтовое оборудование,9838.2,"10684,72800",687.3346750421824,0.0
458846,68701000,4612,Тамбовская область,6,7289370.0,7289370.0,25.12.2018,Лифтовое оборудование,10637.0,"7363,37000",685.2843846949328,0.0
466535,68701000,3638,Тамбовская область,6,5328070.78,5328070.78,25.12.2018,Лифтовое оборудование,7779.86,"5383,57078",684.8543264274679,0.0
451584,68701000,2434,Тамбовская область,6,3287935.31,3287935.31,25.12.2017,Лифтовое оборудование,4803.0,"3459,12151",684.5586737455757,0.0
472795,68701000,2190,Тамбовская область,6,31905700.74,31905700.74,25.12.2017,Лифтовое оборудование,46635.55,"31905,70074",684.1497685778338,0.0
470711,68701000,2609,Тамбовская область,6,5467027.5,5467027.5,25.12.2018,Лифтовое оборудование,8094.4,"5522,52750",675.4086158331686,0.0
458921,68701000,1318,Тамбовская область,6,3644685.0,3644685.0,25.12.2018,Лифтовое оборудование,5410.6,"3681,68500",673.6193767789155,0.0
458964,68701000,1316,Тамбовская область,6,3644685.0,3644685.0,25.12.2018,Лифтовое оборудование,5413.7,"3681,68500",673.2336479671943,0.0
459275,68701000,5263,Тамбовская область,6,3644685.0,3644685.0,25.12.2018,Лифтовое оборудование,5427.5,"3644,68500",671.5218793182866,0.0
458978,68701000,2291,Тамбовская область,6,7090155.76,7090155.76,25.12.2017,Лифтовое оборудование,10723.0,"7402,50512",661.21008672946,0.0
452392,68701000,2268,Тамбовская область,6,1500000.0,1500000.0,25.12.2014,Лифтовое оборудование,2295.5,"1500,00000",653.452406883032,0.0
458290,68701000,2078,Тамбовская область,6,16350460.0,16350460.0,25.12.2015,Лифтовое оборудование,25031.5,"16429,34000",653.1953738289754,0.0
462332,68701000,5194,Тамбовская область,6,2890284.0,2890284.0,25.12.2014,Лифтовое оборудование,4450.0,"2890,28400",649.5020224719101,0.0
467937,68701000,4385,Тамбовская область,6,10143204.0,10143204.0,25.12.2016,Лифтовое оборудование,15630.0,"10396,78200",648.9573896353166,0.0
472729,68701000,3582,Тамбовская область,6,12683192.0,12683192.0,25.12.2015,Лифтовое оборудование,19579.05,"16549,36500",647.7940451656235,0.0
439630,68720000,953,Тамбовская область,6,7027612.03,7027612.03,25.12.2017,Лифтовое оборудование,10892.4,"7027,61203",645.184902317212,0.0
451395,68701000,2659,Тамбовская область,6,5467027.5,5467027.5,25.12.2018,Лифтовое оборудование,8517.7,"5522,52750",641.8431618864247,0.0
453098,68701000,3564,Тамбовская область,6,1772538.94,1772538.94,25.12.2017,Лифтовое оборудование,2766.0,"1772,53894",640.8311424439623,0.0
471772,68701000,2373,Тамбовская область,6,9763181.0,9763181.0,25.12.2015,Лифтовое оборудование,15308.4,"9810,27600",637.7662590473204,0.0
453084,68701000,2519,Тамбовская область,6,1784607.0,1784607.0,25.12.2015,Лифтовое оборудование,2803.7,"1793,22600",636.5185290865642,0.0
471443,68701000,2585,Тамбовская область,6,1822342.5,1822342.5,25.12.2018,Лифтовое оборудование,2865.2,"1840,84250",636.0262808878962,0.0
460350,68701000,1297,Тамбовская область,6,6762136.0,6762136.0,25.12.2016,Лифтовое оборудование,10663.2,"6931,18800",634.1563508140146,0.0
473275,68701000,1205,Тамбовская область,6,1753329.0,1753329.0,25.12.2016,Лифтовое оборудование,2771.0,"1797,16200",632.7423312883435,0.0
466563,68701000,5305,Тамбовская область,6,5071602.0,5071602.0,25.12.2016,Лифтовое оборудование,8053.78,"5198,39100",629.7169776179633,0.0
467981,68701000,2759,Тамбовская область,6,5074602.0,5074602.0,25.12.2016,Лифтовое оборудование,8225.3,"5177,91600",616.9503847883968,0.0
461726,68701000,1195,Тамбовская область,6,3506658.0,3506658.0,25.12.2016,Лифтовое оборудование,5700.7,"3594,32400",615.1276159068185,0.0
467952,68701000,4593,Тамбовская область,6,8629135.0,8629135.0,25.12.2015,Лифтовое оборудование,14134.9,"8670,81000",610.4843331045852,0.0
467966,68701000,2758,Тамбовская область,6,5074602.0,5074602.0,25.12.2016,Лифтовое оборудование,8534.4,"5177,91600",594.6055961754781,0.0
453148,68701000,2520,Тамбовская область,6,1784607.0,1784607.0,25.12.2015,Лифтовое оборудование,3013.6,"1793,22600",592.1844305813645,0.0
461214,68701000,1431,Тамбовская область,6,4756197.0,4756197.0,25.12.2015,Лифтовое оборудование,8032.4,"4779,15300",592.1265126238734,0.0
469724,68701000,2372,Тамбовская область,6,2890284.0,2890284.0,25.12.2014,Лифтовое оборудование,4938.9,"2890,28400",585.2080422766203,0.0
471144,68701000,2454,Тамбовская область,6,9000000.0,9000000.0,25.12.2014,Лифтовое оборудование,15460.7,"9000,00000",582.1211200010349,0.0
468529,68701000,4694,Тамбовская область,6,1500000.0,1500000.0,25.12.2014,Лифтовое оборудование,2621.8,"1500,00000",572.1260202914028,0.0
