,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
237303,28701000,2280054,Тверская область,6,10997122.79,106668765.25,,Лифтовое оборудование,13827.8,"0,00000",7714.080710597493,-8.699697574259787
224101,28701000,2279427,Тверская область,6,3589929.81,3571980.17,,Лифтовое оборудование,2780.4,"0,00000",1284.7001043015393,0.004999997479059383
230803,28701000,2279811,Тверская область,6,3619520.18,3601422.58,,Лифтовое оборудование,3503.5,"0,00000",1027.9499300699301,0.004999999751348283
233348,28701000,2278627,Тверская область,6,3592653.48,3574690.21,,Лифтовое оборудование,3557.9,"0,00000",1004.7191348829365,0.00500000072369908
233332,28701000,2278628,Тверская область,6,3647521.04,3629283.43,,Лифтовое оборудование,3751.6,"0,00000",967.396158972172,0.005000001315962216
241669,28701000,2280321,Тверская область,6,1796239.57,1821930.33,15.08.2018,Лифтовое оборудование,1910.7,"0,00000",953.5407599309154,-0.014302524245137305
241652,28701000,2280320,Тверская область,6,1795910.35,1821930.33,15.08.2018,Лифтовое оборудование,1912.7,"0,00000",952.5436973911225,-0.01448846263400619
241677,28701000,2280322,Тверская область,6,1817096.01,1808010.53,,Лифтовое оборудование,1911.2,"0,00000",946.0080211385517,0.004999999972483557
238275,28701000,2278412,Тверская область,6,5384439.84,5357517.65,,Лифтовое оборудование,5702.7,"0,00000",939.470364914865,0.004999998291372772
227733,28701000,2279636,Тверская область,6,5384942.47,5406768.69,05.04.2018,Лифтовое оборудование,5779.4,"0,00000",935.5242222376027,-0.004053194648150191
237251,28701000,2280051,Тверская область,6,3648432.64,3572672.18,,Лифтовое оборудование,3837.1,"0,00000",931.0865445258138,0.020765207275417853
227892,28701000,2278143,Тверская область,6,3605827.63,3587798.49,,Лифтовое оборудование,3854.3,"0,00000",930.8560542770413,0.005000000513058264
241274,28701000,2280288,Тверская область,6,3585395.92,3643862.66,01.08.2018,Лифтовое оборудование,3920.5,"0,00000",929.4382502231858,-0.016306913184639376
230821,28701000,2279813,Тверская область,6,3653765.92,3635497.09,,Лифтовое оборудование,3937.2,"0,00000",923.3712003454232,0.005000000109476109
229748,28701000,2278616,Тверская область,6,5449099.45,5335947.77,,Лифтовое оборудование,5799.9,"0,00000",920.0068570147761,0.0207652073591721
217371,28701000,2279047,Тверская область,6,18308952.04,18217407.28,,Лифтовое оборудование,19811.8,"0,00000",919.523076146539,0.004999999989076269
240898,28701000,2280242,Тверская область,6,3627390.72,3552067.2,,Лифтовое оборудование,3863.3,"0,00000",919.4386146558642,0.020765207228627416
231026,28701000,2279824,Тверская область,6,7198573.84,7251879.6,06.09.2018,Лифтовое оборудование,7904.7,"0,00000",917.4136399863372,-0.007405044552547061
228631,28701000,2278376,Тверская область,6,7282625.59,7246215.45,,Лифтовое оборудование,8108.1,"0,00000",893.7007992007992,0.0049995897152800995
220347,28701000,2278099,Тверская область,6,5619141.0,5191780.57,10.10.2016,Лифтовое оборудование,5980.0,"5191,78057",868.1907307692309,0.07605440582466247
255384,28656000,2286859,Тверская область,6,7290337.55,7253885.86,,Лифтовое оборудование,8411.3,"0,00000",862.3977102231523,0.005000000308627613
241300,28701000,2280290,Тверская область,6,3626708.18,3608574.64,,Лифтовое оборудование,4202.4,"0,00000",858.6937559489817,0.004999999751841086
242085,28701000,2280344,Тверская область,6,9018180.23,8973089.33,,Лифтовое оборудование,10537.9,"0,00000",851.5064035528901,0.004999999872479857
227704,28701000,2279634,Тверская область,6,18288626.05,18197182.92,,Лифтовое оборудование,21535.5,"0,00000",844.9853924914677,0.004999999986330245
241327,28701000,2280291,Тверская область,6,12697536.79,12628050.81,19.06.2018,Лифтовое оборудование,15029.2,"0,00000",840.2343977057993,0.005472398398933766
220302,28701000,2278095,Тверская область,6,5384183.89,5357262.97,,Лифтовое оборудование,6417.9,"0,00000",834.7376821078547,0.005000000102151029
231022,28701000,2279823,Тверская область,6,1796049.46,1821930.33,15.08.2018,Лифтовое оборудование,2183.6,"0,00000",834.3699990840814,-0.014409887130836649
241382,28701000,2280285,Тверская область,6,1796091.19,1821930.33,01.08.2018,Лифтовое оборудование,2184.9,"0,00000",833.8735548537691,-0.014386318547668022
237210,28701000,2280031,Тверская область,6,3647952.26,3572201.78,,Лифтовое оборудование,4286.0,"0,00000",833.4581847876808,0.020765205956944182
237011,28701000,2280029,Тверская область,6,3647030.46,3571299.11,,Лифтовое оборудование,4299.6,"0,00000",830.6119429714391,0.02076520907368569
215156,28701000,2278896,Тверская область,6,3647661.07,3629422.77,,Лифтовое оборудование,4374.6,"0,00000",829.6582018927444,0.004999998533306663
241624,28701000,2280319,Тверская область,6,7196357.44,7160375.65,,Лифтовое оборудование,8642.4,"0,00000",828.517038091271,0.005000000389085737
231106,28701000,2279830,Тверская область,6,1817218.42,1808132.34,,Лифтовое оборудование,2185.6,"0,00000",827.2933473645681,0.004999993341471765
237357,28701000,2280032,Тверская область,6,10981373.35,10753342.84,,Лифтовое оборудование,13004.2,"0,00000",826.9130619338367,0.02076520875232785
227600,28701000,2279625,Тверская область,6,3585168.71,3586585.79,16.03.2018,Лифтовое оборудование,4342.3,"0,00000",825.9645326209612,-0.00039526173372189075
222347,28701000,2278758,Тверская область,6,1796083.77,1787103.36,,Лифтовое оборудование,2165.6,"0,00000",825.2231991134098,0.0049999950726128525
215123,28701000,2278894,Тверская область,6,7197555.6,7161567.83,,Лифтовое оборудование,8678.6,"0,00000",825.1985147374,0.0049999988885114765
240420,28701000,2278441,Тверская область,6,5385893.02,5358963.55,,Лифтовое оборудование,6516.4,"0,00000",822.3810002455343,0.005000000909784083
