,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1223476,69741000,6410,Томская область,6,3071604.0,3071602.8,,Лифтовое оборудование,4531.4,"1659,10752",677.8485236350797,3.906753605563297e-07
1223593,69741000,6414,Томская область,6,2958684.0,2943890.8,,Лифтовое оборудование,4576.9,"1617,10584",643.2062749896218,0.004999925642616848
1210196,69741000,5993,Томская область,6,1916522.76,1916522.76,,Лифтовое оборудование,2982.0,"574,95683",642.6971026156941,0.0
1221618,69741000,6311,Томская область,6,1708823.0,1700084.86,17.11.2017,Лифтовое оборудование,2742.2,"1696,47000",619.9711399606157,0.005113543064436689
1217828,69741000,6192,Томская область,6,1708815.82,1708815.82,17.12.2018,Лифтовое оборудование,2779.0,"1708,75800",614.9031378193595,0.0
1218193,69741000,6186,Томская область,6,1674150.45,1674646.54,24.05.2019,Лифтовое оборудование,2731.6,"1674,15045",613.0643359203398,-0.0002963234278018943
1218313,69741000,6191,Томская область,6,1674151.59,1674646.54,24.05.2019,Лифтовое оборудование,2783.0,"1674,15159",601.7414804168164,-0.00029564228410161673
1272917,69701000,2418,Томская область,6,2241647.0,1903000.0,,Лифтовое оборудование,3239.4,"0,00000",587.454466876582,0.15107061905821925
1221639,69741000,6312,Томская область,6,1708823.0,1592484.28,09.12.2015,Лифтовое оборудование,2748.2,"1626,53554",579.4644785677899,0.06808119974976927
1299181,69701000,3412,Томская область,6,1708823.0,1708648.26,30.10.2015,Лифтовое оборудование,2960.1,"1766,93433",577.2265328874025,0.00010225751877168711
1237583,69701000,857,Томская область,6,1708749.74,1708749.74,20.05.2016,Лифтовое оборудование,3127.3,"1767,03798",546.3977680427205,0.0
1223473,69741000,6410,Томская область,6,2458756.0,2458755.6,,Лифтовое оборудование,4531.4,"1659,10752",542.6039634550029,1.6268389376858368e-07
1209029,69741000,6056,Томская область,6,2910336.66,2910399.2,12.02.2019,Лифтовое оборудование,5401.7,"5239,99414",538.7931947349908,-2.1488922865726897e-05
1223590,69741000,6414,Томская область,6,2458756.0,2446462.0,,Лифтовое оборудование,4576.9,"1617,10584",534.5238043217025,0.005000089476141593
1210990,69741000,6024,Томская область,6,1708823.0,1594118.33,14.01.2016,Лифтовое оборудование,2982.4,"1649,95346",534.5085602199571,0.06712495676848915
1289200,69701000,862,Томская область,6,1708823.0,1708665.96,20.10.2015,Лифтовое оборудование,3304.23,"1766,95241",517.1147165905521,9.189951212035258e-05
1273631,69701000,8060,Томская область,6,1700271.74,1699892.5,11.12.2017,Лифтовое оборудование,3304.81,"1718,17700",514.3692073069253,0.00022304669958226247
1253831,69701000,4285,Томская область,6,1685827.96,1685441.68,20.12.2017,Лифтовое оборудование,3329.76,"1721,51013",506.17512373264134,0.00022913370116368692
1208479,69741000,6042,Томская область,6,1708823.0,1682156.95,04.12.2017,Лифтовое оборудование,3337.48,"1681,62000",504.0200840154847,0.015604922218392454
1275251,69701000,3431,Томская область,6,2889698.46,2910399.2,10.12.2018,Лифтовое оборудование,5782.2,"5317,46733",503.3376915360936,-0.007163633260198444
1246132,69701000,1456,Томская область,6,2910400.0,2853074.49,16.02.2018,Лифтовое оборудование,5681.2,"5259,07676",502.1957491375062,0.019696780511269853
1305797,69701000,846,Томская область,6,1707463.29,1707463.29,25.09.2015,Лифтовое оборудование,3435.6,"1727,50978",496.991294097101,0.0
1210679,69741000,6011,Томская область,6,1594704.31,1594704.31,05.09.2016,Лифтовое оборудование,3271.95,"3332,17257",487.3865156863644,0.0
1209153,69741000,6060,Томская область,6,2611236.0,2900213.44,07.12.2015,Лифтовое оборудование,5974.2,"4922,99501",485.45636905359714,-0.1106669178886933
1313288,69701000,2352,Томская область,6,1700274.09,1699900.73,11.12.2017,Лифтовое оборудование,3590.8,"1736,10404",473.4044586164643,0.00021958812534754465
1269667,69701000,1381,Томская область,6,1708823.0,1708750.92,26.10.2015,Лифтовое оборудование,3667.1,"1767,03919",465.967909247089,4.218108019383781e-05
1219903,69741000,6270,Томская область,6,1708823.0,1656307.87,26.10.2015,Лифтовое оборудование,3560.9,"1648,51055",465.1374287399253,0.03073175513204111
1208499,69741000,6043,Томская область,6,1708823.0,1656307.87,26.10.2015,Лифтовое оборудование,3581.6,"1648,50855",462.4491484252848,0.03073175513204111
1230217,69710000,5177,Томская область,6,1515549.83,1515549.83,27.03.2015,Лифтовое оборудование,3288.0,"1544,95883",460.933646593674,0.0
1269710,69701000,1382,Томская область,6,1708823.0,1708683.66,22.10.2015,Лифтовое оборудование,3744.6,"1766,97049",456.3060567216792,8.154150546901804e-05
