,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
373992,10701000,107010000603,Амурская область,8,3124490.0,3119915.64,,Ремонт кровли ,331.3,"59,21000",9417.191789918503,-0.14640341303699955
407040,10631000,106311700005,Амурская область,8,3696030.0,3696033.99,,Ремонт кровли ,507.5,"1203,67000",7282.825596059114,0.00010795366920390848
401589,10621000,106211010081,Амурская область,8,2691000.0,4142781.07,20.06.2019,Ремонт кровли ,584.3,"3449,10000",7090.160996063666,53.94950092902266
416001,10649000,106491010042,Амурская область,8,33676410.0,3676412.39,29.09.2016,Ремонт кровли ,552.7,"3819,65000",6651.7322055364575,-89.08312260719002
401293,10621000,106211010062,Амурская область,8,5052370.0,5052365.1,,Ремонт кровли ,760.6,"3555,43000",6642.604654220351,-9.698418762527083e-05
357975,10710000,107100000235,Амурская область,8,4147590.0,3467557.37,,Ремонт кровли ,522.6,"121,17000",6635.203539992346,-16.39584987908641
357989,10710000,107100000066,Амурская область,8,1278790.0,3433664.33,,Ремонт кровли ,519.9,"10,00000",6604.47072513945,168.50885055403938
349963,10605000,106051510034,Амурская область,8,4302530.0,4302529.06,30.07.2019,Ремонт кровли ,653.0,"3997,81000",6588.8653292496165,-2.184761059842444e-05
385775,10712000,107120000038,Амурская область,8,1827520.0,2345487.29,01.03.2019,Ремонт кровли ,358.2,"1908,57000",6547.982384142937,28.342633185956934
353753,10615000,106151570043,Амурская область,8,3768950.0,3768948.42,,Ремонт кровли ,582.9,"1216,55000",6465.8576428203805,-4.1921490068208556e-05
402625,10625000,106254200012,Амурская область,8,3356810.0,4477969.22,,Ремонт кровли ,693.2,"81,93000",6459.851731102134,33.399543614324315
387217,10720000,107200000014,Амурская область,8,2608790.0,2608785.41,,Ремонт кровли ,415.6,"2022,23000",6277.154499518768,-0.00017594363670436763
388165,10720000,107200000072,Амурская область,8,2735940.0,2735944.91,,Ремонт кровли ,441.2,"899,54000",6201.144401631914,0.00017946299992743775
368372,10701000,107010000226,Амурская область,8,3951150.0,3951152.44,,Ремонт кровли ,639.6,"4273,93000",6177.53664790494,6.175417284204343e-05
353868,10615000,106151570029,Амурская область,8,3662700.0,3662696.26,,Ремонт кровли ,596.8,"1185,37000",6137.225636729223,-0.00010211046496122478
353430,10615000,106151570032,Амурская область,8,3512750.0,3512754.26,,Ремонт кровли ,574.9,"1139,29000",6110.200487041225,0.00012127250728077854
403391,10625000,106254520002,Амурская область,8,3215410.0,4025906.75,28.02.2019,Ремонт кровли ,664.0,"3604,07000",6063.112575301205,25.20663772271654
401641,10621000,106211010086,Амурская область,8,2743490.0,2743488.83,,Ремонт кровли ,452.8,"910,47000",6058.941762367491,-4.264641022544424e-05
399779,10740000,107400000093,Амурская область,8,4727650.0,4727650.26,,Ремонт кровли ,786.2,"1504,55000",6013.292113965911,5.499561095412275e-06
401859,10621000,106211010101,Амурская область,8,3466240.0,3466237.98,,Ремонт кровли ,577.0,"2175,62000",6007.3448526863085,-5.827640324751471e-05
389721,10730000,107300000279,Амурская область,8,5215120.0,1877096.8,,Ремонт кровли ,312.8,"1752,12000",6000.94884910486,-64.00664222491524
412673,10642000,106424320005,Амурская область,8,4146460.0,4146463.75,,Ремонт кровли ,691.1,"1326,60000",5999.802850528144,9.043859099389095e-05
386047,10712000,107120000055,Амурская область,8,1855610.0,2127240.49,15.03.2019,Ремонт кровли ,355.0,"1885,19000",5992.226732394367,14.638339413993261
388573,10720000,107200000098,Амурская область,8,3135340.0,3135335.32,,Ремонт кровли ,524.5,"1023,54000",5977.760381315538,-0.00014926610830690024
389673,10730000,107300000276,Амурская область,8,3475060.0,3475058.45,,Ремонт кровли ,589.1,"1128,70000",5898.927940926837,-4.4603546411892125e-05
391960,10730000,107300000146,Амурская область,8,3196500.0,3196501.77,,Ремонт кровли ,544.2,"2615,13000",5873.762899669239,5.537306428937683e-05
