,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2406987,14740000,280858,Белгородская область,22,1165435.95,1165435.95,30.08.2017,Ремонт кровли ,213.11,"3618,81454",5468.706067289193,0.0
2406983,14740000,280858,Белгородская область,8,973933.58,973933.58,29.08.2017,Ремонт кровли ,213.11,"3618,81454",4570.097977570268,0.0
2416962,14656000,300090,Белгородская область,22,2527313.67,2527313.67,17.09.2015,Ремонт кровли ,680.4,"3814,94597",3714.452777777778,0.0
2367193,14615000,320055,Белгородская область,8,1410691.23,1410691.23,,Ремонт кровли ,422.1,"5,18147",3342.078251599147,0.0
2400165,14644000,240011,Белгородская область,22,1211989.8,1211989.8,20.12.2017,Ремонт кровли ,388.9,"2683,15611",3116.4561583954746,0.0
2400794,14644000,240008,Белгородская область,22,2075493.74,2075493.74,31.08.2017,Ремонт кровли ,735.0,"4261,25568",2823.801006802721,0.0
2408601,14740000,280909,Белгородская область,22,3864334.12,3864334.12,26.09.2018,Ремонт кровли ,1375.33,"12734,36455",2809.750474431591,0.0
2400399,14644000,240016,Белгородская область,8,871857.16,871857.16,31.07.2017,Ремонт кровли ,311.5,"2233,12465",2798.899390048154,0.0
2370435,14630000,160014,Белгородская область,22,1237625.85,1347638.87,24.06.2019,Ремонт кровли ,482.29,"2273,44446",2794.2500777540486,8.889037021972346
2367680,14620000,140007,Белгородская область,22,2168473.0,2168473.0,30.09.2014,Ремонт кровли ,817.42,"2884,15700",2652.825964620391,0.0
2419816,14658000,310076,Белгородская область,22,1636660.0,1636660.0,30.09.2017,Ремонт кровли ,617.1,"3230,56710",2652.1795495057527,0.0
2362594,14610000,130397,Белгородская область,8,1120135.06,1120135.06,28.08.2019,Ремонт кровли ,423.5,"681,31725",2644.9470129870133,0.0
2400307,14644000,240012,Белгородская область,22,2340773.08,2340773.08,20.12.2017,Ремонт кровли ,892.7,"6150,16472",2622.127344012546,0.0
2399731,14643000,220003,Белгородская область,22,1044067.0,1044067.0,31.07.2017,Ремонт кровли ,409.24,"1753,61673",2551.2339947219234,0.0
2378241,14701000,121409,Белгородская область,8,1863248.46,1863248.46,31.10.2018,Ремонт кровли ,755.01,"8413,93171",2467.8460682639966,0.0
2366868,14610000,130007,Белгородская область,22,1513943.56,1513943.56,12.08.2016,Ремонт кровли ,619.1,"3430,30154",2445.3942174123727,0.0
2360675,14605000,110016,Белгородская область,22,1081733.14,1081733.14,25.12.2017,Ремонт кровли ,444.9,"2424,95467",2431.4073724432455,0.0
2420397,14658000,310099,Белгородская область,22,1888107.38,1888107.38,30.09.2017,Ремонт кровли ,777.2,"3473,88459",2429.371307256819,0.0
2414825,14654000,290004,Белгородская область,22,1825543.12,1825543.12,30.09.2017,Ремонт кровли ,756.6,"4187,35946",2412.8246365318532,0.0
2365933,14610000,130383,Белгородская область,8,896566.75,896566.75,28.08.2019,Ремонт кровли ,372.6,"544,98614",2406.2446323134727,0.0
2366853,14610000,130020,Белгородская область,22,1419155.8,1419155.8,12.08.2016,Ремонт кровли ,599.2,"3236,80135",2368.417556742323,0.0
2420123,14658000,310013,Белгородская область,8,1978000.0,1978000.0,28.05.2018,Ремонт кровли ,841.6,"2020,32920",2350.2851711026615,0.0
2406965,14740000,280859,Белгородская область,22,3040867.34,3040867.34,28.09.2016,Ремонт кровли ,1303.42,"5751,33986",2332.9911617130315,0.0
2362549,14610000,130392,Белгородская область,8,2194908.91,2194908.91,20.04.2019,Ремонт кровли ,947.5,"1998,98333",2316.52655408971,0.0
2411580,14740000,280008,Белгородская область,22,3708497.2,3708497.2,01.08.2016,Ремонт кровли ,1608.16,"9084,73534",2306.049895532783,0.0
2362551,14610000,130393,Белгородская область,8,2379915.4,2379915.4,,Ремонт кровли ,1061.6,"19,62380",2241.8193293142426,0.0
2369733,14625000,150011,Белгородская область,22,791960.4,791960.4,25.07.2016,Ремонт кровли ,353.4,"1551,02218",2240.974533106961,0.0
2399633,14643000,220001,Белгородская область,22,1423404.77,1423404.77,01.08.2015,Ремонт кровли ,636.0,"2170,38803",2238.0578144654087,0.0
2419728,14658000,310122,Белгородская область,22,2493028.48,2493028.48,30.09.2017,Ремонт кровли ,1119.7,"5575,56541",2226.5146735732783,0.0
2400484,14644000,240010,Белгородская область,22,2357286.0,2357286.0,20.12.2017,Ремонт кровли ,1062.0,"5789,27607",2219.6666666666665,0.0
2420116,14658000,310075,Белгородская область,8,2020000.0,2020000.0,28.05.2018,Ремонт кровли ,928.0,"2063,22800",2176.7241379310344,0.0
2397933,14638000,190012,Белгородская область,22,928454.68,928454.68,06.07.2015,Ремонт кровли ,427.7,"1938,44403",2170.8082300678047,0.0
2414567,14654000,290003,Белгородская область,22,819705.29,819705.29,23.07.2015,Ремонт кровли ,378.0,"1203,84953",2168.5325132275134,0.0
2361292,14605000,110011,Белгородская область,22,1123876.98,1123876.98,08.08.2015,Ремонт кровли ,518.5,"2267,93917",2167.554445515911,0.0
2419584,14658000,310050,Белгородская область,8,602127.32,1803271.2,01.04.2019,Ремонт кровли ,832.8,"1879,42435",2165.3112391930836,199.48337172277783
2393290,14730000,180070,Белгородская область,22,3830528.44,3830528.44,06.07.2018,Ремонт кровли ,1770.18,"7418,37986",2163.920301890203,0.0
2419593,14658000,310012,Белгородская область,8,660198.92,1765968.4,01.04.2019,Ремонт кровли ,820.3,"1842,12155",2152.832378398147,167.4903497267157
2375217,14701000,121375,Белгородская область,22,931976.22,931976.22,29.06.2018,Ремонт кровли ,433.0,"1786,98001",2152.3700230946883,0.0
2414622,14654000,290008,Белгородская область,22,2652310.2,3580249.93,29.09.2018,Ремонт кровли ,1669.8,"7547,44272",2144.119014253204,34.98609363263769
2393336,14730000,180069,Белгородская область,22,3521644.71,3521644.71,15.09.2017,Ремонт кровли ,1652.59,"8852,35885",2130.9851263773835,0.0
2419979,14658000,310009,Белгородская область,22,1931341.31,1931341.31,17.10.2018,Ремонт кровли ,907.2,"3844,45365",2128.9035604056435,0.0
2362555,14610000,130394,Белгородская область,8,2091865.48,2091865.48,,Ремонт кровли ,983.0,"26,10925",2128.0421973550356,0.0
2418362,14656000,300075,Белгородская область,22,1459918.53,1459918.53,31.08.2015,Ремонт кровли ,689.81,"2402,51167",2116.4067351879503,0.0
2365326,14610000,130027,Белгородская область,22,1763145.38,1763145.38,30.08.2016,Ремонт кровли ,835.0,"4750,62731",2111.551353293413,0.0
2418234,14656000,300247,Белгородская область,22,3507977.3,3507977.3,12.10.2017,Ремонт кровли ,1678.8,"4997,50373",2089.574279247081,0.0
2420022,14658000,310008,Белгородская область,22,1191306.43,1931341.31,17.10.2018,Ремонт кровли ,924.9,"4010,73916",2088.1622986268785,62.11960763109457
2393828,14730000,180071,Белгородская область,22,3382300.64,3382300.64,24.08.2016,Ремонт кровли ,1623.65,"7792,15631",2083.1463923875217,0.0
2401763,14648000,260008,Белгородская область,22,817903.0,817903.0,27.08.2014,Ремонт кровли ,392.82,"1292,77681",2082.1317651850723,0.0
2399594,14643000,220002,Белгородская область,22,851414.64,851414.64,04.06.2016,Ремонт кровли ,410.3,"1576,01259",2075.102705337558,0.0
2394268,14730000,180424,Белгородская область,22,2300235.72,2664583.18,07.08.2019,Ремонт кровли ,1294.16,"5503,30055",2058.9287105149288,15.839570563663784
2362134,14605000,110006,Белгородская область,22,1379003.63,1379003.63,01.10.2015,Ремонт кровли ,674.2,"2643,21663",2045.3925096410558,0.0
2417907,14656000,300068,Белгородская область,22,2494951.09,2494951.09,09.09.2015,Ремонт кровли ,1222.2,"4062,95622",2041.3607347406314,0.0
2415789,14656000,300053,Белгородская область,22,1559966.41,1559966.41,17.09.2015,Ремонт кровли ,770.1,"2414,49255",2025.667328918322,0.0
2418415,14656000,300073,Белгородская область,22,1326678.05,1326678.05,08.09.2015,Ремонт кровли ,657.46,"2270,74404",2017.8840537827396,0.0
2420000,14658000,310014,Белгородская область,22,1931341.31,1931341.31,20.09.2018,Ремонт кровли ,960.8,"3905,35256",2010.1387489592007,0.0
2417566,14656000,300057,Белгородская область,22,2387776.0,2387776.0,31.08.2014,Ремонт кровли ,1194.1,"3959,92200",1999.6449208608997,0.0
2418619,14658000,310129,Белгородская область,22,13043069.54,13043069.54,04.10.2016,Ремонт кровли ,6547.8,"18126,52908",1991.9773878249182,0.0
2408329,14740000,280085,Белгородская область,22,7194737.06,7194737.06,20.08.2018,Ремонт кровли ,3614.55,"15695,29029",1990.493162357693,0.0
2401606,14648000,260026,Белгородская область,22,1322672.71,1322672.71,02.10.2017,Ремонт кровли ,667.86,"3749,68284",1980.4640343784624,0.0
2393367,14730000,180065,Белгородская область,22,1873374.94,1873374.94,22.09.2017,Ремонт кровли ,947.41,"6129,51152",1977.364541222913,0.0
2414829,14654000,290004,Белгородская область,8,1494217.99,1494217.99,25.07.2017,Ремонт кровли ,756.6,"4187,35946",1974.91143272535,0.0
2418396,14656000,300071,Белгородская область,22,1298619.46,1298619.46,03.09.2015,Ремонт кровли ,660.62,"2286,96529",1965.7586206896551,0.0
2366660,14610000,130025,Белгородская область,22,1479819.12,1479819.12,30.08.2016,Ремонт кровли ,754.5,"3622,21856",1961.3242147117298,0.0
2417843,14656000,300062,Белгородская область,22,1564833.13,1564833.13,03.06.2016,Ремонт кровли ,804.0,"3094,95891",1946.3098631840794,0.0
2378238,14701000,121409,Белгородская область,22,1463109.26,1463109.26,31.10.2018,Ремонт кровли ,755.01,"8413,93171",1937.8673924848679,0.0
2411072,14740000,280020,Белгородская область,22,3249610.12,3249610.12,01.09.2017,Ремонт кровли ,1678.22,"8908,19297",1936.3433399673463,0.0
2362178,14605000,110020,Белгородская область,22,1307889.5,1307889.5,01.10.2015,Ремонт кровли ,677.4,"2641,40290",1930.7491880720402,0.0
2417579,14656000,300093,Белгородская область,22,2270740.0,2270740.0,30.09.2014,Ремонт кровли ,1185.0,"3964,67300",1916.2362869198312,0.0
2388529,14701000,120022,Белгородская область,22,11485739.86,11485739.86,10.10.2014,Ремонт кровли ,6002.09,"17241,53600",1913.623397849749,0.0
2420463,14658000,310021,Белгородская область,22,2173961.2,2173961.2,30.09.2017,Ремонт кровли ,1136.2,"4613,74102",1913.3613800387257,0.0
2393429,14730000,180309,Белгородская область,8,2841001.63,2841001.63,22.09.2018,Ремонт кровли ,1487.31,"6803,10548",1910.1610491424115,0.0
2361380,14605000,110018,Белгородская область,22,1450681.96,1450681.96,25.12.2017,Ремонт кровли ,761.0,"3748,13580",1906.2837844940866,0.0
2410969,14740000,280003,Белгородская область,22,1888600.26,1888600.26,10.10.2014,Ремонт кровли ,992.7,"3393,82337",1902.4884255061952,0.0
2420027,14658000,310093,Белгородская область,22,2320000.0,2320000.0,,Ремонт кровли ,1222.1,"0,00000",1898.371655347353,0.0
2362203,14605000,110024,Белгородская область,22,2669813.9,2312188.03,09.11.2018,Ремонт кровли ,1220.3,"4648,37847",1894.7701630746537,-13.395160988561795
2417960,14656000,300242,Белгородская область,22,3155874.09,3155874.09,04.09.2017,Ремонт кровли ,1666.53,"4805,24162",1893.6797357383305,0.0
2419467,14658000,310120,Белгородская область,22,5973182.09,5973182.09,27.08.2018,Ремонт кровли ,3172.0,"14229,95667",1883.096497477932,0.0
2410093,14740000,280140,Белгородская область,22,10772165.6,10772165.6,29.08.2016,Ремонт кровли ,5726.35,"25090,76310",1881.1573864678196,0.0
2392048,14730000,180034,Белгородская область,22,2260771.6,2260771.6,14.09.2018,Ремонт кровли ,1207.0,"5662,88846",1873.0502071251037,0.0
2411610,14740000,280002,Белгородская область,22,805330.4,805330.4,08.10.2014,Ремонт кровли ,430.01,"1159,72481",1872.8178414455479,0.0
2365407,14610000,130016,Белгородская область,22,5303113.98,5303113.98,27.10.2014,Ремонт кровли ,2844.3,"9724,94625",1864.4706887459129,0.0
