,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5282487,19626000,1000136,Вологодская область,8,0.0,2316564.79,17.10.2017,Ремонт кровли ,151.51,"0,00000",15289.847468813941,
5306729,19656000,2300234,Вологодская область,8,1280564.32,1193401.03,09.06.2018,Ремонт кровли ,122.4,"0,00000",9750.00841503268,-6.80663115773833
5221720,19618000,600140,Вологодская область,8,0.0,1818803.19,01.10.2016,Ремонт кровли ,207.2,"68,83333",8778.007673745175,
5227480,19622000,801033,Вологодская область,8,1432167.09,1432167.09,26.07.2018,Ремонт кровли ,181.7,"0,00000",7882.042322509632,0.0
5277032,19624000,901143,Вологодская область,8,842792.9,877883.97,18.05.2018,Ремонт кровли ,114.1,"842,79290",7693.987467134093,4.163664644066167
5277528,19624000,901369,Вологодская область,8,0.0,1001229.98,30.09.2016,Ремонт кровли ,156.0,"68,83333",6418.140897435897,
5280973,19624000,900597,Вологодская область,8,0.0,1108763.44,11.10.2016,Ремонт кровли ,181.2,"1340,51082",6119.00353200883,
5277566,19624000,901377,Вологодская область,8,928760.23,957951.71,18.05.2018,Ремонт кровли ,159.2,"928,76023",6017.284610552764,3.14305878493526
5307265,19656000,2300442,Вологодская область,8,1352610.4,1400657.12,15.06.2018,Ремонт кровли ,235.8,"1352,61040",5940.02171331637,3.5521477581423433
5299547,19650000,2000076,Вологодская область,8,891744.21,891744.21,27.09.2018,Ремонт кровли ,157.4,"0,00000",5665.465120711562,0.0
5218859,19614000,2600699,Вологодская область,8,1522488.75,1290044.17,30.05.2019,Ремонт кровли ,235.0,"0,00000",5489.549659574468,-15.267408708274532
5222298,19620000,700099,Вологодская область,8,3004649.21,3004649.21,28.08.2018,Ремонт кровли ,577.8,"3523,29122",5200.15439598477,0.0
5221849,19618000,600154,Вологодская область,8,1062126.0,1062126.0,31.12.2016,Ремонт кровли ,205.7,"1062,12600",5163.471074380165,0.0
5281061,19624000,900636,Вологодская область,8,3001354.88,2255551.57,27.08.2019,Ремонт кровли ,443.3,"0,00000",5088.092871644484,-24.84888791291485
5294159,19642000,1700118,Вологодская область,8,2392222.88,2392222.88,30.07.2018,Ремонт кровли ,484.5,"0,00000",4937.508524251806,0.0
5301786,19652000,2100131,Вологодская область,8,0.0,917777.9,25.08.2016,Ремонт кровли ,192.7,"68,83333",4762.7291126102755,
5281345,19624000,900803,Вологодская область,8,0.0,472933.05,11.10.2016,Ремонт кровли ,100.0,"0,00000",4729.3305,
5214175,19614000,2601023,Вологодская область,8,0.0,1071574.07,08.11.2016,Ремонт кровли ,227.6,"1074,92502",4708.1461775043945,
5224164,19620000,700026,Вологодская область,8,2484118.5,2072811.09,26.08.2019,Ремонт кровли ,456.5,"0,00000",4540.659561883899,-16.557479443915412
5277217,19624000,901213,Вологодская область,8,907215.43,918744.99,18.05.2018,Ремонт кровли ,204.6,"907,21543",4490.4447214076245,1.2708734462331561
5209301,19605000,100106,Вологодская область,8,0.0,2431483.93,18.08.2016,Ремонт кровли ,547.1,"192,02660",4444.313525863645,
5293088,19638000,2701228,Вологодская область,8,1559909.33,1544427.58,25.07.2018,Ремонт кровли ,349.0,"1559,90933",4425.293925501433,-0.992477556371818
5233493,19701000,2500690,Вологодская область,8,2649729.47,2263759.63,19.07.2019,Ремонт кровли ,511.7,"0,00000",4423.997713504006,-14.566386658333098
5225772,19620000,700310,Вологодская область,8,2368644.3,1975063.0,18.07.2019,Ремонт кровли ,451.1,"22,94445",4378.326313455997,-16.616310857649662
5287500,19636000,1500058,Вологодская область,8,3098224.46,2591609.24,16.05.2019,Ремонт кровли ,595.8,"0,00000",4349.79731453508,-16.351792019613697
5220942,19618000,600074,Вологодская область,8,0.0,2053059.88,01.10.2016,Ремонт кровли ,476.2,"2820,09795",4311.339521209576,
5278789,19624000,900128,Вологодская область,8,0.0,2027115.89,,Ремонт кровли ,474.1,"0,00000",4275.713752372917,
5293068,19638000,2700696,Вологодская область,8,1510915.24,1510915.24,31.08.2018,Ремонт кровли ,354.8,"0,00000",4258.498421645998,0.0
5287708,19638000,2700797,Вологодская область,8,0.0,3690977.46,11.11.2016,Ремонт кровли ,871.3,"3988,64701",4236.172914036498,
5209979,19610000,300033,Вологодская область,8,0.0,1410504.74,17.11.2016,Ремонт кровли ,336.4,"68,83333",4192.939179548157,
5293109,19638000,2701229,Вологодская область,8,1452032.97,1494449.66,12.07.2018,Ремонт кровли ,358.6,"1452,03297",4167.455828220858,2.921193311471426
5261050,19730000,2800710,Вологодская область,8,0.0,2140076.66,21.11.2017,Ремонт кровли ,514.1,"2140,07666",4162.763392336122,
5306726,19656000,2300335,Вологодская область,8,889976.06,947917.85,13.06.2018,Ремонт кровли ,228.0,"889,97606",4157.534429824561,6.510488607974452
5209817,19608000,200005,Вологодская область,8,572675.4,2464560.55,,Ремонт кровли ,593.3,"0,00000",4153.987106017192,330.3590742679011
5220049,19616000,500057,Вологодская область,8,2230137.54,1865613.06,30.05.2019,Ремонт кровли ,451.4,"0,00000",4132.948737261852,-16.345381101472334
5229122,19622000,800435,Вологодская область,8,0.0,1934442.83,08.12.2016,Ремонт кровли ,469.9,"68,83333",4116.711704618004,
5216521,19614000,2600572,Вологодская область,8,0.0,841625.55,01.11.2017,Ремонт кровли ,204.9,"0,00000",4107.494143484627,
5217439,19614000,2601009,Вологодская область,8,2038520.0,1515510.93,09.10.2017,Ремонт кровли ,369.5,"1515,51093",4101.518078484438,-25.656312913290037
5212543,19614000,2600138,Вологодская область,8,0.0,1054547.84,30.08.2016,Ремонт кровли ,257.4,"1367,62520",4096.922455322456,
5304826,19656000,2300487,Вологодская область,8,2941712.47,3869223.07,19.06.2018,Ремонт кровли ,946.5,"2941,71247",4087.9271737982035,31.52961444936866
5221067,19618000,600085,Вологодская область,8,0.0,1946063.19,01.10.2016,Ремонт кровли ,478.58,"68,83333",4066.3278657695682,
5213309,19614000,2600242,Вологодская область,8,0.0,1035118.54,30.08.2016,Ремонт кровли ,255.5,"1023,62076",4051.3445792563602,
5221513,19618000,600122,Вологодская область,8,962932.0,2025058.0,31.12.2016,Ремонт кровли ,499.9,"962,93200",4050.926185237048,110.30124660931406
5302298,19652000,2100200,Вологодская область,8,0.0,1398568.39,22.10.2017,Ремонт кровли ,347.7,"2879,14981",4022.3422203048603,
5304448,19656000,2300004,Вологодская область,8,2380445.91,1875196.22,,Ремонт кровли ,466.9,"0,00000",4016.2694795459415,-21.225001915712514
5211053,19610000,300196,Вологодская область,8,1143520.3,1091499.72,22.05.2018,Ремонт кровли ,271.8,"1143,52030",4015.8194260485648,-4.54916104244062
5305432,19656000,2300067,Вологодская область,8,1998641.84,1988641.84,13.06.2018,Ремонт кровли ,497.1,"1988,64184",4000.4865017099173,-0.500339770731506
5276949,19624000,900420,Вологодская область,8,0.0,3142469.8,11.11.2017,Ремонт кровли ,787.4,"3123,73585",3990.9446278892556,
5281625,19624000,900857,Вологодская область,8,1160265.49,1325533.41,18.05.2018,Ремонт кровли ,334.5,"1160,26549",3962.7306726457396,14.243974454501785
5221490,19618000,600120,Вологодская область,8,0.0,1933188.35,10.10.2017,Ремонт кровли ,488.4,"1933,18835",3958.2071048321054,
5214314,19614000,2600334,Вологодская область,8,1362026.8,1202746.83,07.06.2018,Ремонт кровли ,303.88,"1725,90195",3957.9664012110047,-11.694334502081748
5211679,19610000,300266,Вологодская область,8,4790517.83,3321449.89,18.07.2019,Ремонт кровли ,841.2,"0,00000",3948.4663456966236,-30.66616161618586
5266012,19730000,2801045,Вологодская область,8,0.0,3891988.02,21.11.2017,Ремонт кровли ,986.1,"3891,98802",3946.8492242166108,
5279971,19624000,900265,Вологодская область,8,0.0,2156982.49,,Ремонт кровли ,549.8,"0,00000",3923.212968352129,
