,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5340170,58701000,600100646,Псковская область,8,210525.0,1001654.0,18.10.2018,Ремонт кровли ,200.5,"682,68000",4995.780548628429,375.788623678898
5361374,58629000,601400061,Псковская область,8,143201.8,675721.24,11.05.2018,Ремонт кровли ,137.6,"1748,79000",4910.764825581396,371.8664430195711
5352187,58612000,600700050,Псковская область,8,1528525.0,1528525.96,13.07.2016,Ремонт кровли ,352.5,"2361,53000",4336.243858156028,6.28056459728299e-05
5361973,58629000,601400119,Псковская область,8,327959.1,1345850.26,05.09.2018,Ремонт кровли ,325.8,"1113,26000",4130.909330877839,310.37137252785493
5361714,58629000,601400094,Псковская область,8,249482.1,1428849.85,27.06.2018,Ремонт кровли ,364.3,"1665,37000",3922.179110623113,472.7264000102613
5379948,58653000,602300023,Псковская область,8,349545.0,1279379.6,,Ремонт кровли ,332.9,"44,79000",3843.13487533794,266.01284527027997
5351875,58612000,600700027,Псковская область,8,316260.0,1148858.84,,Ремонт кровли ,301.2,"39,53000",3814.272377158035,263.26403591981284
5362173,58629000,601400139,Псковская область,8,431399.3,1672879.0,15.12.2017,Ремонт кровли ,456.4,"3454,35000",3665.3790534618756,287.7797205512387
5372259,58647000,601900026,Псковская область,8,600705.0,2029683.91,,Ремонт кровли ,572.1,"76,08000",3547.778203111344,237.8836383915566
5373593,58647000,602600102,Псковская область,8,630000.0,2111001.59,27.06.2019,Ремонт кровли ,600.0,"2111,00000",3518.335983333333,235.07961746031745
5335484,58701000,600100388,Псковская область,8,479232.9,2614182.75,14.12.2018,Ремонт кровли ,756.6,"2050,27000",3455.1714908802537,445.49317252634364
5331313,58701000,600100153,Псковская область,8,407034.0,1532344.0,27.06.2018,Ремонт кровли ,453.0,"2378,71000",3382.6578366445915,276.4658480618327
5340136,58701000,600100644,Псковская область,8,866984.0,2232184.0,18.07.2018,Ремонт кровли ,676.4,"4397,84000",3300.0946185688945,157.46542035377814
5361923,58629000,601400114,Псковская область,8,266373.4,963388.85,11.05.2018,Ремонт кровли ,293.8,"2186,27000",3279.0634785568413,261.6685637529873
5381117,58654000,602400134,Псковская область,8,389760.0,1159879.26,,Ремонт кровли ,371.2,"0,00000",3124.6747306034486,197.5880695812808
5330273,58701000,600100092,Псковская область,8,317520.0,936784.52,27.06.2019,Ремонт кровли ,302.4,"1014,94000",3097.8324074074076,195.03165784832453
5350388,58610000,600600046,Псковская область,8,789390.0,2313783.81,,Ремонт кровли ,751.8,"0,00000",3077.658699122107,193.11035229734355
5351992,58612000,600700036,Псковская область,8,437640.0,1272284.61,,Ремонт кровли ,416.8,"67,34000",3052.5062619961614,190.71488209487254
5368257,58637000,601600007,Псковская область,8,147105.0,426200.65,03.04.2019,Ремонт кровли ,140.1,"456,19000",3042.117416131335,189.72546820298425
