,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1672972,79618000,385300000053,Республика Адыгея,8,0.0,2409933.0,18.06.2018,Ремонт кровли ,1000.0,"2504,93000",2409.933,
1675280,79630000,385100000201,Республика Адыгея,8,0.0,2292000.0,27.11.2014,Ремонт кровли ,1000.0,"0,00000",2292.0,
1673644,79622000,385730000103,Республика Адыгея,8,0.0,1121000.0,08.10.2018,Ремонт кровли ,500.5,"1171,50000",2239.76023976024,
1671119,79701000,385000000306,Республика Адыгея,8,2443264.13,2443264.13,22.06.2015,Ремонт кровли ,1120.3,"4450,65000",2180.9016602695706,0.0
1669824,79701000,385000000026,Республика Адыгея,8,0.0,1953467.0,27.07.2018,Ремонт кровли ,1000.0,"2054,22000",1953.467,
1674064,79630000,385100000001,Республика Адыгея,8,0.0,1397474.0,10.09.2019,Ремонт кровли ,741.1,"0,00000",1885.6753474564835,
1673989,79622000,385730000019,Республика Адыгея,8,0.0,1272150.0,26.09.2016,Ремонт кровли ,685.98,"1284,85000",1854.5001311991603,
1675998,79630000,385100000420,Республика Адыгея,8,0.0,1267367.0,25.07.2019,Ремонт кровли ,708.0,"0,00000",1790.066384180791,
1673615,79622000,385730000135,Республика Адыгея,8,0.0,1922428.0,03.09.2019,Ремонт кровли ,1096.5,"1922,43000",1753.2403100775193,
1675157,79630000,385100000176,Республика Адыгея,8,0.0,1637916.54,05.07.2017,Ремонт кровли ,936.0,"1637,92000",1749.9108333333334,
1673883,79622000,385730000175,Республика Адыгея,8,0.0,694115.3,18.05.2016,Ремонт кровли ,402.9,"701,06000",1722.7979647555226,
1675101,79630000,385100000165,Республика Адыгея,8,0.0,1714308.14,17.05.2019,Ремонт кровли ,1000.0,"0,00000",1714.3081399999999,
1670770,79701000,385000000245,Республика Адыгея,8,2466350.0,2466350.0,10.07.2017,Ремонт кровли ,1439.6,"5532,85000",1713.2189497082525,0.0
1675693,79630000,385100000344,Республика Адыгея,8,0.0,1644730.29,14.07.2017,Ремонт кровли ,991.0,"2542,39000",1659.6672956609486,
1675049,79630000,385100000153,Республика Адыгея,8,0.0,1624150.73,16.07.2018,Ремонт кровли ,1000.0,"1725,00000",1624.15073,
1672657,79615000,385400000024,Республика Адыгея,8,0.0,742500.0,27.07.2016,Ремонт кровли ,462.7,"750,00000",1604.7114761184353,
1673690,79622000,385730000117,Республика Адыгея,8,0.0,1696757.0,14.05.2019,Ремонт кровли ,1072.0,"2004,04000",1582.795708955224,
1669394,79703000,385200000018,Республика Адыгея,8,1421432.78,1371432.78,24.09.2018,Ремонт кровли ,870.0,"1421,43000",1576.3595172413793,0.03517577524840816
1673682,79622000,385730000115,Республика Адыгея,8,0.0,1409070.0,14.05.2019,Ремонт кровли ,893.9,"1535,14000",1576.3172614386397,
1673958,79622000,385730000013,Республика Адыгея,8,0.0,1403389.35,16.05.2017,Ремонт кровли ,897.7,"1403,39000",1563.3166425309123,
1675388,79630000,385100000254,Республика Адыгея,8,0.0,1545043.0,,Ремонт кровли ,1000.0,"3067,95000",1545.043,
1675054,79630000,385100000154,Республика Адыгея,8,0.0,1536605.0,16.05.2019,Ремонт кровли ,1000.0,"0,00000",1536.605,
1673886,79622000,385730000001,Республика Адыгея,8,0.0,844134.0,25.04.2016,Ремонт кровли ,551.0,"852,58000",1532.0036297640654,
1673890,79622000,385730000002,Республика Адыгея,8,0.0,842425.0,19.05.2016,Ремонт кровли ,551.0,"850,85000",1528.901996370236,
1672444,79701000,385000000051,Республика Адыгея,8,1481499.27,1481499.27,29.05.2015,Ремонт кровли ,1000.0,"2078,73000",1481.49927,0.0
1675428,79630000,385100000266,Республика Адыгея,8,0.0,1649104.0,16.05.2016,Ремонт кровли ,1129.3,"2022,94000",1460.288674400071,
1669450,79703000,385200000004,Республика Адыгея,8,1391390.0,1341390.0,24.09.2018,Ремонт кровли ,929.4,"1716,24000",1443.285990961911,0.03593528773384889
1673914,79622000,385730000006,Республика Адыгея,8,0.0,1233154.0,22.10.2018,Ремонт кровли ,861.8,"1293,75000",1430.9050823857044,
1669176,79605000,385600000029,Республика Адыгея,8,0.0,544500.0,31.07.2017,Ремонт кровли ,383.9,"544,50000",1418.3381088825215,
1673603,79622000,385730000133,Республика Адыгея,8,0.0,1069073.28,16.05.2017,Ремонт кровли ,772.8,"1069,07000",1383.376397515528,
1671989,79701000,385000000458,Республика Адыгея,8,1432297.0,1363797.0,24.08.2018,Ремонт кровли ,1000.0,"1432,30000",1363.797,0.04782527646151601
1674414,79630000,385100000454,Республика Адыгея,8,0.0,1363579.68,10.09.2018,Ремонт кровли ,1000.0,"1379,35000",1363.5796799999998,
1673612,79622000,385730000134,Республика Адыгея,8,0.0,1069073.28,17.06.2017,Ремонт кровли ,791.5,"1069,07000",1350.69271004422,
1669182,79605000,385600000030,Республика Адыгея,8,0.0,676493.0,29.08.2015,Ремонт кровли ,506.27,"683,29000",1336.2296798151185,
1670509,79701000,385000000212,Республика Адыгея,8,1473924.0,1174364.9,,Ремонт кровли ,895.5,"1515,26000",1311.406923506421,0.20323917651113632
1674943,79630000,385100000132,Республика Адыгея,8,0.0,1306390.0,,Ремонт кровли ,1000.0,"0,00000",1306.39,
1674405,79630000,385100000452,Республика Адыгея,8,0.0,1278595.88,30.07.2017,Ремонт кровли ,1000.0,"1078,60000",1278.5958799999999,
1673910,79622000,385730000005,Республика Адыгея,8,0.0,1167395.13,16.06.2017,Ремонт кровли ,966.5,"1167,40000",1207.8583859286082,
1669626,79703000,385200000013,Республика Адыгея,8,1045922.13,1045922.13,13.10.2016,Ремонт кровли ,870.0,"1071,37000",1202.2093448275862,0.0
1676361,79633000,385228000035,Республика Адыгея,8,0.0,492747.75,27.07.2016,Ремонт кровли ,417.27,"497,65000",1180.88467898483,
1672675,79615000,385400000044,Республика Адыгея,8,0.0,1173005.0,02.12.2015,Ремонт кровли ,1000.0,"967,81000",1173.005,
1673079,79618000,385300000019,Республика Адыгея,8,0.0,1165899.0,13.06.2019,Ремонт кровли ,1000.0,"1441,55000",1165.899,
1669297,79605000,385600000063,Республика Адыгея,8,0.0,1146485.0,10.05.2018,Ремонт кровли ,1000.0,"1217,09000",1146.485,
1674445,79630000,385100000463,Республика Адыгея,8,0.0,1138822.0,19.08.2016,Ремонт кровли ,1000.0,"950,18000",1138.822,
1670503,79701000,385000000211,Республика Адыгея,8,1174707.0,1112207.0,20.08.2018,Ремонт кровли ,1000.0,"1209,71000",1112.207,0.05320475659036679
1674813,79630000,385100000106,Республика Адыгея,8,0.0,1108161.0,23.07.2018,Ремонт кровли ,1000.0,"1152,53000",1108.161,
1674789,79630000,385100000105,Республика Адыгея,8,0.0,1101469.07,21.05.2019,Ремонт кровли ,1000.0,"0,00000",1101.46907,
1673929,79622000,385730000009,Республика Адыгея,8,0.0,1166608.0,13.06.2019,Ремонт кровли ,1066.6,"1272,20000",1093.7633602100132,
1669332,79703000,385200000012,Республика Адыгея,8,975150.0,975150.0,02.09.2016,Ремонт кровли ,896.9,"1000,00000",1087.2449548444642,0.0
1669166,79605000,385600000024,Республика Адыгея,8,0.0,1072795.13,30.05.2019,Ремонт кровли ,1000.0,"1163,89000",1072.79513,
1669662,79703000,385200000054,Республика Адыгея,8,1069547.0,1069547.0,07.10.2015,Ремонт кровли ,1000.0,"1080,55000",1069.547,0.0
1670832,79701000,385000000256,Республика Адыгея,8,3721814.0,3721814.0,19.08.2015,Ремонт кровли ,3488.7,"7461,41000",1066.8197322784993,0.0
1674828,79630000,385100000111,Республика Адыгея,8,0.0,1060092.0,20.05.2019,Ремонт кровли ,1000.0,"0,00000",1060.092,
1675205,79630000,385100000185,Республика Адыгея,8,0.0,1059300.0,30.11.2014,Ремонт кровли ,1000.0,"0,00000",1059.3,
1674644,79630000,385100000075,Республика Адыгея,8,0.0,1034010.0,12.07.2018,Ремонт кровли ,1000.0,"1641,39000",1034.01,
1674637,79630000,385100000074,Республика Адыгея,8,0.0,990291.0,12.07.2018,Ремонт кровли ,1000.0,"1627,95000",990.291,
1674821,79630000,385100000110,Республика Адыгея,8,0.0,986320.0,14.05.2019,Ремонт кровли ,1000.0,"0,00000",986.32,
1675396,79630000,385100000256,Республика Адыгея,8,0.0,1717361.0,02.08.2018,Ремонт кровли ,1754.88,"2766,48000",978.6201905543398,
1674608,79630000,385100000068,Республика Адыгея,8,0.0,967359.96,31.05.2016,Ремонт кровли ,1000.0,"977,03000",967.35996,
1674835,79630000,385100000113,Республика Адыгея,8,0.0,941982.0,05.12.2018,Ремонт кровли ,1000.0,"1021,98000",941.982,
1672704,79615000,385400000002,Республика Адыгея,8,0.0,901607.0,15.05.2019,Ремонт кровли ,1000.0,"1192,66000",901.607,
1671382,79701000,385000000109,Республика Адыгея,8,840708.0,840708.0,02.08.2016,Ремонт кровли ,936.7,"80,87000",897.5210846589089,0.0
1671138,79701000,385000000309,Республика Адыгея,22,264170.0,1300170.0,28.12.2018,Ремонт кровли ,1511.6,"25,69000",860.1283408309077,-3.9217170761252222
1675382,79630000,385100000253,Республика Адыгея,8,0.0,1518758.74,05.11.2014,Ремонт кровли ,1785.32,"0,00000",850.6927273541999,
1671672,79701000,385000000400,Республика Адыгея,8,3150000.0,2471375.0,,Ремонт кровли ,3053.0,"3286,22000",809.4906649197511,0.21543650793650793
