,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6055064,81701000,2202,Республика Бурятия,8,9222183.74,9222183.74,,Ремонт кровли ,3916.6,"0,00000",2354.6401828116223,0.0
6040932,81624000,5654,Республика Бурятия,8,1075050.0,880950.79,24.06.2019,Ремонт кровли ,384.3,"909,60446",2292.3517824616188,0.18054900702292914
6046495,81642000,1269,Республика Бурятия,8,2880000.0,3331577.28,25.06.2019,Ремонт кровли ,1920.0,"2203,87605",1735.1964999999998,-0.15679766666666659
6045958,81636000,1132,Республика Бурятия,8,1191765.0,1089815.43,,Ремонт кровли ,639.04,"75,44339",1705.3947014271407,0.08554502775295471
6042979,81624000,489,Республика Бурятия,8,1778443.28,1691776.95,,Ремонт кровли ,1026.4,"47,68654",1648.2628117692905,0.04873156820609993
6043144,81624000,509,Республика Бурятия,8,1666500.0,1707386.95,,Ремонт кровли ,1064.0,"402,00182",1604.6869830827068,-0.02453462346234621
6038662,81618000,217,Республика Бурятия,8,874500.0,874388.4,,Ремонт кровли ,554.72,"74,35655",1576.2698298240553,0.0001276157804459425
6038625,81618000,213,Республика Бурятия,8,867450.0,865228.8,,Ремонт кровли ,553.73,"85,01058",1562.5463673631555,0.0025606086806155438
6038673,81618000,218,Республика Бурятия,8,812250.0,804942.0,,Ремонт кровли ,520.53,"73,48204",1546.389257103337,0.008997229916897507
6038690,81618000,220,Республика Бурятия,8,814500.0,810540.0,,Ремонт кровли ,526.07,"71,84816",1540.7455281616512,0.004861878453038674
6038519,81618000,141,Республика Бурятия,8,2363400.0,2343581.78,,Ремонт кровли ,1537.2,"645,56882",1524.5783112151962,0.008385470085470172
6054151,81701000,2078,Республика Бурятия,8,2722815.2,3824606.17,,Ремонт кровли ,2516.0,"58,27056",1520.113740063593,-0.404651395364621
6043801,81624000,434,Республика Бурятия,8,2980112.61,2491738.35,26.06.2019,Ремонт кровли ,1647.7,"2221,42997",1512.2524427990531,0.16387778715516385
6043921,81627000,813,Республика Бурятия,8,2352150.0,2368149.6,14.06.2019,Ремонт кровли ,1568.1,"1922,37894",1510.203175817869,-0.0068021172119125456
6043883,81627000,808,Республика Бурятия,8,2352150.0,2365113.6,14.06.2019,Ремонт кровли ,1568.1,"1929,78366",1508.267074803903,-0.005511383202601914
6043797,81624000,433,Республика Бурятия,8,2980112.61,2480949.59,26.06.2019,Ремонт кровли ,1647.7,"2251,33260",1505.7046731807973,0.1674980396126709
6038555,81618000,145,Республика Бурятия,8,1006800.0,1006800.0,,Ремонт кровли ,671.2,"51,44748",1500.0,0.0
6038653,81618000,216,Республика Бурятия,8,837450.0,821294.4,,Ремонт кровли ,552.38,"70,69621",1486.8286324631595,0.01929142038330644
6043901,81627000,810,Республика Бурятия,8,2358450.0,2327830.8,30.05.2019,Ремонт кровли ,1572.3,"1883,19737",1480.525853844686,0.01298276410354266
6039465,81618000,184,Республика Бурятия,8,1129200.0,1099908.0,,Ремонт кровли ,752.8,"39,12160",1461.0892667375133,0.02594048884165781
6038637,81618000,214,Республика Бурятия,8,847815.0,804253.2,,Ремонт кровли ,565.21,"39,92484",1422.9281152138142,0.051381256524123835
6038687,81618000,219,Республика Бурятия,8,821700.0,778934.4,,Ремонт кровли ,547.8,"41,98887",1421.9320920043813,0.0520452719970792
6043391,81624000,538,Республика Бурятия,8,2112300.0,1992180.32,,Ремонт кровли ,1408.2,"56,63780",1414.6998437721913,0.056866770818539004
6049455,81648000,1390,Республика Бурятия,8,1235040.0,1153767.6,,Ремонт кровли ,823.36,"208,39206",1401.2917800233192,0.06580547998445387
6038321,81609000,110,Республика Бурятия,8,3492150.0,3212208.44,,Ремонт кровли ,2328.1,"154,72553",1379.755354151454,0.08016309723236403
6052366,81701000,1875,Республика Бурятия,8,1241190.0,1138782.55,,Ремонт кровли ,827.46,"46,40396",1376.2387909989607,0.08250747266735951
6067296,81657000,1613,Республика Бурятия,8,883695.0,800544.62,,Ремонт кровли ,589.13,"0,00000",1358.859029416258,0.09409398038916142
6049444,81648000,1389,Республика Бурятия,8,1220355.0,1084722.0,,Ремонт кровли ,813.57,"91,97409",1333.2866256130387,0.11114224959130745
6039469,81618000,185,Республика Бурятия,8,1047450.0,923884.8,,Ремонт кровли ,698.3,"154,65639",1323.0485464699987,0.11796763568666757
6049693,81651000,1596,Республика Бурятия,8,1971300.0,1703738.4,,Ремонт кровли ,1314.2,"136,92650",1296.4072439506924,0.13572850403287176
6064095,81701000,4301,Республика Бурятия,8,981750.0,835909.27,19.07.2019,Ремонт кровли ,654.5,"592,93638",1277.1722994652407,0.14855180035650623
6060116,81701000,2917,Республика Бурятия,8,6506926.63,7576785.07,,Ремонт кровли ,6012.68,"978,72992",1260.1344275763886,-0.16441839609308773
