,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1558912,98631000,4673,Республика Саха (Якутия),8,1306439.61,1255643.45,,Ремонт кровли ,264.7,"2867,86000",4743.647336607481,0.038881368576998476
1569206,98615000,1038,Республика Саха (Якутия),8,5579857.14,4845176.26,17.12.2018,Ремонт кровли ,1110.6,"9111,54000",4362.665460111652,0.1316666110917671
1544483,98701000,1393,Республика Саха (Якутия),8,619250.67,600000.0,01.06.2016,Ремонт кровли ,167.1,"1484,12000",3590.664272890485,0.031087039437518962
1564238,98646000,6187,Республика Саха (Якутия),8,3580526.76,2888029.11,24.05.2018,Ремонт кровли ,921.4,"15211,22000",3134.3923485999567,0.1934066399771859
1565237,98601000,39,Республика Саха (Якутия),8,1763877.14,1649543.63,15.09.2015,Ремонт кровли ,535.0,"4354,85000",3083.259121495327,0.06481942954371528
1573394,98637000,5694,Республика Саха (Якутия),8,3751484.78,3468873.68,03.09.2015,Ремонт кровли ,1139.8,"3833,97000",3043.4055799263033,0.07533313249907404
1568726,98610000,793,Республика Саха (Якутия),8,1643085.09,1616415.88,27.12.2016,Ремонт кровли ,580.4,"5522,59000",2785.003239145417,0.016231180090618552
1573361,98637000,5689,Республика Саха (Якутия),8,1491553.91,1449548.7,,Ремонт кровли ,555.34,"62,29000",2610.2004177620915,0.02816204611739442
1569275,98615000,1049,Республика Саха (Якутия),8,1759464.39,1724547.54,19.08.2017,Ремонт кровли ,675.5,"6303,86000",2552.9941376757956,0.01984515867354375
1563002,98660000,5627,Республика Саха (Якутия),8,749992.15,726423.3,30.11.2015,Ремонт кровли ,303.4,"1749,59000",2394.27587343441,0.031425462253171554
1563024,98660000,5635,Республика Саха (Якутия),8,745144.8,721728.3,30.11.2015,Ремонт кровли ,302.3,"1738,07000",2387.4571617598413,0.031425435700551084
1563008,98660000,5629,Республика Саха (Якутия),8,1119517.91,994277.43,19.09.2018,Ремонт кровли ,420.8,"2280,91000",2362.8265922053233,0.11187001019036835
1560910,98631000,5088,Республика Саха (Якутия),8,1248799.46,1175000.0,25.12.2015,Ремонт кровли ,504.2,"1200,00000",2330.424434748116,0.05909632600257528
1562949,98660000,5616,Республика Саха (Якутия),8,1456627.47,1410852.3,30.11.2015,Ремонт кровли ,626.2,"3083,71000",2253.03784733312,0.03142544744127332
