,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1870594,70701000,1125452,Тульская область,8,2769204.66,2769204.66,28.07.2016,Ремонт кровли ,75.8,"7983,09000",36533.04300791557,0.0
1876332,70701000,79722,Тульская область,8,1115244.75,1115244.75,10.05.2017,Ремонт кровли ,48.0,,23234.265625,0.0
1876336,70701000,79723,Тульская область,8,1110090.63,1110090.63,10.05.2017,Ремонт кровли ,62.1,,17875.855555555554,0.0
1881430,70701000,1123886,Тульская область,8,558870.13,558870.13,15.05.2016,Ремонт кровли ,100.0,,5588.7013,0.0
1881446,70701000,1124415,Тульская область,8,824560.12,824560.12,14.09.2015,Ремонт кровли ,150.0,"2258,83000",5497.067466666666,0.0
1842380,70612000,209168,Тульская область,8,0.0,1079157.1,21.06.2016,Ремонт кровли ,196.6,,5489.1002034588,
1891472,70638000,14532,Тульская область,8,0.0,526730.4,16.08.2017,Ремонт кровли ,103.8,,5074.473988439307,
1863870,70701000,1124339,Тульская область,8,3194201.37,3194201.37,29.06.2017,Ремонт кровли ,636.0,,5022.329198113208,0.0
1884837,70626000,10577,Тульская область,8,0.0,1132016.59,08.02.2017,Ремонт кровли ,236.9,,4778.457534824821,
1880086,70701000,1123821,Тульская область,8,1236882.5,1236882.5,11.03.2016,Ремонт кровли ,269.0,"1983,70000",4598.076208178439,0.0
1876599,70701000,1125476,Тульская область,8,1011207.31,1011207.31,15.11.2016,Ремонт кровли ,223.0,,4534.561928251122,0.0
1889323,70628000,97410,Тульская область,8,0.0,2187328.61,25.10.2017,Ремонт кровли ,496.5,,4405.495689828801,
1847700,70706000,3420,Тульская область,8,0.0,1461945.6,21.03.2017,Ремонт кровли ,338.1,,4324.0035492457855,
1846501,70706000,1985,Тульская область,8,0.0,1521599.32,05.09.2016,Ремонт кровли ,358.79,,4240.918977674963,
1847458,70706000,1901,Тульская область,8,0.0,582628.32,21.03.2017,Ремонт кровли ,143.0,,4074.3239160839157,
1893598,70640000,105207,Тульская область,8,0.0,706562.17,18.11.2016,Ремонт кровли ,175.2,,4032.8890981735167,
1885807,70626000,10386,Тульская область,8,831370.25,1384921.24,20.03.2017,Ремонт кровли ,352.7,"2486,16000",3926.626708250638,66.58296829842058
1891809,70638000,15810,Тульская область,8,0.0,950264.64,10.04.2017,Ремонт кровли ,248.0,,3831.7122580645164,
1845736,70706000,4318,Тульская область,8,0.0,1053460.8,10.07.2017,Ремонт кровли ,276.5,,3809.9848101265825,
1885455,70626000,10454,Тульская область,8,632141.01,925997.92,20.03.2017,Ремонт кровли ,255.5,"1297,85000",3624.2580039138943,46.48597470365039
1851444,70712000,300003,Тульская область,8,745637.74,745637.74,10.09.2018,Ремонт кровли ,209.8,,3554.040705433746,0.0
1884936,70626000,10591,Тульская область,8,1499914.16,1358322.19,27.04.2016,Ремонт кровли ,383.4,"2152,11000",3542.8330464267083,-9.440004886679642
1884790,70626000,10570,Тульская область,8,1332303.87,1371062.71,20.03.2017,Ремонт кровли ,387.6,"2025,15000",3537.3134932920534,2.909159154510288
1852677,70714000,202564,Тульская область,8,0.0,1129874.78,25.08.2016,Ремонт кровли ,321.8,,3511.108701056557,
1851806,70712000,17240,Тульская область,8,0.0,1384118.5,29.09.2017,Ремонт кровли ,396.7,,3489.0811696496094,
1884909,70626000,10587,Тульская область,8,841245.56,841245.56,21.06.2019,Ремонт кровли ,243.5,,3454.807227926078,0.0
1885480,70626000,10457,Тульская область,8,1244063.3,1296658.67,20.03.2017,Ремонт кровли ,385.7,"2196,23000",3361.8321752657503,4.227708509687567
1889358,70628000,98539,Тульская область,8,0.0,2031674.4,04.05.2017,Ремонт кровли ,615.6,,3300.315789473684,
1868187,70701000,1125339,Тульская область,8,1319536.0,1319536.0,17.07.2017,Ремонт кровли ,400.5,,3294.721598002497,0.0
1889066,70628000,97513,Тульская область,8,0.0,2192918.4,07.04.2017,Ремонт кровли ,665.6,,3294.649038461538,
1884465,70626000,10545,Тульская область,8,810232.6,810232.6,01.04.2019,Ремонт кровли ,246.4,,3288.2816558441555,0.0
1870980,70701000,79547,Тульская область,8,978191.5,978191.5,24.09.2016,Ремонт кровли ,298.0,"2426,70000",3282.521812080537,0.0
1884882,70626000,10583,Тульская область,8,0.0,1315213.56,16.05.2017,Ремонт кровли ,405.8,,3241.0388368654512,
1856935,70724000,216563,Тульская область,8,1465601.16,1465601.16,20.06.2018,Ремонт кровли ,453.5,,3231.75558985667,0.0
1881860,70618000,109964,Тульская область,8,0.0,591017.68,07.10.2016,Ремонт кровли ,185.9,,3179.2236686390534,
1885913,70626000,10443,Тульская область,8,0.0,1277824.36,30.12.2016,Ремонт кровли ,402.0,,3178.667562189055,
1846034,70706000,3554,Тульская область,8,0.0,1827432.0,04.04.2017,Ремонт кровли ,575.6,,3174.829742876998,
1881886,70618000,110432,Тульская область,8,0.0,673826.28,29.07.2016,Ремонт кровли ,212.7,,3167.965585331453,
1848032,70706000,3940,Тульская область,8,0.0,2083272.48,21.03.2017,Ремонт кровли ,677.1,,3076.7574656623838,
1889285,70628000,96266,Тульская область,8,0.0,1258993.15,06.10.2017,Ремонт кровли ,410.3,,3068.4697782110647,
1846735,70706000,3724,Тульская область,8,0.0,1341550.08,06.03.2017,Ремонт кровли ,439.8,,3050.363983628922,
1884872,70626000,10582,Тульская область,8,0.0,761034.01,29.08.2016,Ремонт кровли ,249.8,,3046.573298638911,
1904639,70648000,55842,Тульская область,8,0.0,2030999.88,23.09.2016,Ремонт кровли ,670.6,,3028.6308977035487,
1881422,70701000,1123156,Тульская область,8,832026.42,832026.42,12.09.2015,Ремонт кровли ,275.0,"1977,10000",3025.550618181818,0.0
1868153,70701000,1123915,Тульская область,8,654608.14,654608.14,16.08.2017,Ремонт кровли ,218.0,,3002.789633027523,0.0
1851822,70712000,17473,Тульская область,8,0.0,2074672.8,30.05.2017,Ремонт кровли ,699.5,,2965.936812008578,
1889019,70628000,96437,Тульская область,8,0.0,2118101.18,07.04.2017,Ремонт кровли ,716.2,,2957.415777715722,
1851679,70712000,18599,Тульская область,8,0.0,2072737.87,18.04.2017,Ремонт кровли ,703.2,,2947.5794510807737,
1881865,70618000,110052,Тульская область,8,0.0,592346.87,29.08.2016,Ремонт кровли ,201.3,,2942.60740188773,
1851730,70712000,18355,Тульская область,8,0.0,2063493.22,17.04.2017,Ремонт кровли ,702.0,,2939.449031339031,
1841762,70608000,22169,Тульская область,8,0.0,1067220.29,16.05.2017,Ремонт кровли ,364.2,,2930.313811092806,
1884512,70626000,10552,Тульская область,8,1168448.41,1168448.41,17.05.2019,Ремонт кровли ,399.6,,2924.04507007007,0.0
1893230,70640000,106797,Тульская область,8,0.0,1230829.2,28.04.2017,Ремонт кровли ,421.0,,2923.5847980997623,
1851834,70712000,18063,Тульская область,8,0.0,2067793.06,12.05.2017,Ремонт кровли ,707.8,,2921.436931336536,
1851675,70712000,18439,Тульская область,8,0.0,2070157.97,02.04.2017,Ремонт кровли ,709.4,,2918.181519594023,
1881901,70618000,110623,Тульская область,8,0.0,583804.61,10.07.2016,Ремонт кровли ,200.2,,2916.1069430569432,
1848022,70706000,1993,Тульская область,8,0.0,1921168.51,21.03.2017,Ремонт кровли ,663.4,,2895.942885137172,
1891081,70636000,60337,Тульская область,8,219886.91,417556.24,15.07.2016,Ремонт кровли ,145.0,"846,52000",2879.6982068965517,89.89590603642571
1846575,70706000,3720,Тульская область,8,0.0,1346383.0,26.09.2016,Ремонт кровли ,467.8,,2878.116716545532,
1893245,70640000,106950,Тульская область,8,0.0,1242868.75,31.03.2017,Ремонт кровли ,432.1,,2876.345174728072,
1881875,70618000,110215,Тульская область,8,0.0,585986.1,29.07.2016,Ремонт кровли ,204.0,,2872.480882352941,
1901899,70648000,208747,Тульская область,8,0.0,1017171.07,17.03.2017,Ремонт кровли ,354.5,,2869.311904090268,
1848019,70706000,3285,Тульская область,8,0.0,1919448.58,04.04.2017,Ремонт кровли ,669.8,,2865.7040609137057,
1884472,70626000,10546,Тульская область,8,790176.76,790176.76,01.04.2019,Ремонт кровли ,275.8,,2865.035387962291,0.0
1851813,70712000,17317,Тульская область,8,0.0,1677152.59,29.09.2017,Ремонт кровли ,587.4,,2855.21380660538,
1881881,70618000,110293,Тульская область,8,0.0,577934.74,27.07.2016,Ремонт кровли ,202.6,,2852.590029615005,
1884995,70626000,10600,Тульская область,8,0.0,1339985.76,05.09.2016,Ремонт кровли ,472.1,,2838.3515356915905,
1890779,70636000,59937,Тульская область,8,157374.61,342915.35,15.07.2016,Ремонт кровли ,120.9,"732,89000",2836.3552522746068,117.89750583019716
1875696,70701000,1125276,Тульская область,8,720420.33,720420.33,13.11.2017,Ремонт кровли ,254.5,,2830.7282121807466,0.0
1851643,70712000,17277,Тульская область,8,0.0,1143757.44,30.01.2017,Ремонт кровли ,408.1,,2802.640137221269,
1883321,70624000,18629,Тульская область,8,1443811.82,1443811.82,31.07.2019,Ремонт кровли ,516.0,,2798.08492248062,0.0
1851839,70712000,18219,Тульская область,8,0.0,1675002.67,29.09.2017,Ремонт кровли ,598.8,,2797.265647962592,
