,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5638835,96607000,11538,Чеченская Республика,8,646740.0,646740.0,14.09.2017,Ремонт кровли ,299.9,"664,10100",2156.5188396132044,0.0
5638856,96607000,11539,Чеченская Республика,8,631024.0,631024.0,14.09.2017,Ремонт кровли ,302.0,"639,63100",2089.4834437086092,0.0
5638819,96607000,11537,Чеченская Республика,8,624024.0,624024.0,14.09.2017,Ремонт кровли ,299.2,"640,24700",2085.6417112299464,0.0
5645576,96637000,11861,Чеченская Республика,8,1303255.0,1303255.0,09.11.2017,Ремонт кровли ,625.8,"1338,32000",2082.5423457973793,0.0
5638801,96607000,11536,Чеченская Республика,8,617428.0,617428.0,14.09.2017,Ремонт кровли ,299.2,"632,80800",2063.596256684492,0.0
5613486,96602000,10100,Чеченская Республика,8,1893077.0,1893077.0,14.09.2017,Ремонт кровли ,942.6,"2009,20000",2008.356673032039,0.0
5638861,96607000,11540,Чеченская Республика,8,586053.0,586053.0,14.09.2017,Ремонт кровли ,300.0,"602,68000",1953.51,0.0
5639846,96610000,11586,Чеченская Республика,8,1436118.0,1436118.0,19.10.2017,Ремонт кровли ,779.0,"1869,91200",1843.540436456996,0.0
5646263,96628000,11894,Чеченская Республика,8,625601.95,625601.95,22.06.2016,Ремонт кровли ,381.3,"1469,38400",1640.7079727248884,0.0
5646293,96628000,11895,Чеченская Республика,8,627834.46,627834.46,22.06.2016,Ремонт кровли ,383.8,"1463,79300",1635.837571651902,0.0
5646323,96628000,11896,Чеченская Республика,8,627834.46,627834.46,22.06.2016,Ремонт кровли ,386.7,"1441,90000",1623.569847426946,0.0
5646379,96628000,11899,Чеченская Республика,8,632194.7,632194.7,22.06.2016,Ремонт кровли ,392.9,"1438,67900",1609.04734029015,0.0
5639817,96610000,11585,Чеченская Республика,8,1111361.0,1111361.0,19.10.2017,Ремонт кровли ,699.6,"1600,51900",1588.5663236134933,0.0
5639803,96610000,11584,Чеченская Республика,8,1074689.34,1074689.34,19.10.2017,Ремонт кровли ,682.7,"1547,72500",1574.1750988721253,0.0
5645434,96637000,11855,Чеченская Республика,8,1592484.0,1592484.0,09.11.2017,Ремонт кровли ,1049.9,"1735,99000",1516.7958853224116,0.0
5640978,96610000,11634,Чеченская Республика,8,886366.69,886366.69,14.11.2016,Ремонт кровли ,610.94,"1305,83700",1450.8244508462367,0.0
5640927,96610000,11631,Чеченская Республика,8,544671.36,544671.36,14.11.2016,Ремонт кровли ,401.06,"831,45800",1358.0794893532138,0.0
5640863,96610000,11628,Чеченская Республика,8,470306.14,470306.14,14.11.2016,Ремонт кровли ,355.3,"666,34600",1323.6874190824656,0.0
5644809,96625000,11823,Чеченская Республика,8,1316362.17,1316362.17,06.12.2018,Ремонт кровли ,1032.0,,1275.544738372093,0.0
5641277,96612000,11649,Чеченская Республика,8,909115.49,909115.49,14.11.2016,Ремонт кровли ,728.0,"1035,05900",1248.7850137362636,0.0
5641291,96612000,11650,Чеченская Республика,8,882058.91,882058.91,14.11.2016,Ремонт кровли ,728.0,"1042,12600",1211.619381868132,0.0
5646211,96628000,11891,Чеченская Республика,8,1390967.02,1390967.02,22.06.2016,Ремонт кровли ,1230.0,"3009,80700",1130.8674959349594,0.0
5618382,96701000,10450,Чеченская Республика,8,2425645.0,2991441.0,30.09.2017,Ремонт кровли ,4102.0,,729.2640175524134,23.325589688515834
