,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
534277,12701000,369,Астраханская область,10,1041914.0,1041914.0,31.08.2016,Ремонт фасада,945.6,"2089,21571",1101.8549069373942,0.0
515745,12701000,51,Астраханская область,10,2738000.0,2738000.0,14.12.2016,Ремонт фасада,2635.7,"2894,47000",1038.8132184998294,0.0
522639,12701000,834,Астраханская область,10,296260.0,296260.0,16.12.2016,Ремонт фасада,296.4,"389,23000",999.527665317139,0.0
526130,12701000,2304,Астраханская область,10,1442530.0,1442530.0,25.08.2016,Ремонт фасада,1463.1,"4201,64100",985.940810607614,0.0
532126,12701000,617,Астраханская область,10,2587972.0,2587972.0,12.05.2017,Ремонт фасада,2644.7,"2304,16500",978.5503081634969,0.0
526173,12701000,2307,Астраханская область,10,1218362.0,1218362.0,25.08.2016,Ремонт фасада,1406.0,"3966,03300",866.5448079658606,0.0
521668,12701000,198,Астраханская область,69,417044.0,417044.0,08.12.2016,Ремонт фасада,494.5,"2260,58200",843.3650151668352,0.0
527559,12701000,242,Астраханская область,10,850000.0,850000.0,15.02.2015,Ремонт фасада,1192.0,"1467,22000",713.0872483221476,0.0
523310,12701000,811,Астраханская область,10,3650030.0,3650030.0,24.02.2017,Ремонт фасада,5608.0,"9095,45800",650.8612696148359,0.0
536039,12701000,1272,Астраханская область,10,1688523.0,1688523.0,01.04.2015,Ремонт фасада,4226.8,"5064,05102",399.48022144411846,0.0
548567,12701000,1893,Астраханская область,10,770000.0,770000.0,15.02.2015,Ремонт фасада,2130.4,"800,00000",361.43447239954935,0.0
521673,12701000,198,Астраханская область,10,162916.0,162916.0,08.12.2016,Ремонт фасада,494.5,"2260,58200",329.4560161779575,0.0
523318,12701000,811,Астраханская область,69,1577700.0,1577700.0,24.02.2017,Ремонт фасада,5608.0,"9095,45800",281.330242510699,0.0
543514,12701000,1636,Астраханская область,10,2544797.0,2544797.0,15.02.2015,Ремонт фасада,9424.0,"6091,94700",270.03363752122243,0.0
538590,12701000,409,Астраханская область,69,692520.0,692520.0,18.12.2016,Ремонт фасада,2738.3,"3412,85700",252.90143519702002,0.0
520102,12701000,2975,Астраханская область,69,1886751.32,1886751.32,30.09.2016,Ремонт фасада,7704.0,"13355,95407",244.90541536863967,0.0
534263,12701000,369,Астраханская область,69,224323.0,224323.0,31.08.2016,Ремонт фасада,945.6,"2089,21571",237.22821489001691,0.0
521670,12701000,198,Астраханская область,79,87187.0,87187.0,08.12.2016,Ремонт фасада,494.5,"2260,58200",176.31344792719918,0.0
530650,12701000,2462,Астраханская область,69,557733.0,557733.0,26.12.2016,Ремонт фасада,4516.8,"2550,51000",123.47967587672689,0.0
526209,12701000,2308,Астраханская область,69,588070.0,588070.0,29.09.2016,Ремонт фасада,4781.7,"588,07000",122.98345776606646,0.0
530858,12701000,2479,Астраханская область,10,704387.0,704387.0,06.07.2017,Ремонт фасада,6635.0,,106.16232102486812,0.0
538981,12701000,2600,Астраханская область,10,502663.0,502663.0,10.03.2017,Ремонт фасада,4780.8,"502,66300",105.14202643908969,0.0
531201,12701000,2500,Астраханская область,10,596497.0,596497.0,27.02.2017,Ремонт фасада,5697.1,"596,49700",104.7018658615787,0.0
530652,12701000,2462,Астраханская область,10,373909.0,373909.0,26.12.2016,Ремонт фасада,4516.8,"2550,51000",82.78183669854764,0.0
526201,12701000,2310,Астраханская область,10,732200.0,732200.0,06.09.2016,Ремонт фасада,9034.68,,81.0432688263447,0.0
533964,12701000,2910,Астраханская область,69,380000.0,380000.0,30.11.2016,Ремонт фасада,4706.5,"380,00000",80.73940295336237,0.0
540790,12701000,1576,Астраханская область,10,243687.0,243687.0,,Ремонт фасада,3056.0,,79.74051047120419,0.0
521221,12701000,186,Астраханская область,79,30000.0,30000.0,07.07.2016,Ремонт фасада,386.7,"30,00000",77.57951900698215,0.0
535100,12701000,2573,Астраханская область,10,454376.78,454376.78,06.07.2017,Ремонт фасада,6277.5,,72.38180485862206,0.0
526791,12701000,930,Астраханская область,10,798780.0,798780.0,,Ремонт фасада,11278.4,"656,94600",70.82387572705349,0.0
535269,12701000,2585,Астраханская область,10,239727.0,239727.0,10.02.2017,Ремонт фасада,3474.6,,68.99412882058367,0.0
527509,12701000,236,Астраханская область,69,82500.0,82500.0,31.07.2016,Ремонт фасада,1252.1,"82,50000",65.88930596597716,0.0
531267,12701000,2513,Астраханская область,69,605721.0,605721.0,20.10.2016,Ремонт фасада,10622.5,"845,72100",57.022452341727465,0.0
533648,12701000,2554,Астраханская область,10,192000.0,192000.0,22.11.2016,Ремонт фасада,3406.4,"192,00000",56.364490371066225,0.0
533655,12701000,2555,Астраханская область,10,192000.0,192000.0,,Ремонт фасада,3415.9,"160,00000",56.20773441845487,0.0
530682,12701000,2468,Астраханская область,10,259464.0,259464.0,22.11.2016,Ремонт фасада,4961.4,"259,46400",52.2965292054662,0.0
533606,12701000,2551,Астраханская область,10,245000.0,245000.0,30.05.2016,Ремонт фасада,4850.8,"245,00000",50.50713284406696,0.0
524331,12701000,2364,Астраханская область,10,171000.0,171000.0,02.12.2016,Ремонт фасада,3461.4,"171,00000",49.40197607904316,0.0
530750,12701000,2470,Астраханская область,10,385000.0,385000.0,03.07.2017,Ремонт фасада,7834.0,"340,00000",49.14475363798826,0.0
530472,12701000,2921,Астраханская область,69,136200.0,136200.0,,Ремонт фасада,2812.9,"272,40000",48.419780297913185,0.0
530468,12701000,2921,Астраханская область,10,136200.0,136200.0,,Ремонт фасада,2812.9,"272,40000",48.419780297913185,0.0
530751,12701000,2470,Астраханская область,10,340000.0,340000.0,28.03.2016,Ремонт фасада,7834.0,"340,00000",43.40056165432729,0.0
526745,12701000,926,Астраханская область,69,349999.0,349999.0,01.09.2016,Ремонт фасада,8186.5,"349,99900",42.75319122946314,0.0
542237,12701000,2632,Астраханская область,10,146472.0,146472.0,30.06.2016,Ремонт фасада,3563.9,"146,47200",41.0987962625214,0.0
527525,12701000,237,Астраханская область,69,67500.0,67500.0,30.09.2016,Ремонт фасада,1741.2,"67,50000",38.766368022053754,0.0
522137,12701000,2247,Астраханская область,10,97000.0,97000.0,30.11.2015,Ремонт фасада,2660.1,"127,00000",36.46479455659562,0.0
516678,12701000,661,Астраханская область,10,180090.0,180090.0,02.08.2016,Ремонт фасада,5400.2,"298,76200",33.34876486056072,0.0
535039,12701000,2569,Астраханская область,10,183146.68,183146.68,24.08.2016,Ремонт фасада,5801.1,,31.571026184689106,0.0
549869,12701000,2776,Астраханская область,10,80450.0,80450.0,19.07.2017,Ремонт фасада,2573.1,,31.265788348684467,0.0
542774,12701000,2675,Астраханская область,69,60040.0,60040.0,17.10.2016,Ремонт фасада,1961.0,"83,04000",30.61703212646609,0.0
541305,12701000,2727,Астраханская область,79,109020.0,109020.0,26.09.2016,Ремонт фасада,4047.0,"350,87800",26.938472942920683,0.0
549893,12701000,2778,Астраханская область,10,67900.12,67900.12,05.12.2016,Ремонт фасада,2530.5,"67,90012",26.832689191859316,0.0
541315,12701000,2727,Астраханская область,69,105605.0,105605.0,26.08.2016,Ремонт фасада,4047.0,"350,87800",26.09463800345935,0.0
525598,12701000,908,Астраханская область,10,94175.65,94175.65,10.11.2016,Ремонт фасада,3657.0,"244,21189",25.7521602406344,0.0
536086,12701000,1276,Астраханская область,10,219093.88,219093.88,09.02.2016,Ремонт фасада,8535.3,"524,69299",25.669148126017834,0.0
528099,12701000,972,Астраханская область,10,236500.0,236500.0,,Ремонт фасада,9280.8,"236,50000",25.48271700715456,0.0
531270,12701000,2513,Астраханская область,10,240000.0,240000.0,03.08.2016,Ремонт фасада,10622.5,"845,72100",22.59355142386444,0.0
526903,12701000,939,Астраханская область,10,113177.06,113177.06,15.12.2015,Ремонт фасада,5533.8,"7350,00000",20.451960678015105,0.0
535056,12701000,2570,Астраханская область,79,273437.0,273437.0,04.12.2015,Ремонт фасада,13901.6,"546,87400",19.66946250791276,0.0
530721,12701000,2469,Астраханская область,10,114000.0,114000.0,05.02.2016,Ремонт фасада,6094.8,"228,00000",18.704469383736956,0.0
533632,12701000,2553,Астраханская область,10,73000.0,73000.0,09.02.2016,Ремонт фасада,4217.8,,17.30760111906681,0.0
544620,12701000,2948,Астраханская область,69,45018.0,45018.0,31.12.2016,Ремонт фасада,3286.0,"45,01800",13.699939135727329,0.0
534074,12701000,2565,Астраханская область,10,107499.0,107499.0,18.08.2016,Ремонт фасада,8490.0,"107,49900",12.661837455830389,0.0
530415,12701000,2950,Астраханская область,10,39881.0,39881.0,30.06.2016,Ремонт фасада,3172.9,"3239,88100",12.569258407135427,0.0
542772,12701000,2675,Астраханская область,10,23000.0,23000.0,16.09.2016,Ремонт фасада,1961.0,"83,04000",11.72870984191739,0.0
522130,12701000,2247,Астраханская область,10,30000.0,30000.0,,Ремонт фасада,2660.1,"127,00000",11.27777151234916,0.0
515906,12701000,2134,Астраханская область,69,22543.36,22543.36,30.08.2016,Ремонт фасада,2919.8,"191,59336",7.720857592985821,0.0
510811,12605000,3721,Астраханская область,10,500000.0,,,Ремонт фасада,7839.3,"1026,37812",,
510812,12605000,3721,Астраханская область,69,250000.0,,,Ремонт фасада,7839.3,"1026,37812",,
510826,12605000,3722,Астраханская область,69,250000.0,,,Ремонт фасада,7821.2,,,
510830,12605000,3722,Астраханская область,10,500000.0,,,Ремонт фасада,7821.2,,,
510850,12605000,3723,Астраханская область,69,250000.0,,,Ремонт фасада,7984.9,,,
510855,12605000,3723,Астраханская область,10,443400.0,,,Ремонт фасада,7984.9,,,
510859,12605000,3724,Астраханская область,69,200000.0,,,Ремонт фасада,8003.1,,,
510861,12605000,3724,Астраханская область,10,800000.0,,,Ремонт фасада,8003.1,,,
510871,12605000,3725,Астраханская область,10,300000.0,,,Ремонт фасада,3763.4,,,
510873,12605000,3725,Астраханская область,69,100000.0,,,Ремонт фасада,3763.4,,,
510891,12605000,3726,Астраханская область,10,870000.0,,,Ремонт фасада,3768.4,,,
510898,12605000,3726,Астраханская область,69,100000.0,,,Ремонт фасада,3768.4,,,
510906,12605000,3727,Астраханская область,10,545000.0,,,Ремонт фасада,8043.1,,,
510907,12605000,3727,Астраханская область,10,55000.0,,,Ремонт фасада,8043.1,,,
510910,12605000,3727,Астраханская область,69,200000.0,,,Ремонт фасада,8043.1,,,
510915,12605000,3728,Астраханская область,69,200000.0,,,Ремонт фасада,7977.0,,,
510917,12605000,3728,Астраханская область,10,600000.0,,,Ремонт фасада,7977.0,,,
510931,12605000,3729,Астраханская область,10,600000.0,,,Ремонт фасада,4245.9,,,
510937,12605000,3729,Астраханская область,69,100000.0,,,Ремонт фасада,4245.9,,,
510945,12605000,3974,Астраханская область,10,500000.0,,,Ремонт фасада,732.1,,,
510956,12605000,3975,Астраханская область,10,130000.0,,,Ремонт фасада,741.4,,,
510962,12605000,3976,Астраханская область,10,1400000.0,,,Ремонт фасада,768.3,,,
510970,12605000,3977,Астраханская область,10,900000.0,,,Ремонт фасада,1145.8,,,
510980,12605000,3978,Астраханская область,10,600000.0,,,Ремонт фасада,1272.6,,,
510989,12605000,3979,Астраханская область,10,400000.0,,,Ремонт фасада,746.3,,,
511008,12605000,3794,Астраханская область,10,800000.0,,,Ремонт фасада,841.0,,,
511017,12605000,3802,Астраханская область,10,800000.0,,,Ремонт фасада,979.5,,,
511025,12605000,3803,Астраханская область,10,1185000.0,,,Ремонт фасада,1411.4,"15,00000",,
511031,12605000,3804,Астраханская область,10,800000.0,,,Ремонт фасада,1504.4,,,
511044,12605000,3805,Астраханская область,10,800000.0,,,Ремонт фасада,1477.9,"30,00000",,
511049,12605000,3806,Астраханская область,10,1200000.0,,,Ремонт фасада,1480.7,,,
511057,12605000,3807,Астраханская область,10,1200000.0,,,Ремонт фасада,1459.6,"151,24100",,
511071,12605000,3808,Астраханская область,10,800000.0,,,Ремонт фасада,2496.6,,,
511073,12605000,3809,Астраханская область,10,800000.0,,,Ремонт фасада,1540.4,"354,97000",,
511088,12605000,3810,Астраханская область,10,800000.0,,,Ремонт фасада,1974.8,,,
511097,12605000,3811,Астраханская область,10,800000.0,,,Ремонт фасада,1587.8,"15,00000",,
511106,12605000,5359,Астраханская область,69,250000.0,,,Ремонт фасада,1382.1,,,
511107,12605000,5359,Астраханская область,10,1865835.63,,,Ремонт фасада,1382.1,,,
511116,12605000,3795,Астраханская область,10,800000.0,,,Ремонт фасада,979.7,,,
511128,12605000,3796,Астраханская область,10,550000.0,,,Ремонт фасада,838.7,,,
511143,12605000,3798,Астраханская область,10,600000.0,,,Ремонт фасада,928.6,,,
511151,12605000,3799,Астраханская область,10,800000.0,,,Ремонт фасада,837.5,"337,75800",,
511168,12605000,3800,Астраханская область,10,800000.0,,,Ремонт фасада,987.4,"22,50000",,
511170,12605000,3801,Астраханская область,10,1200000.0,,,Ремонт фасада,998.5,"214,88300",,
511185,12605000,3962,Астраханская область,10,500000.0,,,Ремонт фасада,352.9,,,
511191,12605000,3963,Астраханская область,10,900000.0,,,Ремонт фасада,355.2,,,
511201,12605000,3964,Астраханская область,10,1600000.0,,,Ремонт фасада,675.5,,,
511211,12605000,3965,Астраханская область,10,350000.0,,,Ремонт фасада,670.8,,,
511214,12605000,3966,Астраханская область,10,1300000.0,,,Ремонт фасада,677.1,,,
511228,12605000,3967,Астраханская область,10,259610.0,,,Ремонт фасада,677.4,,,
511274,12605000,3824,Астраханская область,10,800000.0,,,Ремонт фасада,2725.4,"225,00000",,
511288,12605000,3825,Астраханская область,10,800000.0,,,Ремонт фасада,3400.7,,,
511294,12605000,3826,Астраханская область,10,900000.0,,,Ремонт фасада,2988.0,,,
511303,12605000,3827,Астраханская область,10,900000.0,,,Ремонт фасада,2985.5,,,
511317,12605000,3956,Астраханская область,10,130000.0,,,Ремонт фасада,1751.0,,,
511324,12605000,3764,Астраханская область,10,900000.0,,,Ремонт фасада,562.8,,,
511333,12605000,3834,Астраханская область,10,800000.0,,,Ремонт фасада,1633.0,"157,50000",,
511342,12605000,3948,Астраханская область,10,600000.0,,,Ремонт фасада,1550.8,,,
511355,12605000,3835,Астраханская область,10,800000.0,,,Ремонт фасада,2755.2,"466,32000",,
511360,12605000,3842,Астраханская область,10,900000.0,,,Ремонт фасада,1633.4,"351,51800",,
511367,12605000,3751,Астраханская область,10,2000000.0,,,Ремонт фасада,1746.9,,,
511380,12605000,3843,Астраханская область,10,1200000.0,,,Ремонт фасада,1640.7,,,
511389,12605000,3946,Астраханская область,10,300000.0,,,Ремонт фасада,484.3,,,
511395,12605000,3947,Астраханская область,10,874000.0,,,Ремонт фасада,526.3,,,
511403,12605000,3886,Астраханская область,10,600000.0,,,Ремонт фасада,3110.3,"135,00000",,
511420,12605000,3893,Астраханская область,10,1800000.0,,,Ремонт фасада,1788.0,,,
511430,12605000,3894,Астраханская область,10,600000.0,,,Ремонт фасада,1803.5,,,
511440,12605000,3895,Астраханская область,10,600000.0,,,Ремонт фасада,6089.2,,,
511454,12605000,3876,Астраханская область,10,2500000.0,,,Ремонт фасада,4265.3,,,
511462,12605000,3896,Астраханская область,10,600000.0,,,Ремонт фасада,1782.9,,,
511467,12605000,3897,Астраханская область,10,50000.0,,,Ремонт фасада,4228.4,"97,50000",,
511479,12605000,3898,Астраханская область,10,1500000.0,,,Ремонт фасада,4251.0,,,
511491,12605000,3899,Астраханская область,10,1400000.0,,,Ремонт фасада,1109.2,,,
511501,12605000,3877,Астраханская область,10,2500000.0,,,Ремонт фасада,5473.9,,,
511517,12605000,3887,Астраханская область,10,1000000.0,,,Ремонт фасада,3143.8,"134,85000",,
511521,12605000,3888,Астраханская область,10,1400000.0,,,Ремонт фасада,4675.0,,,
511537,12605000,3889,Астраханская область,10,400000.0,,,Ремонт фасада,3097.5,"623,51434",,
511540,12605000,3875,Астраханская область,10,1173280.0,,,Ремонт фасада,3525.4,,,
511553,12605000,3890,Астраханская область,10,1300000.0,,,Ремонт фасада,6051.0,,,
511567,12605000,3891,Астраханская область,10,1350000.0,,,Ремонт фасада,4176.6,,,
511577,12605000,3892,Астраханская область,10,400000.0,,,Ремонт фасада,6056.7,,,
511587,12605000,3765,Астраханская область,10,600000.0,,,Ремонт фасада,1458.4,,,
511594,12605000,3762,Астраханская область,10,2000000.0,,,Ремонт фасада,1732.1,,,
511603,12605000,3771,Астраханская область,10,400000.0,,,Ремонт фасада,565.5,,,
511611,12605000,3763,Астраханская область,10,2000000.0,,,Ремонт фасада,1761.5,,,
511622,12605000,3772,Астраханская область,10,600000.0,,,Ремонт фасада,1686.2,,,
511630,12605000,3878,Астраханская область,10,2500000.0,,,Ремонт фасада,1498.8,,,
511637,12605000,3885,Астраханская область,10,1400000.0,,,Ремонт фасада,3421.0,,,
511646,12605000,3766,Астраханская область,10,800000.0,,,Ремонт фасада,1603.1,,,
511656,12605000,3767,Астраханская область,10,1200000.0,,,Ремонт фасада,3816.9,,,
511670,12605000,3768,Астраханская область,10,600000.0,,,Ремонт фасада,1604.3,,,
511680,12605000,3769,Астраханская область,10,700000.0,,,Ремонт фасада,1748.6,,,
511686,12605000,3770,Астраханская область,10,400000.0,,,Ремонт фасада,938.7,,,
511690,12605000,3926,Астраханская область,10,1200000.0,,,Ремонт фасада,847.6,,,
511702,12605000,3982,Астраханская область,10,400000.0,,,Ремонт фасада,478.4,,,
511711,12605000,4006,Астраханская область,10,1500000.0,,,Ремонт фасада,387.0,,,
511719,12605000,3773,Астраханская область,10,1000000.0,,,Ремонт фасада,3781.6,,,
511725,12605000,3849,Астраханская область,10,1600000.0,,,Ремонт фасада,6678.9,,,
511738,12605000,3850,Астраханская область,10,1600000.0,,,Ремонт фасада,3676.9,"97,50000",,
511747,12605000,3851,Астраханская область,10,1600000.0,,,Ремонт фасада,3137.9,,,
511756,12605000,3848,Астраханская область,10,2000000.0,,,Ремонт фасада,6654.6,,,
511764,12605000,3953,Астраханская область,10,400000.0,,,Ремонт фасада,3677.4,,,
511771,12605000,3774,Астраханская область,10,600000.0,,,Ремонт фасада,1316.0,,,
511783,12605000,3857,Астраханская область,10,1000000.0,,,Ремонт фасада,3650.9,,,
511794,12605000,3852,Астраханская область,10,1600000.0,,,Ремонт фасада,1513.0,,,
511801,12605000,3853,Астраханская область,10,900000.0,,,Ремонт фасада,3667.4,,,
511819,12605000,3854,Астраханская область,10,1600000.0,,,Ремонт фасада,1553.1,"135,00000",,
511828,12605000,3855,Астраханская область,10,1600000.0,,,Ремонт фасада,3670.9,"135,00000",,
511838,12605000,3856,Астраханская область,10,1644780.0,,,Ремонт фасада,3661.1,,,
511847,12605000,3932,Астраханская область,10,1300000.0,,,Ремонт фасада,1970.0,,,
511853,12605000,3933,Астраханская область,10,875000.0,,,Ремонт фасада,2970.0,,,
511861,12605000,3995,Астраханская область,10,500000.0,,,Ремонт фасада,376.1,,,
511866,12605000,3934,Астраханская область,10,733130.0,,,Ремонт фасада,365.7,,,
511875,12605000,3935,Астраханская область,10,400000.0,,,Ремонт фасада,379.0,,,
511888,12605000,3937,Астраханская область,10,312500.0,,,Ремонт фасада,447.0,,,
511897,12605000,3938,Астраханская область,10,350000.0,,,Ремонт фасада,444.1,,,
511906,12605000,3734,Астраханская область,10,5000000.0,,,Ремонт фасада,7305.8,,,
511912,12605000,3904,Астраханская область,10,400000.0,,,Ремонт фасада,1037.3,,,
511922,12605000,3905,Астраханская область,10,1200000.0,,,Ремонт фасада,1410.7,,,
511934,12605000,3988,Астраханская область,10,400000.0,,,Ремонт фасада,1445.4,,,
511946,12605000,3906,Астраханская область,10,1400000.0,,,Ремонт фасада,1039.4,,,
511951,12605000,3907,Астраханская область,10,600000.0,,,Ремонт фасада,1287.2,,,
511967,12605000,3902,Астраханская область,10,1800000.0,,,Ремонт фасада,1465.0,"78,00000",,
511976,12605000,3908,Астраханская область,10,1000000.0,,,Ремонт фасада,1157.4,,,
511985,12605000,3909,Астраханская область,10,1400000.0,,,Ремонт фасада,1949.5,,,
511999,12605000,3903,Астраханская область,10,400000.0,,,Ремонт фасада,1413.2,,,
512003,12605000,3730,Астраханская область,10,3000000.0,,,Ремонт фасада,3527.7,,,
512019,12605000,3731,Астраханская область,10,2799080.0,,,Ремонт фасада,2888.6,"225,00000",,
512026,12605000,3732,Астраханская область,10,2500000.0,,,Ремонт фасада,2148.9,,,
512037,12605000,3733,Астраханская область,69,500000.0,,,Ремонт фасада,1942.4,,,
512047,12605000,3739,Астраханская область,10,2500000.0,,,Ремонт фасада,2222.5,,,
512063,12605000,3750,Астраханская область,10,1500000.0,,,Ремонт фасада,2532.6,,,
512073,12605000,3743,Астраханская область,10,1220000.0,,,Ремонт фасада,1035.6,,,
512084,12605000,3744,Астраханская область,10,3000000.0,,,Ремонт фасада,2808.0,,,
512093,12605000,3745,Астраханская область,10,1200000.0,,,Ремонт фасада,3944.2,,,
512104,12605000,3775,Астраханская область,10,1200000.0,,,Ремонт фасада,4887.1,,,
512108,12605000,3776,Астраханская область,10,700000.0,,,Ремонт фасада,556.3,,,
512114,12605000,3777,Астраханская область,10,800000.0,,,Ремонт фасада,560.9,,,
512125,12605000,3778,Астраханская область,10,800000.0,,,Ремонт фасада,1612.1,"358,13100",,
512137,12605000,3779,Астраханская область,10,600000.0,,,Ремонт фасада,2755.2,,,
512146,12605000,3910,Астраханская область,10,400000.0,,,Ремонт фасада,2005.0,,,
512152,12605000,3911,Астраханская область,10,1300000.0,,,Ремонт фасада,1882.4,"28,50000",,
512170,12605000,3912,Астраханская область,10,1350000.0,,,Ремонт фасада,1737.3,,,
512183,12605000,3785,Астраханская область,10,800000.0,,,Ремонт фасада,1629.6,,,
512189,12605000,3858,Астраханская область,10,1000000.0,,,Ремонт фасада,1662.7,,,
512196,12605000,3786,Астраханская область,10,700000.0,,,Ремонт фасада,1635.1,,,
512205,12605000,3859,Астраханская область,10,1600000.0,,,Ремонт фасада,2783.8,,,
512223,12605000,3787,Астраханская область,10,800000.0,,,Ремонт фасада,1632.1,,,
512233,12605000,3753,Астраханская область,10,2500000.0,,,Ремонт фасада,2760.9,,,
512242,12605000,3879,Астраханская область,10,2000000.0,,,Ремонт фасада,2604.2,,,
512247,12605000,3788,Астраханская область,10,800000.0,,,Ремонт фасада,2720.2,,,
512259,12605000,3789,Астраханская область,10,100000.0,,,Ремонт фасада,3773.1,,,
512265,12605000,3780,Астраханская область,10,600000.0,,,Ремонт фасада,2756.1,,,
512273,12605000,3790,Астраханская область,10,900000.0,,,Ремонт фасада,2732.9,,,
512284,12605000,3880,Астраханская область,10,2000000.0,,,Ремонт фасада,3122.8,,,
512288,12605000,3860,Астраханская область,10,1600000.0,,,Ремонт фасада,4842.1,,,
512296,12605000,3791,Астраханская область,10,1000000.0,,,Ремонт фасада,4604.6,,,
512306,12605000,3791,Астраханская область,69,500000.0,,,Ремонт фасада,4604.6,,,
512310,12605000,3792,Астраханская область,10,1200000.0,,,Ремонт фасада,4324.6,,,
512322,12605000,3861,Астраханская область,10,1600000.0,,,Ремонт фасада,4620.8,,,
512329,12605000,3862,Астраханская область,10,1600000.0,,,Ремонт фасада,4246.6,,,
