,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3005611,29701000,40011914,Калужская область,10,5273730.84,2212755.73,28.06.2019,Ремонт фасада,281.6,"4038,29379",7857.797336647726,-58.041929003718366
3020955,29608000,40060017,Калужская область,10,1086101.45,1967828.4,10.08.2019,Ремонт фасада,278.3,"2160,23607",7070.888968738771,81.18274310378648
3020942,29608000,40060016,Калужская область,10,1086101.45,1929058.8,10.08.2019,Ремонт фасада,276.9,"2008,96337",6966.626218851572,77.61313181195
3038771,29629000,40160040,Калужская область,10,1135134.0,2636046.34,,Ремонт фасада,381.4,"2731,43688",6911.500629260619,132.22336217574312
3042883,29636000,40190182,Калужская область,23,3676276.31,3676276.31,29.05.2018,Ремонт фасада,556.5,"3743,72480",6606.067044025157,0.0
2999726,29701000,40011343,Калужская область,10,855104.09,3087148.88,,Ремонт фасада,485.4,"270,46903",6360.010053564071,261.026092156804
2991336,29701000,40010555,Калужская область,10,2210588.44,2261251.7,30.08.2017,Ремонт фасада,356.7,"3905,47486",6339.365573310906,2.2918449713778655
2976346,29602000,40030119,Калужская область,23,1599759.21,5670088.69,,Ремонт фасада,922.4,"156,39763",6147.103957068518,254.43388320921122
3044199,29638000,40200068,Калужская область,10,1758896.5,5577609.6,,Ремонт фасада,932.6,"224,08820",5980.709414539995,217.1084597644034
3044178,29638000,40200066,Калужская область,10,1758896.5,5480784.0,,Ремонт фасада,932.6,"239,25062",5876.886124812352,211.60355370540566
3022255,29608000,40060501,Калужская область,10,1455466.5,3055864.8,10.08.2019,Ремонт фасада,520.0,"3175,64399",5876.663076923077,109.9577558123117
3038359,29627000,40150083,Калужская область,10,4522226.1,4413683.8,28.09.2018,Ремонт фасада,753.2,"5570,59135",5859.90945300053,-2.4001962219447615
3009607,29701000,40012322,Калужская область,10,2203836.46,3061752.8,30.07.2019,Ремонт фасада,526.6,"3181,47020",5814.190657045195,38.92831231224842
3036824,29623000,40130409,Калужская область,10,1640186.0,3663205.13,,Ремонт фасада,634.2,"93,23680",5776.103957742037,123.34083634417073
3040713,29636000,40190004,Калужская область,23,5586984.94,5586984.94,31.08.2018,Ремонт фасада,1023.5,"5675,64448",5458.705363947241,0.0
3036744,29623000,40130408,Калужская область,10,1640186.0,3459078.9,,Ремонт фасада,648.8,"303,12082",5331.502620221949,110.89552648297203
2999262,29701000,40011291,Калужская область,10,16410442.42,16410442.42,30.12.2017,Ремонт фасада,3099.3,"17623,06027",5294.886722808375,0.0
2985928,29620000,40260210,Калужская область,10,2000000.0,1938860.54,30.07.2019,Ремонт фасада,368.1,"4389,96732",5267.211464276012,-3.056972999999996
2985377,29614000,40250329,Калужская область,10,1180113.35,1833184.98,14.08.2019,Ремонт фасада,350.3,"2069,35633",5233.185783614045,55.339737492165455
2989644,29701000,40010334,Калужская область,10,1475266.68,1475266.68,27.09.2017,Ремонт фасада,283.2,"2729,63394",5209.275,0.0
2983632,29614000,40250124,Калужская область,10,1606023.0,3149259.58,,Ремонт фасада,613.7,"320,15763",5131.594557601434,96.09056532814289
3022585,29608000,40060447,Калужская область,10,1972862.06,1972862.06,28.12.2018,Ремонт фасада,387.59,"2303,93505",5090.074718129983,0.0
3040865,29636000,40190076,Калужская область,10,1892386.06,1892386.06,28.09.2018,Ремонт фасада,379.6,"3475,79255",4985.21090621707,0.0
