,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6173533,44701000,37176,Магаданская область,10,8796732.12,7010020.0,,Ремонт фасада,2592.3,"4454,91000",2704.1700420476022,-20.311089341208664
6173620,44701000,37280,Магаданская область,10,10782849.6,11198460.0,09.10.2017,Ремонт фасада,4283.7,"20608,54130",2614.202675257371,3.8543651763444764
6168783,44701000,39221,Магаданская область,10,3528235.8,3011290.0,05.10.2015,Ремонт фасада,1298.1,"9133,14920",2319.767352284108,-14.651679459745859
6176771,44601000,36641,Магаданская область,10,3890190.0,3890190.0,14.12.2015,Ремонт фасада,1705.3,"3843,79700",2281.234973318478,0.0
6173003,44701000,36819,Магаданская область,10,13770366.48,11940865.0,15.06.2016,Ремонт фасада,5404.2,"44935,31800",2209.552755264424,-13.28578642156807
6171048,44701000,37599,Магаданская область,10,2769859.44,2068350.0,09.09.2015,Ремонт фасада,1019.8,"6431,35470",2028.1918023141793,-25.326535703197994
6171033,44701000,37597,Магаданская область,10,2983276.8,2159830.0,25.09.2015,Ремонт фасада,1097.9,"7128,20620",1967.2374533199743,-27.602091767012695
6173624,44701000,37102,Магаданская область,10,14926134.96,7942680.0,,Ремонт фасада,4952.7,"329,03000",1603.7070688715246,-46.78676012721783
6170944,44701000,37079,Магаданская область,10,14002864.2,5880948.0,29.11.2017,Ремонт фасада,4861.6,"18338,54440",1209.6733585650813,-58.00182079891913
6168810,44701000,37650,Магаданская область,10,20891635.2,9201511.0,13.10.2017,Ремонт фасада,7999.6,"33658,57870",1150.246387319366,-55.95600386512589
6168993,44701000,36952,Магаданская область,10,9365140.8,4345250.0,02.12.2015,Ремонт фасада,4123.1,"22798,56140",1053.8793626155077,-53.60187216832875
6168994,44701000,36909,Магаданская область,10,13478290.2,6150800.0,25.08.2017,Ремонт фасада,6239.9,"27108,36500",985.720925014824,-54.365131565426594
6179714,44622000,36772,Магаданская область,10,4092104.0,4092104.0,27.10.2015,Ремонт фасада,4268.6,"10527,58200",958.6524855924658,0.0
6169013,44701000,37536,Магаданская область,10,11971974.6,4180415.0,10.08.2017,Ремонт фасада,4758.5,"16156,38130",878.5152884312283,-65.08165829219183
