,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
857042,45366000,95113,Москва,10,6283872.89,6283872.89,30.08.2017,Ремонт фасада,422.0,"12030,28982",14890.694052132701,0.0
719292,45941000,98283,Москва,10,4342990.25,4342990.25,,Ремонт фасада,485.0,"0,00000",8954.61907216495,0.0
652907,45375000,95349,Москва,10,2624625.29,2624625.29,,Ремонт фасада,353.0,"110,23129",7435.1991218130315,0.0
987197,45345000,190830,Москва,10,8238761.21,8238761.21,,Ремонт фасада,1253.0,"0,00000",6575.228419792498,0.0
744239,45333000,94827,Москва,10,16089705.88,16089705.88,,Ремонт фасада,2739.0,"18918,62602",5874.299335523914,0.0
1071811,45372000,94877,Москва,10,5440786.45,5440786.45,,Ремонт фасада,953.0,"399,32659",5709.1148478488985,0.0
1110194,45381000,94690,Москва,10,8405897.57,8405897.57,17.01.2018,Ремонт фасада,1606.0,"14109,78472",5234.058262764633,0.0
648561,45375000,102949,Москва,10,8493424.51,8493424.51,,Ремонт фасада,1876.0,"0,00000",4527.4117857142855,0.0
1000245,45326000,95232,Москва,10,14294550.22,14294550.22,,Ремонт фасада,3298.0,"3994,15201",4334.308738629473,0.0
802120,45376000,96108,Москва,10,3349540.63,3349540.63,21.12.2017,Ремонт фасада,803.0,"5801,32950",4171.283474470734,0.0
1035587,45383000,100862,Москва,10,4970549.17,4970549.17,,Ремонт фасада,1195.0,"0,00000",4159.455372384938,0.0
1119353,45382000,96307,Москва,10,3706685.34,3706685.34,16.11.2017,Ремонт фасада,957.0,"5817,04797",3873.234420062696,0.0
895983,45917000,107080,Москва,10,10507385.57,10507385.57,30.11.2016,Ремонт фасада,2724.0,"10507,38557",3857.3368465491926,0.0
647501,45375000,96298,Москва,10,7937731.4,7937731.4,31.05.2018,Ремонт фасада,2088.0,"13878,32766",3801.595498084291,0.0
1032582,45383000,96222,Москва,10,4062824.45,4062824.45,27.10.2017,Ремонт фасада,1089.0,"9128,86510",3730.7846189164375,0.0
679475,45914000,102890,Москва,10,9326328.46,9326328.46,30.11.2016,Ремонт фасада,2514.0,"9326,32846",3709.756746221162,0.0
1118614,45382000,95195,Москва,10,9960119.88,9960119.88,02.08.2018,Ремонт фасада,2696.0,"14632,83580",3694.4064836795255,0.0
732169,45380000,97333,Москва,10,46594031.78,46594031.78,,Ремонт фасада,12795.0,"2247,00367",3641.581225478703,0.0
943816,45393000,101009,Москва,10,834617.65,834617.65,,Ремонт фасада,232.0,"154,07693",3597.489870689655,0.0
687110,45378000,116039,Москва,10,3666046.14,3666046.14,01.11.2017,Ремонт фасада,1033.0,"4604,59328",3548.9314036786063,0.0
1029692,45383000,94639,Москва,10,1576230.23,1576230.23,,Ремонт фасада,445.0,"201,38299",3542.090404494382,0.0
1105769,45381000,95904,Москва,10,11368668.05,11368668.05,,Ремонт фасада,3237.0,"5141,04435",3512.1001081248073,0.0
650287,45375000,95792,Москва,10,2231092.03,2231092.03,,Ремонт фасада,636.0,"796,23347",3508.006336477987,0.0
938838,45312000,120496,Москва,10,13203201.66,13203201.66,01.11.2017,Ремонт фасада,3841.0,"13203,20166",3437.438599323093,0.0
687602,45378000,107417,Москва,10,6280107.48,6280107.48,,Ремонт фасада,1829.0,"0,00000",3433.6290213231277,0.0
1119067,45382000,97167,Москва,10,12599978.14,12599978.14,09.01.2018,Ремонт фасада,3681.0,"18946,27013",3422.976946481934,0.0
680072,45914000,112606,Москва,10,17098504.87,17098504.87,05.04.2018,Ремонт фасада,5033.0,"20232,94719",3397.2789330419237,0.0
1114736,45382000,94873,Москва,10,4428732.8,4428732.8,13.10.2017,Ремонт фасада,1306.0,"7564,72349",3391.0664624808574,0.0
686362,45915000,102954,Москва,10,3267245.1,3267245.1,,Ремонт фасада,966.0,"0,00000",3382.2413043478264,0.0
730671,45380000,117745,Москва,10,10411294.0,10411294.0,,Ремонт фасада,3148.0,"6222,40545",3307.2725540025413,0.0
835040,45341000,104602,Москва,10,14882089.22,14882089.22,,Ремонт фасада,4511.0,"0,00000",3299.0665528707605,0.0
688729,45378000,98130,Москва,10,18801657.7,18801657.7,,Ремонт фасада,5731.0,"0,00000",3280.6940673529925,0.0
