,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5361376,58629000,601400061,Псковская область,10,40830.0,956854.68,29.11.2018,Ремонт фасада,137.6,"1748,79000",6953.885755813954,2243.5088905216753
5338631,58701000,600100557,Псковская область,10,103097.8,2613846.0,19.09.2018,Ремонт фасада,640.8,"5728,29000",4079.035580524345,2435.3072519491197
5344780,58701000,600101037,Псковская область,10,283252.5,4028398.0,09.10.2018,Ремонт фасада,1074.4,"8316,84000",3749.4396872673115,1322.1932727866479
5379947,58653000,602300023,Псковская область,10,119231.46,1039880.9,,Ремонт фасада,332.9,"44,79000",3123.7035145689397,772.1531213322389
5362184,58629000,601400139,Псковская область,10,1384925.3,1383027.01,24.08.2017,Ремонт фасада,456.4,"3454,35000",3030.295815074496,-0.137068042586852
5342707,58701000,600100841,Псковская область,10,136960.4,2325160.0,07.09.2018,Ремонт фасада,776.6,"7880,24000",2994.025238217873,1597.6877988089989
5340166,58701000,600100646,Псковская область,10,71811.08,588603.0,18.10.2018,Ремонт фасада,200.5,"682,68000",2935.6758104738155,719.654849920096
5361925,58629000,601400114,Псковская область,10,75948.9,827295.86,19.04.2019,Ремонт фасада,293.8,"2186,27000",2815.847038801906,989.2795814027589
5331311,58701000,600100153,Псковская область,10,116054.3,1253003.0,28.12.2018,Ремонт фасада,453.0,"2378,71000",2766.011037527594,979.669602935867
5326697,58701000,600100798,Псковская область,10,1675794.82,12893427.0,,Ремонт фасада,4678.9,"10037,28000",2755.653465558144,669.3917445096291
5335487,58701000,600100388,Псковская область,10,136639.7,1985169.65,01.10.2018,Ремонт фасада,756.6,"2050,27000",2623.803396775046,1352.8498306129184
5379356,58651000,602200075,Псковская область,10,48888.84,337045.3,25.08.2017,Ремонт фасада,136.5,"1030,97000",2469.196336996337,589.4115303206212
5379809,58653000,602300011,Псковская область,10,94446.79,645080.04,,Ремонт фасада,263.7,"43,25000",2446.2648464163826,583.0089619774268
5340119,58701000,600100644,Псковская область,10,247196.0,1549397.0,24.12.2018,Ремонт фасада,676.4,"4397,84000",2290.651981076286,526.7888638974741
5352185,58612000,600700050,Псковская область,10,791902.0,791902.03,13.07.2016,Ремонт фасада,352.5,"2361,53000",2246.5305815602837,3.788347546773707e-06
5327593,58701000,600100903,Псковская область,10,967139.45,5910612.0,04.10.2018,Ремонт фасада,2700.3,"5021,20000",2188.872347516942,511.14371872639464
5374786,58649000,602000126,Псковская область,10,762630.09,4604740.72,30.07.2019,Ремонт фасада,2129.3,"11002,14000",2162.5608040201,503.7974085181978
5335542,58701000,600100392,Псковская область,10,107445.0,1315073.0,09.10.2018,Ремонт фасада,625.2,"1865,91000",2103.4436980166347,1123.949927870073
5342589,58701000,600100834,Псковская область,10,138464.66,791944.0,24.10.2018,Ремонт фасада,386.6,"599,49000",2048.4842214174855,471.9466613358239
5351993,58612000,600700036,Псковская область,10,149281.09,851641.99,,Ремонт фасада,416.8,"67,34000",2043.286924184261,470.49555975241077
5352096,58612000,600700043,Псковская область,10,148564.77,844909.03,,Ремонт фасада,414.8,"47,10000",2036.9070154291226,468.714258434217
5351970,58612000,600700034,Псковская область,10,151179.34,857781.54,,Ремонт фасада,422.1,"67,48000",2032.176119402985,467.39336208241156
5344736,58701000,600101034,Псковская область,10,586200.47,3305587.04,21.11.2018,Ремонт фасада,1636.7,"7082,06000",2019.6658153601759,463.9004417720784
5369828,58640000,601700080,Псковская область,10,103973.85,585495.81,,Ремонт фасада,290.3,"1213,35000",2016.8646572511198,463.118332157557
5374712,58649000,602000062,Псковская область,10,100105.72,548658.65,01.09.2017,Ремонт фасада,279.5,"1598,81000",1963.0005366726298,448.07922064793104
5339944,58701000,600100632,Псковская область,10,297845.86,1574878.04,,Ремонт фасада,831.6,"566,63000",1893.792736892737,428.75606194425535
5335328,58701000,600100378,Псковская область,10,201035.21,1048707.48,28.05.2019,Ремонт фасада,561.3,"775,12000",1868.3546766435063,421.6536347040899
5345037,58701000,600101050,Псковская область,10,67765.0,416310.42,14.10.2017,Ремонт фасада,224.1,"652,21000",1857.699330655957,514.3443075333873
5328835,58701000,600100005,Псковская область,10,194767.41,1006124.26,21.12.2018,Ремонт фасада,543.8,"2411,86000",1850.1733357852154,416.57731650279686
5342547,58701000,600100831,Псковская область,10,93623.02,473404.02,02.10.2017,Ремонт фасада,261.4,"1450,05000",1811.032976281561,405.64916619865494
5359298,58626000,601300029,Псковская область,10,690277.0,690277.0,12.10.2016,Ремонт фасада,395.9,"927,41000",1743.5640313210408,0.0
5326597,58701000,600100793,Псковская область,10,733660.7,4149277.0,19.10.2018,Ремонт фасада,2388.5,"14055,35000",1737.1894494452586,465.5580297540812
5361716,58629000,601400094,Псковская область,10,71132.8,619902.91,,Ремонт фасада,364.3,"1665,37000",1701.6275322536371,771.4726680237527
5369821,58640000,601700075,Псковская область,10,235646.2,266687.15,16.01.2018,Ремонт фасада,157.7,"574,08000",1691.1043119847816,13.172692791141971
5338868,58701000,600100573,Псковская область,10,165828.08,780337.65,13.09.2018,Ремонт фасада,463.0,"2400,69000",1685.3944924406048,370.5702737437472
5330254,58701000,600100089,Псковская область,10,483086.21,2211341.17,,Ремонт фасада,1348.8,"160,02000",1639.487818801898,357.75290708463814
5338893,58701000,600100574,Псковская область,10,161458.53,732140.82,13.09.2018,Ремонт фасада,450.8,"2039,89000",1624.0923247559892,353.4544071471479
5331264,58701000,600100151,Псковская область,10,189932.25,852983.99,20.12.2017,Ремонт фасада,530.3,"2996,73000",1608.493286818782,349.09908138296686
5367621,58637000,601600043,Псковская область,10,97240.44,431489.99,,Ремонт фасада,271.5,"47,29000",1589.2817311233885,343.73512707264587
5352752,58612000,600700113,Псковская область,10,166544.4,737630.51,,Ремонт фасада,465.0,"68,61000",1586.3021720430108,342.9032198020468
5321423,58710000,600200283,Псковская область,10,571050.3,2496990.71,,Ремонт фасада,1594.4,"110,99000",1566.1005456598093,337.26283131275824
5354846,58618000,601000022,Псковская область,10,448810.3,1952318.4,,Ремонт фасада,1253.1,"402,33000",1557.990902561647,334.9985728937147
5331930,58701000,600100195,Псковская область,10,130549.32,567573.83,14.08.2017,Ремонт фасада,364.5,"1863,97000",1557.1298491083676,334.7581664921732
5331940,58701000,600100196,Псковская область,10,130585.14,567573.83,14.08.2017,Ремонт фасада,364.6,"1860,79000",1556.7027701590782,334.63891067544125
5338846,58701000,600100572,Псковская область,10,168872.44,732140.82,13.09.2018,Ремонт фасада,471.5,"2156,11000",1552.7907104984092,333.54665805740706
5327091,58701000,600100818,Псковская область,10,672266.32,2893752.0,14.12.2018,Ремонт фасада,1877.0,"3659,54000",1541.6899307405433,330.44726679152984
