,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6404186,85650000,8120111,Республика Калмыкия,23,1784037.0,1784037.0,,Ремонт фасада,273.5,,6522.9872029250455,0.0
6396477,85615000,804012,Республика Калмыкия,23,2184856.0,2184856.0,27.12.2018,Ремонт фасада,411.6,,5308.202137998056,0.0
6402285,85701000,81401324,Республика Калмыкия,23,3902615.0,3902615.0,,Ремонт фасада,771.42,,5059.001581499054,0.0
6403508,85701000,81401409,Республика Калмыкия,23,3814476.0,3814476.0,,Ремонт фасада,767.14,,4972.333602732227,0.0
6395969,85605000,8010186,Республика Калмыкия,23,3663003.0,3663003.0,14.12.2018,Ремонт фасада,782.51,,4681.094171320495,0.0
6396790,85615000,8040161,Республика Калмыкия,23,1752063.0,1752063.0,29.12.2018,Ремонт фасада,395.54,,4429.546948475501,0.0
6396993,85620000,8050127,Республика Калмыкия,23,1102059.49,1083919.0,28.06.2016,Ремонт фасада,266.35,"1153,14000",4069.5288154683685,0.01646053608231257
6397478,85637000,809011,Республика Калмыкия,23,1826025.0,1826025.0,22.07.2019,Ремонт фасада,478.52,,3815.9847028337376,0.0
6404155,85650000,812015,Республика Калмыкия,23,1060557.0,1060557.0,06.10.2015,Ремонт фасада,289.43,"1128,05000",3664.2953391148117,0.0
6404184,85650000,8120110,Республика Калмыкия,23,1013324.0,1013324.0,09.09.2015,Ремонт фасада,277.6,"1078,26000",3650.302593659942,0.0
6404129,85650000,812011,Республика Калмыкия,23,1286965.64,1266405.0,17.08.2016,Ремонт фасада,365.65,"1340,65000",3463.4349788048685,0.015976059780430422
6398011,85642000,8100116,Республика Калмыкия,23,2373098.0,2373098.0,09.10.2018,Ремонт фасада,713.28,,3327.0216464782416,0.0
6404290,85650000,8120127,Республика Калмыкия,23,2643152.0,2643152.0,15.10.2017,Ремонт фасада,863.1,,3062.3936971382227,0.0
6396960,85620000,8050123,Республика Калмыкия,23,1798646.04,1775150.0,28.06.2016,Ремонт фасада,593.35,"1882,13000",2991.741805005477,0.013063181680815886
6397982,85642000,8100111,Республика Калмыкия,23,1082411.0,1082411.0,09.10.2018,Ремонт фасада,365.39,,2962.3443443991355,0.0
6404202,85650000,8120112,Республика Калмыкия,23,2551672.0,2551672.0,20.10.2017,Ремонт фасада,862.2,,2959.4896775690095,0.0
6402172,85701000,81401315,Республика Калмыкия,23,2606034.0,2606034.0,25.06.2015,Ремонт фасада,901.61,"2726,01000",2890.4226883020374,0.0
6404323,85650000,8120132,Республика Калмыкия,23,3912000.0,3912000.0,01.12.2017,Ремонт фасада,1368.82,,2857.9360324951417,0.0
6404243,85650000,8120119,Республика Калмыкия,23,3309061.0,3309061.0,15.10.2017,Ремонт фасада,1158.24,,2856.9735115347426,0.0
6404313,85650000,8120130,Республика Калмыкия,23,3260989.0,3260989.0,15.10.2017,Ремонт фасада,1142.5,,2854.257330415755,0.0
6396246,85610000,8020134,Республика Калмыкия,23,2035337.0,2025337.0,22.05.2015,Ремонт фасада,718.08,"2123,48000",2820.489360516934,0.0049131912798715885
6396184,85610000,8020126,Республика Калмыкия,23,2353309.0,2353309.0,21.06.2017,Ремонт фасада,835.5,,2816.647516457211,0.0
6403242,85701000,81401390,Республика Калмыкия,23,3883450.0,3883450.0,19.10.2016,Ремонт фасада,1445.97,"4152,64000",2685.7057891934132,0.0
6403107,85701000,81401382,Республика Калмыкия,23,4233851.0,4233851.0,31.10.2017,Ремонт фасада,1615.1,,2621.4172497059008,0.0
6402016,85701000,81401305,Республика Калмыкия,23,3501489.0,3501489.0,11.10.2016,Ремонт фасада,1432.64,"3753,96000",2444.0815557292826,0.0
6396610,85615000,8040128,Республика Калмыкия,23,2702700.0,2702700.0,14.10.2016,Ремонт фасада,1121.42,"2949,82000",2410.069376326443,0.0
6399519,85701000,81401109,Республика Калмыкия,23,7017150.0,7017150.0,,Ремонт фасада,2943.68,,2383.801907816067,0.0
6403753,85701000,81401424,Республика Калмыкия,23,4743194.0,4743194.0,31.10.2017,Ремонт фасада,2181.8,,2173.9820331836095,0.0
6400028,85701000,81401148,Республика Калмыкия,23,6924459.75,6924459.75,25.12.2018,Ремонт фасада,3193.25,,2168.467783606044,0.0
6399446,85701000,81401103,Республика Калмыкия,23,6310142.0,6310142.0,,Ремонт фасада,2917.63,,2162.7629274445353,0.0
6402793,85701000,81401359,Республика Калмыкия,23,6566366.0,6566366.0,15.10.2018,Ремонт фасада,3036.46,,2162.5069982808927,0.0
6403809,85701000,81401429,Республика Калмыкия,23,5587704.0,5587704.0,,Ремонт фасада,2695.12,,2073.267238564517,0.0
6403117,85701000,81401383,Республика Калмыкия,23,5550914.0,5550914.0,,Ремонт фасада,2684.76,,2067.564326047766,0.0
6403365,85701000,81401399,Республика Калмыкия,23,5865085.0,5865085.0,31.10.2017,Ремонт фасада,2857.63,,2052.4298107172726,0.0
6403029,85701000,81401375,Республика Калмыкия,23,7657916.0,7657916.0,08.11.2018,Ремонт фасада,3800.09,,2015.1933243686333,0.0
6403008,85701000,81401374,Республика Калмыкия,23,7657910.0,7657910.0,29.12.2018,Ремонт фасада,3812.0,,2008.895592864638,0.0
6398316,85701000,814014,Республика Калмыкия,23,5660879.0,5660879.0,31.10.2017,Ремонт фасада,2846.37,,1988.8064446997405,0.0
6396711,85615000,8040148,Республика Калмыкия,23,7526017.0,7526017.0,30.10.2017,Ремонт фасада,3841.6,,1959.0839754269055,0.0
6399968,85701000,81401143,Республика Калмыкия,23,8010291.0,8010291.0,,Ремонт фасада,4116.79,,1945.7613820476633,0.0
6399877,85701000,81401136,Республика Калмыкия,23,8011032.0,8011032.0,,Ремонт фасада,4147.71,,1931.4349363865845,0.0
6399859,85701000,81401135,Республика Калмыкия,23,8011402.0,8011402.0,,Ремонт фасада,4154.97,,1928.1491803791603,0.0
6400088,85701000,81401152,Республика Калмыкия,23,8009550.0,8009550.0,,Ремонт фасада,4171.89,,1919.8852318733234,0.0
6400066,85701000,81401151,Республика Калмыкия,23,8014247.0,8014247.0,08.07.2019,Ремонт фасада,4175.95,,1919.1434284414327,0.0
6399743,85701000,81401126,Республика Калмыкия,23,8009929.0,8009929.0,,Ремонт фасада,4177.76,,1917.2783979931828,0.0
6399782,85701000,81401129,Республика Калмыкия,23,8010372.0,8010372.0,,Ремонт фасада,4186.89,,1913.203356190394,0.0
6399595,85701000,81401115,Республика Калмыкия,23,7644560.0,7644560.0,14.12.2018,Ремонт фасада,4126.67,,1852.4766942837687,0.0
6399639,85701000,81401118,Республика Калмыкия,23,7644184.0,7644184.0,25.12.2018,Ремонт фасада,4144.06,,1844.612288432117,0.0
6399716,85701000,81401124,Республика Калмыкия,23,7652570.0,7652570.0,20.12.2018,Ремонт фасада,4153.14,,1842.598612134433,0.0
6399625,85701000,81401116,Республика Калмыкия,23,7644560.0,7644560.0,20.12.2018,Ремонт фасада,4151.49,,1841.4015208997253,0.0
6399637,85701000,81401117,Республика Калмыкия,23,7644184.0,7644184.0,14.12.2018,Ремонт фасада,4155.27,,1839.6359322017581,0.0
6399551,85701000,81401111,Республика Калмыкия,23,7643807.0,7643807.0,14.12.2018,Ремонт фасада,4155.45,,1839.4655211830247,0.0
6399565,85701000,81401112,Республика Калмыкия,23,7643807.0,7643807.0,26.12.2018,Ремонт фасада,4155.87,,1839.2796213548547,0.0
6399715,85701000,81401123,Республика Калмыкия,23,9421166.0,9421166.0,,Ремонт фасада,5131.19,,1836.0586920382993,0.0
6399578,85701000,81401114,Республика Калмыкия,23,7644184.0,7644184.0,31.12.2018,Ремонт фасада,4166.21,,1834.8052546559102,0.0
6398541,85701000,8140122,Республика Калмыкия,23,3984414.0,3984000.0,16.06.2015,Ремонт фасада,2173.66,"4158,68000",1832.8533441292568,0.00010390486530767134
6399347,85701000,8140195,Республика Калмыкия,23,6548344.0,6548344.0,09.10.2018,Ремонт фасада,3592.43,,1822.8174244174556,0.0
6402592,85701000,81401345,Республика Калмыкия,23,7166035.0,7166035.0,,Ремонт фасада,3933.27,,1821.9026408052332,0.0
6399763,85701000,81401127,Республика Калмыкия,23,8007139.0,8007139.0,29.12.2018,Ремонт фасада,4447.27,,1800.4616315177625,0.0
6396693,85615000,8040147,Республика Калмыкия,23,2368582.0,2368582.0,30.10.2017,Ремонт фасада,1319.0,,1795.740712661107,0.0
6398560,85701000,8140123,Республика Калмыкия,23,6571716.0,6571716.0,,Ремонт фасада,3721.47,,1765.8925102177366,0.0
6398676,85701000,8140133,Республика Калмыкия,23,4534313.0,4534313.0,16.09.2015,Ремонт фасада,2605.47,"4776,66000",1740.3052040514765,0.0
6398520,85701000,8140120,Республика Калмыкия,23,5604809.0,5604809.0,31.10.2017,Ремонт фасада,3220.9,,1740.1375391971187,0.0
6398420,85701000,8140112,Республика Калмыкия,23,4463174.0,4463174.0,10.09.2015,Ремонт фасада,2627.69,"4700,86000",1698.5161872214758,0.0
6403005,85701000,81401373,Республика Калмыкия,23,7053519.0,7053519.0,31.10.2017,Ремонт фасада,4163.06,,1694.3111557364052,0.0
6396734,85615000,8040151,Республика Калмыкия,23,2295878.0,2295878.0,30.10.2017,Ремонт фасада,1363.4,,1683.9357488631363,0.0
6401551,85701000,81401270,Республика Калмыкия,23,6791770.0,6791770.0,31.10.2017,Ремонт фасада,4113.9,,1650.9322054498166,0.0
6398890,85701000,8140160,Республика Калмыкия,23,6781206.0,6781206.0,31.10.2017,Ремонт фасада,4140.25,,1637.8735583600023,0.0
6401993,85701000,81401303,Республика Калмыкия,23,4537884.96,4434999.0,26.08.2016,Ремонт фасада,2742.61,"4744,95000",1617.0724237131783,0.02267266819386271
6398330,85701000,814015,Республика Калмыкия,23,5037306.03,4973907.0,05.08.2016,Ремонт фасада,3133.07,"5256,47000",1587.5505494610716,0.012585900007349812
