,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5085458,86609000,200093,Республика Карелия,10,386404.1,771879.0,08.11.2016,Ремонт фасада,187.1,"889,37000",4125.489043292358,99.75952636113334
5130789,86701000,1802047,Республика Карелия,10,246909.19,1124544.0,09.08.2016,Ремонт фасада,287.4,"1176,19000",3912.818371607516,355.448418100598
5102226,86624000,700359,Республика Карелия,10,320000.0,1501610.0,08.12.2016,Ремонт фасада,405.3,"1696,39000",3704.93461633358,369.253125
5099816,86624000,700096,Республика Карелия,10,980864.28,1378491.0,08.12.2016,Ремонт фасада,396.8,"2024,92000",3474.0196572580644,40.538403539376525
5133331,86701000,1802271,Республика Карелия,10,850555.49,851919.29,01.08.2016,Ремонт фасада,258.46,"1002,90000",3296.135920451908,0.1603422723190029
5142531,86642000,1300147,Республика Карелия,10,337930.0,518713.0,11.12.2017,Ремонт фасада,160.3,"684,99000",3235.8889582033685,53.497173970940736
5114771,86701000,1800625,Республика Карелия,10,504437.69,1289472.0,03.10.2016,Ремонт фасада,398.5,"1764,18000",3235.814303638645,155.62562543651327
5129016,86701000,1801913,Республика Карелия,10,235205.37,1670745.56,25.11.2016,Ремонт фасада,530.82,"2340,57000",3147.480426509928,610.334785298482
5098960,86624000,700031,Республика Карелия,10,776440.0,1038702.0,28.05.2018,Ремонт фасада,340.0,"1896,99000",3055.005882352941,33.777497295348
5147652,86645000,1400403,Республика Карелия,10,1175356.78,1743887.0,03.10.2016,Ремонт фасада,573.2,"2360,02000",3042.3709002093506,48.37086318590003
5102954,86624000,700438,Республика Карелия,10,582565.0,782748.07,28.05.2018,Ремонт фасада,257.9,"1383,77000",3035.083637068631,34.36235784848043
5122912,86701000,1801367,Республика Карелия,10,451891.01,1557755.0,03.10.2016,Ремонт фасада,515.0,"2174,45000",3024.766990291262,244.71918350400466
5099160,86624000,700046,Республика Карелия,10,207376.51,1426205.0,08.12.2016,Ремонт фасада,476.3,"2185,10000",2994.3418013856813,587.7370055075186
5139420,86636000,1100257,Республика Карелия,10,916180.18,977591.0,,Ремонт фасада,332.0,"64,01000",2944.5512048192772,6.702919506510163
5136053,86633000,1000193,Республика Карелия,10,182538.18,1174781.0,,Ремонт фасада,411.4,"69,68000",2855.568789499271,543.5809757717536
5135018,86633000,1000089,Республика Карелия,10,420508.45,920444.0,22.08.2016,Ремонт фасада,327.5,"1428,60000",2810.516030534351,118.88834814139884
5128874,86701000,1801903,Республика Карелия,10,847872.0,1586503.87,25.01.2018,Ремонт фасада,568.2,"2635,35000",2792.157462161211,87.1159644380284
5105059,86630000,900030,Республика Карелия,10,740104.64,1116824.0,20.07.2016,Ремонт фасада,402.0,"1920,73000",2778.169154228856,50.900823969972684
5102430,86624000,700377,Республика Карелия,10,320000.0,994312.0,08.12.2016,Ремонт фасада,363.51,"1612,03000",2735.3085197105993,210.72250000000003
5114742,86701000,1800622,Республика Карелия,10,507442.39,1128845.0,15.01.2017,Ремонт фасада,415.9,"1601,45000",2714.222168790575,122.45776510708927
5114791,86701000,1800627,Республика Карелия,10,501432.99,1067991.0,03.10.2016,Ремонт фасада,397.9,"1872,83000",2684.068861522996,112.98778127861114
5115163,86701000,1800658,Республика Карелия,10,464925.88,1001455.63,09.01.2017,Ремонт фасада,373.2,"53,88000",2683.4288049303323,115.40113662848795
5085022,86609000,200034,Республика Карелия,10,147618.99,970095.0,14.11.2016,Ремонт фасада,361.7,"1597,98000",2682.0431296654688,557.161385537186
5098909,86624000,700013,Республика Карелия,10,565648.22,838943.0,08.08.2016,Ремонт фасада,324.3,"1401,06000",2586.9349367869254,48.31532573372193
5115656,86701000,1800698,Республика Карелия,10,184522.51,1040806.0,04.08.2016,Ремонт фасада,406.32,"1115,72000",2561.5426265012798,464.0536756193051
5135035,86633000,1000092,Республика Карелия,10,754854.48,846362.0,16.11.2016,Ремонт фасада,331.2,"1581,08000",2555.440821256039,12.122537843320469
5114428,86701000,1800590,Республика Карелия,10,334366.9,678655.0,23.12.2016,Ремонт фасада,267.0,"1177,24000",2541.7790262172284,102.96715972783188
5125604,86701000,1801602,Республика Карелия,10,178367.4,1096026.0,10.05.2017,Ремонт фасада,436.8,"1876,18000",2509.217032967033,514.4766364257146
5099668,86624000,700121,Республика Карелия,10,188883.09,1124175.0,08.12.2016,Ремонт фасада,451.8,"2037,69000",2488.213811420983,495.1697422993239
5114738,86701000,1800620,Республика Карелия,10,508794.5,1003596.14,31.10.2016,Ремонт фасада,404.5,"1718,58000",2481.0782200247218,97.24980124588612
5102579,86624000,700394,Республика Карелия,10,746878.25,873480.0,16.11.2016,Ремонт фасада,352.4,"1483,51000",2478.660612939841,16.950788163934362
5102552,86624000,700390,Республика Карелия,10,320000.0,854773.0,31.10.2016,Ремонт фасада,345.4,"1556,98000",2474.7336421540244,167.1165625
5135014,86633000,1000087,Республика Карелия,10,741217.7,802686.0,23.11.2016,Ремонт фасада,325.0,"1537,92000",2469.803076923077,8.292880755545905
5150503,86610000,1500184,Республика Карелия,10,479165.0,497445.52,10.04.2019,Ремонт фасада,203.9,"685,26000",2439.654340362923,3.815078313315867
5102543,86624000,700389,Республика Карелия,10,780326.96,864969.0,16.11.2016,Ремонт фасада,355.0,"1585,54000",2436.532394366197,10.846996751207993
5128848,86701000,1801901,Республика Карелия,10,263779.65,1448648.0,10.11.2018,Ремонт фасада,594.8,"1897,13000",2435.521183591123,449.1886883616685
5086746,86612000,300121,Республика Карелия,10,1084697.1,1501715.0,,Ремонт фасада,617.0,"44,91000",2433.897893030794,38.44556236022019
5102559,86624000,700391,Республика Карелия,10,320000.0,854487.0,31.10.2016,Ремонт фасада,352.0,"1489,51000",2427.5198863636365,167.0271875
5102571,86624000,700393,Республика Карелия,10,320000.0,857763.0,16.11.2016,Ремонт фасада,354.6,"1482,12000",2418.959390862944,168.05093750000003
5102566,86624000,700392,Республика Карелия,10,320000.0,921887.0,16.11.2016,Ремонт фасада,382.2,"1555,13000",2412.05389848247,188.0896875
5135041,86633000,1000095,Республика Карелия,10,708283.59,751429.0,,Ремонт фасада,312.2,"67,30000",2406.883408071749,6.091544489969047
5126845,86701000,1801715,Республика Карелия,10,637516.8,1028983.36,,Ремонт фасада,428.7,"78,66000",2400.2411010030323,61.404901015941846
5085042,86609000,200036,Республика Карелия,10,758580.0,804323.0,17.11.2017,Ремонт фасада,335.8,"1446,64000",2395.244192972007,6.030082522608038
5104682,86627000,800175,Республика Карелия,10,878879.24,1127158.0,30.10.2016,Ремонт фасада,472.2,"2104,03000",2387.0351545955104,28.249473727471376
5114445,86701000,1800571,Республика Карелия,10,403200.0,619435.12,25.07.2017,Ремонт фасада,259.5,"1108,39000",2387.0332177263967,53.62974206349207
5135107,86633000,1000085,Республика Карелия,10,652690.26,755337.0,26.12.2016,Ремонт фасада,317.3,"1512,73000",2380.5137094232587,15.726715456118502
5120127,86701000,1801108,Республика Карелия,10,679045.07,904279.0,23.12.2016,Ремонт фасада,382.0,"306,66000",2367.222513089005,33.16921658823031
5122637,86701000,1801336,Республика Карелия,10,170114.58,906646.0,15.01.2017,Ремонт фасада,383.4,"843,61000",2364.752217005738,432.9619601094745
5090162,86615000,400182,Республика Карелия,10,210047.58,1194679.0,,Ремонт фасада,512.8,"39,92000",2329.7172386895477,468.7658958032271
5135093,86633000,1000084,Республика Карелия,10,669934.57,757579.0,26.12.2016,Ремонт фасада,325.3,"1486,67000",2328.862588379957,13.082535806444518
5139426,86636000,1100259,Республика Карелия,10,989252.74,970753.0,,Ремонт фасада,421.4,"69,83000",2303.637873754153,-1.8700721516323515
5096452,86618000,500188,Республика Карелия,10,849466.0,1207189.9,12.10.2017,Ремонт фасада,525.3,"2224,17000",2298.0961355415952,42.11162071230632
5084469,86604000,100281,Республика Карелия,10,958707.05,836224.0,26.10.2016,Ремонт фасада,364.1,"1555,97000",2296.6877231529797,-12.775857859812344
5125886,86701000,1801620,Республика Карелия,10,912614.4,981788.85,,Ремонт фасада,429.0,"49,10000",2288.552097902098,7.57981136392325
5084785,86609000,200020,Республика Карелия,10,779965.0,785045.0,07.06.2018,Ремонт фасада,343.9,"1597,33000",2282.7711544053504,0.651311276788058
5153562,86650000,1600013,Республика Карелия,10,1135755.0,1191892.1,,Ремонт фасада,523.9,"91,39000",2275.037411719794,4.94271211660966
5090176,86615000,400184,Республика Карелия,10,206187.39,1143829.0,,Ремонт фасада,504.7,"35,87000",2266.354269863285,454.7521601587759
5109062,86701000,1800124,Республика Карелия,10,357222.87,2834770.0,26.12.2016,Ремонт фасада,1254.3,"3139,70000",2260.04145738659,693.5578144814748
5128369,86701000,1801853,Республика Карелия,10,1007959.62,1443430.4,25.11.2016,Ремонт фасада,645.0,"2929,49000",2237.8765891472867,43.2031969693389
5096885,86621000,600059,Республика Карелия,10,1142602.2,1075263.0,12.09.2016,Ремонт фасада,481.0,"2295,27000",2235.4740124740124,-5.893494691328261
5089247,86615000,400105,Республика Карелия,10,422209.34,1163561.0,29.12.2016,Ремонт фасада,520.8,"2212,09000",2234.180107526882,175.58864519671684
5126769,86701000,1801704,Республика Карелия,10,633139.2,954515.97,,Ремонт фасада,429.4,"66,44000",2222.906311131812,50.75925957514558
5144242,86645000,1400105,Республика Карелия,10,1152440.0,1179795.68,01.12.2017,Ремонт фасада,531.0,"2174,62000",2221.837438794727,2.3737183714553467
5148650,86610000,1500003,Республика Карелия,10,786351.95,875589.0,,Ремонт фасада,395.6,"79,11000",2213.319009100101,11.348232811020576
5121528,86701000,1801231,Республика Карелия,10,174817.8,868100.0,28.02.2017,Ремонт фасада,393.8,"1825,49000",2204.4184865413913,396.5741474838375
5110811,86701000,1800277,Республика Карелия,10,668956.77,1133010.0,04.04.2017,Ремонт фасада,517.4,"2322,47000",2189.814456899884,69.36968886644199
5086503,86612000,300097,Республика Карелия,10,415914.06,888703.0,03.08.2016,Ремонт фасада,406.04,"1868,43000",2188.708009063146,113.67467115682506
5106852,86630000,900173,Республика Карелия,10,169493.4,853148.0,31.10.2016,Ремонт фасада,391.5,"1767,69000",2179.177522349936,403.3517529296126
5088675,86615000,400037,Республика Карелия,10,223580.43,1304601.0,,Ремонт фасада,604.9,"37,39000",2156.721772193751,483.5041108025421
5089081,86615000,400077,Республика Карелия,10,1017070.9,1161624.0,29.12.2016,Ремонт фасада,541.4,"2210,51000",2145.592907277429,14.212686647509031
5089170,86615000,400078,Республика Карелия,10,1080192.71,1212537.0,29.12.2016,Ремонт фасада,567.9,"2330,19000",2135.124141574221,12.25191475324805
5084802,86609000,200022,Республика Карелия,10,779965.0,731842.0,07.06.2018,Ремонт фасада,343.0,"1644,82000",2133.650145772595,-6.169892238754304
5124723,86701000,1801529,Республика Карелия,10,261783.0,1232847.22,31.10.2016,Ремонт фасада,585.4,"2446,26000",2105.9911513495044,370.9424294167307
5135032,86633000,1000091,Республика Карелия,10,764631.8,697997.0,16.11.2016,Ремонт фасада,334.1,"1589,46000",2089.1858724932654,-8.714625784593322
5130674,86701000,1802030,Республика Карелия,10,887040.0,947963.03,13.11.2017,Ремонт фасада,454.68,"1883,53000",2084.901535145597,6.8681265782828405
5128406,86701000,1801846,Республика Карелия,10,941644.8,1352281.22,30.10.2017,Ремонт фасада,649.3,"2968,39000",2082.6755274911443,43.608420075170585
5096296,86618000,500169,Республика Карелия,10,1578475.54,1227784.0,12.10.2016,Ремонт фасада,590.0,"2445,29000",2080.9898305084744,-22.217103218463564
5152097,86610000,1500352,Республика Карелия,10,173442.33,908061.0,26.12.2016,Ремонт фасада,437.1,"1711,70000",2077.4673987645847,423.5521224835945
5143109,86642000,1300211,Республика Карелия,10,600000.0,1100022.0,,Ремонт фасада,532.2,"80,02000",2066.933483652762,83.33699999999999
5139436,86636000,1100258,Республика Карелия,10,1008807.37,926892.0,,Ремонт фасада,448.9,"69,50000",2064.807306749833,-8.120020970901509
5142963,86642000,1300189,Республика Карелия,10,400000.0,1099136.0,,Ремонт фасада,532.5,"80,02000",2064.1051643192486,174.784
5096392,86618000,500181,Республика Карелия,10,1719025.0,1717734.65,08.06.2018,Ремонт фасада,836.6,"3396,50000",2053.232907004542,-0.07506289902706742
5143136,86642000,1300216,Республика Карелия,10,600000.0,1112071.0,,Ремонт фасада,547.1,"78,31000",2032.6649607018826,85.34516666666667
5125850,86701000,1801622,Республика Карелия,10,655329.25,1022926.0,13.10.2016,Ремонт фасада,504.6,"1782,39000",2027.2017439556082,56.093444631076665
5149548,86610000,1500085,Республика Карелия,10,226525.56,187729.0,07.12.2016,Ремонт фасада,93.2,"548,30000",2014.2596566523605,-17.12679134310494
5084363,86604000,100272,Республика Карелия,10,320000.0,770551.0,29.11.2016,Ремонт фасада,383.0,"1622,02000",2011.8825065274152,140.79718749999998
5084372,86604000,100273,Республика Карелия,10,320000.0,759743.0,29.11.2016,Ремонт фасада,380.1,"1572,75000",1998.797684819784,137.4196875
5143152,86642000,1300219,Республика Карелия,10,600000.0,1100022.0,,Ремонт фасада,553.5,"56,32000",1987.3929539295393,83.33699999999999
5084623,86604000,100302,Республика Карелия,10,1083350.0,974418.58,03.08.2017,Ремонт фасада,495.2,"1903,31000",1967.7273424878836,-10.055053306872209
5143077,86642000,1300199,Республика Карелия,10,320000.0,709126.0,,Ремонт фасада,363.7,"61,14000",1949.755292823756,121.60187499999999
5139031,86636000,1100217,Республика Карелия,10,144025.02,631987.0,,Ремонт фасада,324.6,"63,61000",1946.9716574245224,338.8036189823129
5129526,86701000,1801947,Республика Карелия,10,916992.0,829029.29,,Ремонт фасада,426.0,"94,00000",1946.0781455399062,-9.592527524776662
5089450,86615000,400126,Республика Карелия,10,931305.0,822539.66,29.12.2016,Ремонт фасада,428.9,"1767,30000",1917.7889018419214,-11.678809842103277
5087516,86612000,300204,Республика Карелия,10,868212.6,945202.0,10.10.2016,Ремонт фасада,492.9,"2009,40000",1917.6344086021506,8.867574600967565
5117747,86701000,1800885,Республика Карелия,10,213863.4,917853.0,18.12.2016,Ремонт фасада,481.7,"1353,38000",1905.4452979032594,329.17722247004394
5119940,86701000,1801075,Республика Карелия,10,240485.4,1033266.6,15.01.2017,Ремонт фасада,544.4,"1788,78000",1897.9915503306393,329.65876514748925
5131704,86701000,1802143,Республика Карелия,10,969984.0,837975.0,22.09.2017,Ремонт фасада,442.0,"2180,38000",1895.8710407239819,-13.609399742676164
5089232,86615000,400104,Республика Карелия,10,1641710.0,1468012.0,29.12.2016,Ремонт фасада,776.1,"3056,92000",1891.5242881072027,-10.580309555280776
5135999,86633000,1000192,Республика Карелия,10,643900.0,804137.8,,Ремонт фасада,425.6,"1839,30000",1889.421522556391,24.885510172387026
5088827,86615000,400068,Республика Карелия,10,643750.53,666131.0,29.12.2016,Ремонт фасада,353.8,"1373,24000",1882.7897117015261,3.4765750018100894
5111794,86701000,1800355,Республика Карелия,10,689529.0,722043.63,01.04.2017,Ремонт фасада,386.5,"1496,81000",1868.1594566623544,4.715484047806551
5123734,86701000,1801432,Республика Карелия,10,572360.0,881879.64,21.06.2017,Ремонт фасада,474.4,"1851,84000",1858.9368465430018,54.077790201970785
5099185,86624000,700048,Республика Карелия,10,283242.32,456971.0,11.07.2016,Ремонт фасада,246.0,"1022,85000",1857.6056910569105,61.3357071782211
5110761,86701000,1800271,Республика Карелия,10,240000.0,993813.0,04.04.2017,Ремонт фасада,537.2,"2187,96000",1849.9869694713327,314.08875
5091155,86615000,400274,Республика Карелия,10,1099800.0,936341.08,29.12.2016,Ремонт фасада,507.8,"2130,52000",1843.9170539582512,-14.862604109838152
5127187,86701000,1801738,Республика Карелия,10,704793.6,994404.0,22.10.2018,Ремонт фасада,542.3,"2604,19000",1833.6787755854693,41.091519559769
5090715,86615000,400233,Республика Карелия,10,599565.27,597600.0,29.12.2016,Ремонт фасада,329.0,"1223,97000",1816.4133738601824,-0.3277824948066166
5083742,86604000,100189,Республика Карелия,10,539903.0,596874.02,17.08.2017,Ремонт фасада,330.4,"1378,68000",1806.5194309927363,10.552084355893566
5089252,86615000,400106,Республика Карелия,10,821325.0,684239.0,29.12.2016,Ремонт фасада,380.0,"1575,18000",1800.628947368421,-16.69083493136091
5136696,86633000,1000262,Республика Карелия,10,1290855.0,1035516.22,18.08.2017,Ремонт фасада,575.1,"2425,28000",1800.5846287602155,-19.78059348261424
5097012,86621000,600067,Республика Карелия,10,782785.0,646186.0,13.11.2017,Ремонт фасада,360.1,"1528,08000",1794.4626492640932,-17.45038548260378
