,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5950416,87640000,8764000005464,Республика Коми,10,885277.0,885277.0,,Ремонт фасада,359.7,,2461.153739227134,0.0
5950110,87636000,8763600005161,Республика Коми,10,1676326.25,1676326.25,,Ремонт фасада,719.6,"4473782,52000",2329.5250833796554,0.0
5950418,87640000,8764000005463,Республика Коми,10,856761.0,856761.0,,Ремонт фасада,372.6,,2299.4122383252816,0.0
5936429,87608000,8760800001379,Республика Коми,10,1298325.0,1298325.0,,Ремонт фасада,1483.8,,875.0,0.0
5949440,87636000,8763600005165,Республика Коми,10,113726.0,113726.0,,Ремонт фасада,453.2,"111698,00000",250.93998234774935,0.0
5946861,87628000,8762800003157,Республика Коми,10,1058000.0,1058000.0,01.12.2016,Ремонт фасада,4391.2,"1058,00000",240.93641829112772,0.0
5947606,87628000,8762800003206,Республика Коми,10,,1096470.04,05.10.2018,Ремонт фасада,4798.6,"1096470,04000",228.49790355520358,
5948147,87632000,8763200004994,Республика Коми,10,,2019.0,,Ремонт фасада,327.2,,6.170537897310513,
5948165,87632000,8763200005041,Республика Коми,10,,2023.0,,Ремонт фасада,350.6,,5.770108385624643,
5948306,87632000,8763200005136,Республика Коми,10,,2028.0,,Ремонт фасада,360.0,,5.633333333333334,
5948587,87632000,8763200005139,Республика Коми,10,,2028.0,,Ремонт фасада,361.3,,5.613063935787434,
5948484,87632000,8763200005133,Республика Коми,10,,2027.0,,Ремонт фасада,363.7,,5.573274676931537,
5948207,87632000,8763200005042,Республика Коми,10,,2023.0,,Ремонт фасада,365.0,,5.542465753424658,
5948772,87632000,8763200005125,Республика Коми,10,,2026.0,,Ремонт фасада,435.8,,4.648921523634694,
5948214,87632000,8763200005043,Республика Коми,10,,2024.0,,Ремонт фасада,436.2,,4.64007336084365,
5948854,87632000,8763200005046,Республика Коми,10,,2024.0,,Ремонт фасада,482.1,,4.198299108068865,
5948195,87632000,8763200005038,Республика Коми,10,,2023.0,,Ремонт фасада,507.6,,3.9854215918045703,
5948348,87632000,8763200005017,Республика Коми,10,,2020.0,,Ремонт фасада,506.9,,3.985006904714934,
5948668,87632000,8763200005130,Республика Коми,10,,2027.0,,Ремонт фасада,509.6,,3.977629513343799,
5948889,87632000,8763200005121,Республика Коми,10,,2026.0,,Ремонт фасада,510.1,,3.97177024112919,
5948518,87632000,8763200005002,Республика Коми,10,,2018.0,,Ремонт фасада,510.6,,3.952213082647865,
5948527,87632000,8763200004996,Республика Коми,10,,2017.0,,Ремонт фасада,511.6,,3.942533229085223,
5948537,87632000,8763200005005,Республика Коми,10,,2020.0,,Ремонт фасада,515.3,,3.92004657481079,
5948391,87632000,8763200005124,Республика Коми,10,,2026.0,,Ремонт фасада,521.5,,3.884947267497603,
5948880,87632000,8763200005120,Республика Коми,10,,2026.0,,Ремонт фасада,525.2,,3.857578065498857,
5948150,87632000,8763200004995,Республика Коми,10,,2017.0,,Ремонт фасада,533.0,,3.7842401500938085,
5948862,87632000,8763200005122,Республика Коми,10,,2026.0,,Ремонт фасада,570.0,,3.5543859649122806,
5948619,87632000,8763200005147,Республика Коми,10,,2029.0,,Ремонт фасада,586.2,,3.4612760150119413,
5948420,87632000,8763200005137,Республика Коми,10,,2028.0,,Ремонт фасада,587.5,,3.451914893617021,
5948282,87632000,8763200005142,Республика Коми,10,,2028.0,,Ремонт фасада,609.2,,3.3289560078791856,
5948463,87632000,8763200005027,Республика Коми,10,,2021.0,,Ремонт фасада,656.8,,3.0770401948842876,
5948424,87632000,8763200005023,Республика Коми,10,,2021.0,,Ремонт фасада,721.7,,2.800332548150201,
5948452,87632000,8763200005026,Республика Коми,10,,2021.0,,Ремонт фасада,731.9,,2.7613061893701327,
5948445,87632000,8763200005025,Республика Коми,10,,2021.0,,Ремонт фасада,743.5,,2.7182246133154,
