,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
504010,64748000,2007,Сахалинская область,10,4376964.97,5386712.34,15.03.2017,Ремонт фасада,154.1,"322,92000",34955.952887735235,-0.23069578507501745
510498,64756000,2889,Сахалинская область,10,7051100.72,10345760.0,,Ремонт фасада,484.1,"14,30000",21371.121669076638,-0.46725460475339803
489573,64701000,4058,Сахалинская область,10,3779058.54,6822508.49,14.01.2016,Ремонт фасада,339.7,"548,68000",20083.922549308216,-0.8053460717229324
510448,64756000,2885,Сахалинская область,10,6051100.72,6335595.0,,Ремонт фасада,318.7,"8,89000",19879.49482271729,-0.047015294103384266
500834,64736000,1575,Сахалинская область,10,5112590.72,8574931.95,26.07.2017,Ремонт фасада,487.4,"249,18000",17593.212864177265,-0.6772185413660493
479993,64708000,186,Сахалинская область,10,4081000.0,4904818.27,,Ремонт фасада,291.8,"49,16000",16808.835743660038,-0.20186676549865218
479982,64708000,185,Сахалинская область,10,4081000.0,4670659.35,,Ремонт фасада,293.0,"157,14000",15940.816894197951,-0.14448893653516287
510506,64756000,2890,Сахалинская область,10,7051100.72,7603315.0,,Ремонт фасада,492.1,"13,18000",15450.751879699248,-0.07831603914459476
494727,64716000,757,Сахалинская область,10,3032000.0,4467708.01,,Ремонт фасада,296.5,"142,25000",15068.155177065766,-0.47351847295514504
503212,64746000,1900,Сахалинская область,10,6710108.0,10120358.33,,Ремонт фасада,698.8,"115,46000",14482.481868918147,-0.5082258482277782
496062,64720000,947,Сахалинская область,10,4211160.4,5443614.94,28.08.2017,Ремонт фасада,404.1,"133,98000",13470.960009898541,-0.2926638795330617
496159,64720000,959,Сахалинская область,10,4407654.0,5443614.94,17.07.2017,Ремонт фасада,405.4,"134,35000",13427.762555500742,-0.23503681096565213
502907,64743000,1859,Сахалинская область,10,6560982.66,6560982.67,,Ремонт фасада,491.6,"62,52000",13346.18118388934,-1.5241618968830778e-09
496151,64720000,958,Сахалинская область,10,4472495.0,5443614.94,17.07.2017,Ремонт фасада,410.8,"137,82000",13251.253505355404,-0.21713158762614612
505572,64752000,2214,Сахалинская область,10,5200000.0,5278276.4,,Ремонт фасада,400.4,"70,35000",13182.508491508494,-0.015053153846153917
496097,64720000,952,Сахалинская область,10,4360979.1,5443614.94,10.12.2016,Ремонт фасада,415.4,"134,82000",13104.513577274918,-0.24825522323645186
508801,64754000,2558,Сахалинская область,10,13253635.21,12630406.8,02.08.2019,Ремонт фасада,974.9,"3548,60000",12955.592163298801,0.04702320534141215
506092,64752000,2295,Сахалинская область,10,13684016.08,15213117.68,14.06.2017,Ремонт фасада,1178.0,"1423,20000",12914.361358234295,-0.11174362782537739
510515,64756000,2891,Сахалинская область,10,5399440.0,6161310.0,,Ремонт фасада,489.5,"10,36000",12586.945863125638,-0.14110166980279437
506084,64752000,2294,Сахалинская область,10,13156241.35,15121387.55,19.05.2017,Ремонт фасада,1250.4,"2623,64000",12093.240203134996,-0.14936988063083848
503748,64748000,1970,Сахалинская область,10,3663111.0,3771689.84,27.10.2017,Ремонт фасада,311.9,"98,85000",12092.625328630971,-0.02964115474524246
510789,64756000,2925,Сахалинская область,10,6498446.45,6498446.45,12.10.2017,Ремонт фасада,538.5,"836,22000",12067.681429897864,0.0
482664,64701000,3115,Сахалинская область,10,6059000.0,5028445.03,,Ремонт фасада,441.7,"33,34000",11384.29936608558,0.17008664301039772
494940,64716000,787,Сахалинская область,10,6815166.97,18005196.0,13.01.2016,Ремонт фасада,1616.3,"1098,66000",11139.76118294871,-1.6419302827440487
502934,64743000,1861,Сахалинская область,10,8814960.0,8814960.0,,Ремонт фасада,796.7,"349,83000",11064.34040416719,0.0
503802,64748000,1976,Сахалинская область,10,3901038.05,4107398.5,13.02.2017,Ремонт фасада,382.6,"287,44000",10735.490067956089,-0.05289885598526787
496071,64720000,948,Сахалинская область,10,4308767.64,4308767.64,02.10.2017,Ремонт фасада,406.0,"600,73000",10612.7281773399,0.0
510218,64756000,2855,Сахалинская область,10,3963781.85,3985838.2,02.11.2015,Ремонт фасада,375.8,"496,87000",10606.275146354445,-0.005564471213268231
483444,64701000,3517,Сахалинская область,10,2247551.62,2500000.0,22.06.2017,Ремонт фасада,236.0,"406,41000",10593.22033898305,-0.11232150476704063
507066,64752000,2329,Сахалинская область,10,5900000.0,6194944.82,,Ремонт фасада,585.7,"183,17000",10576.993033976438,-0.04999064745762717
496046,64720000,945,Сахалинская область,10,4239505.18,4239505.18,11.09.2017,Ремонт фасада,401.6,"599,27000",10556.536802788843,0.0
496082,64720000,950,Сахалинская область,10,4280813.44,4280813.44,02.10.2017,Ремонт фасада,411.5,"598,95000",10402.948821385176,0.0
496073,64720000,949,Сахалинская область,10,4278576.16,4278576.16,18.10.2017,Ремонт фасада,413.0,"599,38000",10359.748571428572,0.0
504955,64750000,2137,Сахалинская область,10,13316612.7,13316612.7,09.11.2018,Ремонт фасада,1303.7,"172,44000",10214.476259875737,0.0
496053,64720000,946,Сахалинская область,10,4114412.2,5587196.16,28.08.2017,Ремонт фасада,548.1,"168,88000",10193.75325670498,-0.3579573189093693
496091,64720000,951,Сахалинская область,10,4280361.5,5587196.16,10.12.2016,Ремонт фасада,550.7,"169,57000",10145.62585799891,-0.30530941370255765
504976,64750000,2139,Сахалинская область,10,3216734.28,3216734.28,21.08.2017,Ремонт фасада,317.3,"412,03000",10137.832587456665,0.0
504031,64748000,2012,Сахалинская область,10,2675482.48,3040314.18,15.03.2017,Ремонт фасада,302.8,"198,71000",10040.667701453105,-0.13636108729069316
495966,64716000,926,Сахалинская область,10,4629949.0,6471705.7,25.11.2016,Ремонт фасада,646.0,"804,33000",10018.12027863777,-0.3977920059162639
507157,64752000,2342,Сахалинская область,10,3183494.4,3183494.4,29.01.2019,Ремонт фасада,318.9,"29,84000",9982.735653809972,0.0
503205,64746000,1899,Сахалинская область,10,6999195.0,6930064.36,,Ремонт фасада,709.0,"203,22000",9774.420818053597,0.00987694156256536
503257,64746000,1905,Сахалинская область,10,6777000.72,6243069.78,15.05.2019,Ремонт фасада,638.8,"3556,30000",9773.12113337508,0.07878572868146301
485996,64701000,3213,Сахалинская область,10,7386000.0,6471125.38,,Ремонт фасада,664.2,"639,59000",9742.736193917493,0.12386604657460061
498947,64732000,1340,Сахалинская область,10,5103183.83,5200000.0,07.04.2017,Ремонт фасада,535.1,"875,80000",9717.809755185946,-0.01897171907287532
504043,64748000,2013,Сахалинская область,10,3602461.62,4222973.48,15.03.2017,Ремонт фасада,436.9,"265,90000",9665.766720073245,-0.17224662618334857
481203,64701000,3308,Сахалинская область,10,4288570.41,4870000.0,26.06.2017,Ремонт фасада,507.6,"718,45000",9594.168636721828,-0.13557655218723572
504993,64750000,2140,Сахалинская область,10,10187766.0,8712351.74,,Ремонт фасада,908.5,"225,32000",9589.820297193175,0.144822158263156
504947,64750000,2136,Сахалинская область,10,3077415.22,3077415.22,21.08.2017,Ремонт фасада,322.4,"421,44000",9545.332568238215,0.0
489263,64701000,4034,Сахалинская область,10,13659000.0,13295249.7,,Ремонт фасада,1397.0,"1710,29000",9517.00050107373,0.026630814847353447
503194,64746000,1898,Сахалинская область,10,8343658.0,8989836.14,,Ремонт фасада,948.3,"136,09000",9479.949530739219,-0.07744542501622197
495593,64716000,872,Сахалинская область,10,6813621.33,5693772.88,,Ремонт фасада,607.0,"25,65000",9380.185963756177,0.16435437130463487
506030,64752000,2288,Сахалинская область,10,6951300.0,8727399.72,,Ремонт фасада,940.6,"33,08000",9278.545311503296,-0.2555061240343534
495733,64716000,889,Сахалинская область,10,5200361.95,5624956.69,,Ремонт фасада,609.0,"41,34000",9236.38208538588,-0.08164715150259881
502070,64740000,1736,Сахалинская область,10,5049101.67,4902612.0,23.05.2019,Ремонт фасада,531.1,"1541,94000",9231.052532479758,0.029013016487742845
509626,64754000,2665,Сахалинская область,10,4446413.46,4446413.46,05.09.2017,Ремонт фасада,482.5,"391,34000",9215.364683937823,0.0
504683,64750000,2103,Сахалинская область,10,5176944.38,5176944.38,09.11.2018,Ремонт фасада,565.9,"263,90000",9148.161123873477,0.0
488554,64701000,3944,Сахалинская область,10,3410538.57,3522595.0,08.12.2016,Ремонт фасада,385.4,"695,56000",9140.101193565128,-0.03285593395297687
