,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5439377,66603000,2203,Смоленская область,10,,,,Ремонт фасада,568.2,"1901,06852",,
5439381,66603000,2187,Смоленская область,10,,,02.06.2016,Ремонт фасада,302.32,"1094,12818",,
5439385,66603000,2289,Смоленская область,10,,,,Ремонт фасада,288.7,"0,00000",,
5439394,66603000,2266,Смоленская область,10,407944.0,,03.08.2015,Ремонт фасада,1711.0,"3882,79599",,
5439400,66603000,2267,Смоленская область,10,,,,Ремонт фасада,1505.3,"0,00000",,
5439406,66603000,2188,Смоленская область,10,,,02.06.2016,Ремонт фасада,490.89,"1648,69689",,
5439414,66603000,2250,Смоленская область,10,,,,Ремонт фасада,316.45,"98,42222",,
5439418,66603000,2193,Смоленская область,10,,,02.06.2016,Ремонт фасада,519.66,"1515,91384",,
5439425,66603000,2326,Смоленская область,10,,,,Ремонт фасада,887.6,"0,00000",,
5439436,66603000,2199,Смоленская область,10,,,10.08.2016,Ремонт фасада,955.3,"3291,26969",,
5439439,66603000,2201,Смоленская область,10,,,,Ремонт фасада,858.2,"2849,25258",,
5439452,66603000,2211,Смоленская область,10,,,,Ремонт фасада,279.1,"0,00000",,
5439460,66603000,2276,Смоленская область,10,,,,Ремонт фасада,731.5,"757,94169",,
5439464,66603000,2198,Смоленская область,10,,,15.07.2016,Ремонт фасада,326.78,"1298,87088",,
5439471,66603000,2312,Смоленская область,10,,,,Ремонт фасада,603.1,"0,00000",,
5439472,66603000,2310,Смоленская область,10,,,,Ремонт фасада,504.9,"0,00000",,
5439476,66603000,2277,Смоленская область,10,,,,Ремонт фасада,377.6,"0,00000",,
5439480,66603000,2278,Смоленская область,10,,,,Ремонт фасада,387.2,"0,00000",,
5439486,66603000,2279,Смоленская область,10,,,,Ремонт фасада,530.9,"0,00000",,
5439489,66603000,2282,Смоленская область,10,,,,Ремонт фасада,562.46,"0,00000",,
5439495,66603000,2283,Смоленская область,10,,,,Ремонт фасада,557.63,"0,00000",,
5439499,66603000,2284,Смоленская область,10,,,,Ремонт фасада,563.26,"0,00000",,
5439501,66603000,2248,Смоленская область,10,,,,Ремонт фасада,591.6,"0,00000",,
5439502,66603000,2251,Смоленская область,10,,,,Ремонт фасада,565.5,"0,00000",,
5439504,66603000,2252,Смоленская область,10,,,,Ремонт фасада,392.9,"0,00000",,
5439514,66603000,2259,Смоленская область,10,,,,Ремонт фасада,945.4,"0,00000",,
5439517,66603000,2320,Смоленская область,10,,,,Ремонт фасада,942.8,"0,00000",,
5439519,66603000,2314,Смоленская область,10,,,,Ремонт фасада,1084.88,"0,00000",,
5439525,66603000,2256,Смоленская область,10,,,,Ремонт фасада,1095.7,"0,00000",,
5439532,66603000,2194,Смоленская область,10,,,01.08.2016,Ремонт фасада,1058.66,"3265,99374",,
5439538,66603000,2205,Смоленская область,10,,,,Ремонт фасада,732.8,"0,00000",,
5439543,66603000,2253,Смоленская область,10,,,,Ремонт фасада,377.6,"0,00000",,
5439546,66603000,2308,Смоленская область,10,,,,Ремонт фасада,504.5,"0,00000",,
5439550,66603000,2254,Смоленская область,10,,,,Ремонт фасада,399.76,"0,00000",,
5439554,66603000,2327,Смоленская область,10,,,,Ремонт фасада,372.23,"0,00000",,
