,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3551190,7701000,1337,Ставропольский край,10,3013666.5,7902068.52,,Ремонт фасада,608.9,"3019,16298",12977.612941369684,-1.622077963835746
3509390,7712000,8141,Ставропольский край,10,1099322.04,1098880.42,31.10.2016,Ремонт фасада,90.0,"2210,64283",12209.782444444443,0.00040172031846110514
3509387,7712000,8138,Ставропольский край,10,1038412.46,1038412.48,31.10.2016,Ремонт фасада,90.0,"2117,55654",11537.916444444445,-1.9260169527074486e-08
3557004,7701000,7401,Ставропольский край,10,897328.64,6458670.58,30.10.2018,Ремонт фасада,660.0,"7836,23825",9785.864515151516,-6.19766459253992
3543003,7701000,7035,Ставропольский край,10,3489615.29,3415779.0,21.10.2015,Ремонт фасада,357.9,"4999,41800",9543.948030176027,0.021158862471627935
3529463,7727000,9408,Ставропольский край,10,2156735.29,2342446.33,23.06.2016,Ремонт фасада,280.0,"3362,41787",8365.87975,-0.08610747960636377
3580234,7639000,6435,Ставропольский край,10,927633.0,2773705.2,09.08.2019,Ремонт фасада,335.9,"3032,26490",8257.532598987795,-1.9900889683743466
3525233,7727000,10170,Ставропольский край,10,377402.94,1351770.01,,Ремонт фасада,163.8,"0,00000",8252.564163614163,-2.581768626391729
3508357,7710000,2311,Ставропольский край,10,1875804.0,2652692.48,,Ремонт фасада,345.0,"1622,11086",7688.963710144927,-0.4141629296024531
3582089,7639000,11121,Ставропольский край,10,323131.2,1438279.41,30.08.2019,Ремонт фасада,198.7,"773,30461",7238.446955208858,-3.451069441762355
3508215,7710000,2119,Ставропольский край,10,1431861.07,1433174.82,28.11.2016,Ремонт фасада,206.8,"3746,84035",6930.245744680851,-0.0009175121996996538
3580319,7639000,6870,Ставропольский край,10,592179.0,1710908.32,13.08.2019,Ремонт фасада,251.2,"2139,17892",6810.940764331211,-1.8891742530552418
3569385,7620000,2112,Ставропольский край,10,1359615.6,4610281.65,31.07.2019,Ремонт фасада,680.6,"2255,79378",6773.849030267412,-2.3908713977686045
