,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5550694,71705000,1806,Тюменская область,10,1615074.08,1408599.6,28.05.2019,Ремонт фасада,146.2,"2624,88894",9634.744186046513,-12.784211111851906
5558668,71715000,8966,Тюменская область,10,474217.12,360081.94,,Ремонт фасада,57.5,"693,18120",6262.294608695653,-24.06812727469645
5557428,71715000,25520,Тюменская область,10,909041.12,965172.01,21.08.2017,Ремонт фасада,160.7,"1830,08377",6006.048599875545,6.17473607794552
5559753,71715000,11260,Тюменская область,10,1091097.31,1091097.32,27.10.2017,Ремонт фасада,184.0,"3291,22416",5929.876739130435,9.165085357309977e-07
5558706,71715000,9109,Тюменская область,10,697646.34,525882.61,,Ремонт фасада,96.9,"78,81249",5427.06511867905,-24.620458841653203
5548917,71705000,1629,Тюменская область,10,778354.45,729905.07,,Ремонт фасада,135.2,"837,19954",5398.706139053254,-6.224590866025115
5542292,71603000,16082,Тюменская область,10,3375680.27,3375680.27,01.11.2018,Ремонт фасада,634.0,"5577,58132",5324.416829652997,0.0
5600560,71630000,17968,Тюменская область,10,1933346.72,1852426.4,,Ремонт фасада,358.59,"1515,42324",5165.861847792744,-4.185504812090823
5549086,71705000,1742,Тюменская область,10,2408475.8,1522268.09,04.07.2019,Ремонт фасада,312.1,"2826,57446",4877.5010893944245,-36.795375315791
5545501,71705000,19187,Тюменская область,10,407219.18,407219.18,27.06.2018,Ремонт фасада,84.3,"1010,52051",4830.595255041519,0.0
5559719,71715000,12911,Тюменская область,10,623811.63,938963.26,22.11.2018,Ремонт фасада,194.7,"1341,00090",4822.615613764767,50.520319731775444
5558078,71715000,101068,Тюменская область,10,665727.88,503960.95,,Ремонт фасада,105.2,"74,11802",4790.503326996198,-24.29925722804338
5559073,71715000,9552,Тюменская область,10,1198674.97,833885.36,,Ремонт фасада,175.2,"138,48034",4759.619634703196,-30.43273774207532
5560184,71715000,11464,Тюменская область,10,1200134.1,872425.78,,Ремонт фасада,193.7,"86,01403",4504.005059370161,-27.3059752239354
5557232,71715000,5596,Тюменская область,10,566840.74,566840.74,,Ремонт фасада,126.2,"899,40463",4491.606497622821,0.0
5559241,71715000,10508,Тюменская область,10,583651.84,495382.78,,Ремонт фасада,113.9,"857,36205",4349.278138718174,-15.123581208961824
5558697,71715000,9072,Тюменская область,10,1377053.56,1139983.62,,Ремонт фасада,263.8,"617,99754",4321.393555724034,-17.21573850765833
5548452,71705000,1926,Тюменская область,10,1431708.0,1193090.0,18.12.2018,Ремонт фасада,284.3,"2664,84254",4196.588111150193,-16.666666666666664
5549738,71705000,1771,Тюменская область,10,1542254.39,963764.0,24.04.2019,Ремонт фасада,229.8,"1798,13691",4193.925152306353,-37.50940141593632
5602417,71636000,13935,Тюменская область,10,1029871.91,893245.75,,Ремонт фасада,214.2,"843,86601",4170.148225957049,-13.266325518092826
5548928,71705000,1685,Тюменская область,10,651045.39,612770.63,,Ремонт фасада,148.1,"1146,16042",4137.546455097907,-5.878969513938193
5550688,71705000,1907,Тюменская область,10,1546768.57,1410186.0,,Ремонт фасада,358.9,"0,00000",3929.1891891891896,-8.83018782829289
5548330,71705000,19152,Тюменская область,10,820760.4,783589.3,,Ремонт фасада,200.0,"790,23203",3917.9465,-4.528861285217944
5567662,71701000,95901,Тюменская область,10,745845.52,878976.0,03.11.2017,Ремонт фасада,225.2,"1483,83010",3903.0905861456486,17.84960510321225
5548950,71705000,1689,Тюменская область,10,649403.87,649370.0,,Ремонт фасада,167.1,"1326,84616",3886.116098144824,-0.005215552534354462
5558649,71715000,120458,Тюменская область,10,450829.91,450829.91,,Ремонт фасада,117.8,"67,82513",3827.079032258064,0.0
5604866,71644000,7222,Тюменская область,10,1869082.32,1868787.07,11.10.2018,Ремонт фасада,493.32,"3614,85642",3788.184282007622,-0.015796522006583658
5548060,71705000,1592,Тюменская область,10,435530.0,435530.0,28.11.2018,Ремонт фасада,119.9,"1315,56747",3632.443703085905,0.0
5546526,71705000,1470,Тюменская область,10,547264.8,525382.0,11.10.2018,Ремонт фасада,148.7,"1148,67752",3533.167451244116,-3.998576192000658
5547727,71705000,1884,Тюменская область,10,1608534.0,574095.1,05.09.2018,Ремонт фасада,165.1,"1461,24831",3477.25681405209,-64.30942087640051
5557861,71715000,7029,Тюменская область,10,1880741.61,1880741.61,06.10.2016,Ремонт фасада,547.3,"4029,44745",3436.3997990133385,0.0
5609522,71648000,11237,Тюменская область,10,2325487.8,1081140.0,,Ремонт фасада,317.5,"128,04460",3405.165354330709,-53.50910892759791
5541884,71603000,13560,Тюменская область,10,765319.76,765319.76,01.11.2018,Ремонт фасада,226.0,"1571,58178",3386.3706194690267,0.0
5571300,71701000,79667,Тюменская область,10,2243411.76,1565210.0,,Ремонт фасада,465.0,"3144,52501",3366.043010752688,-30.230819508586325
5548339,71705000,1916,Тюменская область,10,942120.0,744910.0,,Ремонт фасада,224.2,"750,82110",3322.5245316681535,-20.932577590965064
5607833,71644000,98320,Тюменская область,10,1012271.16,611296.36,,Ремонт фасада,185.0,"33,76999",3304.3046486486487,-39.61140214643674
5591018,71701000,1414,Тюменская область,10,5531020.0,3652600.0,29.12.2018,Ремонт фасада,1107.9,"6497,47120",3296.8679483707915,-33.96154777961389
5548491,71705000,1928,Тюменская область,10,1661127.85,1106450.0,,Ремонт фасада,340.35,"2029,24303",3250.9181724695163,-33.391641106974404
5557113,71710000,8638,Тюменская область,10,1020463.58,1478710.24,10.11.2016,Ремонт фасада,455.3,"2773,16644",3247.7712277619153,44.905733921439904
5600552,71630000,17957,Тюменская область,10,1515666.81,1515666.8,31.10.2018,Ремонт фасада,468.0,"2209,91266",3238.604273504274,-6.597756119219866e-07
5548560,71705000,1940,Тюменская область,10,957384.0,777874.5,31.08.2018,Ремонт фасада,241.4,"2223,46263",3222.3467274233635,-18.75
5558718,71715000,9115,Тюменская область,10,1363374.22,883226.6,,Ремонт фасада,275.0,"104,77035",3211.7330909090906,-35.21759565029768
5548428,71705000,1925,Тюменская область,10,1613067.77,877670.0,05.09.2018,Ремонт фасада,273.8,"2022,20595",3205.5149744338933,-45.59001076563571
5558685,71715000,9037,Тюменская область,10,889157.1,632419.2,,Ремонт фасада,197.3,"104,61866",3205.36847440446,-28.87430129051436
