,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6420943,27709000,615359,Калининградская область,9,1543807.0,1543807.0,28.12.2017,Ремонт фундаментов,252.8,,6106.831487341772,0.0
6459735,27711000,616645,Калининградская область,11,874982.0,874982.0,22.12.2017,Ремонт фундаментов,166.0,,5270.975903614458,0.0
6444421,27701000,625657,Калининградская область,11,1035652.69,1035652.69,,Ремонт фундаментов,212.0,,4885.154198113208,0.0
6460168,27712000,616722,Калининградская область,11,2089348.0,2089348.0,22.12.2017,Ремонт фундаментов,470.9,,4436.92503716288,0.0
6446251,27701000,625893,Калининградская область,9,935196.92,935196.92,18.12.2018,Ремонт фундаментов,241.5,,3872.451014492754,0.0
6425121,27615000,616101,Калининградская область,9,643581.67,643581.67,28.12.2017,Ремонт фундаментов,166.8,,3858.40329736211,0.0
6437518,27701000,624597,Калининградская область,11,6044983.0,6044983.0,22.12.2017,Ремонт фундаментов,1645.1,,3674.538325937633,0.0
6455543,27701000,622754,Калининградская область,11,1345618.0,1345618.0,30.07.2018,Ремонт фундаментов,367.8,,3658.558999456226,0.0
6453254,27701000,626764,Калининградская область,9,2463066.55,2463066.55,29.08.2018,Ремонт фундаментов,701.9,,3509.1416868499787,0.0
6437280,27701000,624790,Калининградская область,9,1439475.66,1439475.66,,Ремонт фундаментов,418.4,,3440.429397705545,0.0
6441406,27701000,625338,Калининградская область,11,1257331.74,1257331.74,29.08.2018,Ремонт фундаментов,372.0,,3379.9240322580645,0.0
6438128,27701000,624889,Калининградская область,11,5677825.77,5677825.77,01.12.2015,Ремонт фундаментов,1714.3,,3312.037432188065,0.0
6455945,27701000,627115,Калининградская область,9,658744.01,658744.01,,Ремонт фундаментов,226.3,,2910.932434821034,0.0
6478253,27636000,619517,Калининградская область,9,3682885.0,3682885.0,22.12.2017,Ремонт фундаментов,1303.1,,2826.2489448238816,0.0
6464340,27624000,617252,Калининградская область,9,517843.0,517843.0,22.12.2017,Ремонт фундаментов,184.9,,2800.6652244456463,0.0
6442818,27701000,625497,Калининградская область,9,2516794.29,2516794.29,,Ремонт фундаментов,903.0,,2787.147607973422,0.0
6479453,27636000,619784,Калининградская область,11,394358.85,394358.85,,Ремонт фундаментов,144.0,,2738.6031249999996,0.0
6484668,27730000,620323,Калининградская область,11,657661.0,657661.0,28.12.2017,Ремонт фундаментов,249.0,,2641.2088353413656,0.0
6461444,27621000,617015,Калининградская область,11,1182406.93,1182406.93,,Ремонт фундаментов,473.9,,2495.0557712597592,0.0
6437281,27701000,624790,Калининградская область,11,1034499.96,1034499.96,,Ремонт фундаментов,418.4,,2472.514244741874,0.0
6451353,27701000,626506,Калининградская область,9,237037.57,237037.57,24.12.2015,Ремонт фундаментов,100.5,,2358.582786069652,0.0
6466320,27627000,617628,Калининградская область,11,857139.42,857139.42,,Ремонт фундаментов,399.1,,2147.6808318717112,0.0
