,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6166042,91623000,3900321129,Карачаево-Черкесская Республика,11,21765.0,37097.0,07.10.2016,Ремонт фундаментов,435.3,"0,00000",85.22168619342982,70.44337238685962
6165646,91615000,2512000910,Карачаево-Черкесская Республика,9,1139616.0,70000.0,,Ремонт фундаментов,6044.3,"0,00000",11.58115910858164,-93.85758009715553
6166152,91625000,1100010768,Карачаево-Черкесская Республика,9,242310.85,100.0,,Ремонт фундаментов,2031.3,"0,00000",0.04922955742627874,-99.95873069654124
6165178,91610000,120001,Карачаево-Черкесская Республика,9,370873.78,0.0,,Ремонт фундаментов,7500.5,"0,00000",0.0,-100.0
6166354,91625000,3100010961,Карачаево-Черкесская Республика,11,57710.0,0.0,,Ремонт фундаментов,1154.2,"0,00000",0.0,-100.0
6166373,91625000,3100010964,Карачаево-Черкесская Республика,11,18640.0,0.0,,Ремонт фундаментов,372.8,"0,00000",0.0,-100.0
6166370,91625000,3100010964,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,372.8,"0,00000",0.0,-100.0
6166367,91625000,3100010963,Карачаево-Черкесская Республика,9,74787.3,0.0,,Ремонт фундаментов,552.6,"0,00000",0.0,-100.0
6166366,91625000,3100010963,Карачаево-Черкесская Республика,11,27630.0,0.0,,Ремонт фундаментов,552.6,"0,00000",0.0,-100.0
6166363,91625000,3100010962,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,372.1,"0,00000",0.0,-100.0
6166361,91625000,3100010962,Карачаево-Черкесская Республика,11,18605.0,0.0,,Ремонт фундаментов,372.1,"0,00000",0.0,-100.0
6166355,91625000,3100010961,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,1154.2,"0,00000",0.0,-100.0
6166349,91625000,3100010974,Карачаево-Черкесская Республика,11,27435.0,0.0,,Ремонт фундаментов,548.7,"0,00000",0.0,-100.0
6166353,91625000,3100010974,Карачаево-Черкесская Республика,9,76567.95,0.0,,Ремонт фундаментов,548.7,"0,00000",0.0,-100.0
6166378,91625000,3100010965,Карачаево-Черкесская Республика,9,74787.3,0.0,,Ремонт фундаментов,556.9,"0,00000",0.0,-100.0
6166348,91625000,3100010973,Карачаево-Черкесская Республика,11,27965.0,0.0,,Ремонт фундаментов,559.3,"765,85000",0.0,-100.0
6166347,91625000,3100010973,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,559.3,"765,85000",0.0,-100.0
6166341,91625000,3100010972,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,549.7,"0,00000",0.0,-100.0
6166339,91625000,3100010972,Карачаево-Черкесская Республика,11,27485.0,0.0,,Ремонт фундаментов,549.7,"0,00000",0.0,-100.0
6166338,91625000,3100010971,Карачаево-Черкесская Республика,11,27715.0,0.0,,Ремонт фундаментов,554.3,"0,00000",0.0,-100.0
6166335,91625000,3100010971,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,554.3,"0,00000",0.0,-100.0
6166331,91625000,3100010970,Карачаево-Черкесская Республика,11,27990.0,0.0,,Ремонт фундаментов,559.8,"0,00000",0.0,-100.0
6166377,91625000,3100010965,Карачаево-Черкесская Республика,11,27845.0,0.0,,Ремонт фундаментов,556.9,"0,00000",0.0,-100.0
6166383,91625000,3100010966,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,367.6,"0,00000",0.0,-100.0
6166380,91625000,3100010966,Карачаево-Черкесская Республика,11,18380.0,0.0,,Ремонт фундаментов,367.6,"0,00000",0.0,-100.0
6166407,91625000,3100020981,Карачаево-Черкесская Республика,9,71226.0,0.0,,Ремонт фундаментов,584.5,"0,00000",0.0,-100.0
6166428,91625000,3100020985,Карачаево-Черкесская Республика,11,28040.0,0.0,,Ремонт фундаментов,560.8,"0,00000",0.0,-100.0
6166427,91625000,3100020985,Карачаево-Черкесская Республика,9,21367.8,0.0,,Ремонт фундаментов,560.8,"0,00000",0.0,-100.0
6166421,91625000,3100020984,Карачаево-Черкесская Республика,11,27900.0,0.0,,Ремонт фундаментов,558.0,"0,00000",0.0,-100.0
6166419,91625000,3100020984,Карачаево-Черкесская Республика,9,37393.65,0.0,,Ремонт фундаментов,558.0,"0,00000",0.0,-100.0
6166418,91625000,3100020983,Карачаево-Черкесская Республика,9,74787.3,0.0,,Ремонт фундаментов,558.6,"0,00000",0.0,-100.0
6166415,91625000,3100020983,Карачаево-Черкесская Республика,11,27930.0,0.0,,Ремонт фундаментов,558.6,"0,00000",0.0,-100.0
6166413,91625000,3100020982,Карачаево-Черкесская Республика,11,27930.0,0.0,,Ремонт фундаментов,558.6,"0,00000",0.0,-100.0
6166409,91625000,3100020982,Карачаево-Черкесская Республика,9,71226.0,0.0,,Ремонт фундаментов,558.6,"0,00000",0.0,-100.0
