,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5835063,33701000,33701000142708,Кировская область,11,1253102.4,1223409.0,,Ремонт фундаментов,971.8,"238,56752",1258.910269602799,-2.3695908650402275
5834965,33701000,33701000122033,Кировская область,11,583459.2,534332.0,07.08.2019,Ремонт фундаментов,450.2,"571,13025",1186.876943580631,-8.419988921247612
5834990,33701000,33701000121518,Кировская область,11,573350.4,523553.0,12.08.2019,Ремонт фундаментов,443.6,"556,62669",1180.236699729486,-8.685334483066553
5834986,33701000,33701000119054,Кировская область,11,550670.4,502988.0,02.09.2019,Ремонт фундаментов,428.7,"36,43094",1173.286680662468,-8.658972772097428
5885506,33627000,33627000249499,Кировская область,11,308059.2,276714.0,,Ремонт фундаментов,237.7,"24,28618",1164.1312578880943,-10.175057261721133
5835046,33701000,33701000147690,Кировская область,11,538228.8,472348.0,07.08.2019,Ремонт фундаментов,419.1,"514,56020",1127.0532092579335,-12.240296320078015
5834533,33701000,3370100039623,Кировская область,11,587088.0,512701.0,,Ремонт фундаментов,455.2,"36,86504",1126.3202987697716,-12.67050254816995
5895994,33641000,33641000112856,Кировская область,11,305726.4,267186.0,,Ремонт фундаментов,237.8,"47,16537",1123.574432296047,-12.606173362849926
5874123,33710000,33710000127053,Кировская область,11,113586.8,113586.8,27.03.2018,Ремонт фундаментов,101.4,"115,24818",1120.1854043392505,0.0
5841103,33701000,33701000100512,Кировская область,11,427465.0,427465.0,10.12.2018,Ремонт фундаментов,391.7,"656,86097",1091.3071227980597,0.0
5885864,33627000,33627000249380,Кировская область,11,122951.0,122951.0,08.08.2016,Ремонт фундаментов,113.4,"66,18314",1084.2239858906526,0.0
5885838,33627000,33627000249444,Кировская область,11,352123.2,383305.2,,Ремонт фундаментов,357.8,"69,79370",1071.283398546674,8.855423329107538
5850164,33701000,3370100049643,Кировская область,11,1030424.0,1030424.0,06.06.2018,Ремонт фундаментов,967.01,"1636,20055",1065.5773983723022,0.0
5840954,33701000,3370100063148,Кировская область,11,702587.34,702587.34,30.11.2018,Ремонт фундаментов,667.04,"993,62515",1053.29116694651,0.0
5887028,33628000,3362800048069,Кировская область,11,523552.11,523552.11,23.10.2018,Ремонт фундаментов,499.2,"569,57748",1048.7822716346154,0.0
5898882,33650000,33650000196018,Кировская область,11,203212.8,163376.54,,Ремонт фундаментов,156.8,"70,81610",1041.9422193877551,-19.60322381267321
5843857,33701000,3370100033332,Кировская область,11,525333.6,464033.0,08.08.2019,Ремонт фундаментов,445.89,"36,31197",1040.689407701451,-11.668890015791867
