,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5040695,37608000,45060100109,Курганская область,11,157745.0,157745.0,12.10.2018,Ремонт фундаментов,279.4,"1433,39572",564.5848246241948,0.0
5062564,37701000,45010000411,Курганская область,11,1876753.0,1876753.0,03.06.2019,Ремонт фундаментов,4184.6,"5287,69504",448.490417244181,0.0
5064771,37701000,45010000413,Курганская область,11,1033884.33,1033884.33,14.08.2018,Ремонт фундаментов,2567.7,"3686,11487",402.64997079098026,0.0
5053852,37701000,45010000180,Курганская область,11,2706075.0,2706075.0,,Ремонт фундаментов,6725.1,"7209,93700",402.3843511620645,0.0
5071872,37705000,45020000209,Курганская область,9,183482.0,347755.14,,Ремонт фундаментов,872.3,"60,87900",398.66461079903706,89.53092946447063
5076020,37705000,45020000610,Курганская область,11,37303.0,37303.0,26.09.2017,Ремонт фундаментов,98.1,"200,22750",380.2548419979613,0.0
5060403,37701000,45010000239,Курганская область,11,518879.0,518879.0,08.12.2017,Ремонт фундаментов,1517.2,"1631,74182",341.9977590297917,0.0
5069865,37626000,45160500011,Курганская область,11,857819.0,857819.0,29.06.2018,Ремонт фундаментов,2656.6,"3438,66400",322.9010765640292,0.0
5075712,37705000,45020000365,Курганская область,11,84733.34,84733.34,10.11.2017,Ремонт фундаментов,262.9,"1111,67125",322.3025484975276,0.0
5053039,37701000,45010000176,Курганская область,11,243996.0,243996.0,12.10.2018,Ремонт фундаментов,882.2,"1294,26443",276.57673996826117,0.0
5053498,37701000,45010000097,Курганская область,9,331621.3,316250.0,22.07.2016,Ремонт фундаментов,1344.6,"1524,24072",235.20005949724828,-4.635196834461475
5074869,37705000,45020000256,Курганская область,11,154318.0,154318.0,22.11.2018,Ремонт фундаментов,721.9,"1361,15796",213.7664496467655,0.0
5058750,37701000,45010000233,Курганская область,9,177839.0,177839.0,26.09.2018,Ремонт фундаментов,862.41,"1592,25282",206.21166266624925,0.0
5053483,37701000,45010000117,Курганская область,11,650993.0,650993.0,30.12.2016,Ремонт фундаментов,3428.8,"3381,85600",189.86030097993466,0.0
5076994,37705000,45020000503,Курганская область,9,162877.0,327692.0,10.10.2018,Ремонт фундаментов,1929.0,"1608,20500",169.87662001036807,101.1898549211982
5053861,37701000,45010000180,Курганская область,9,942381.0,942381.0,,Ремонт фундаментов,6725.1,"7209,93700",140.12892001605923,0.0
5071800,37705000,45020000270,Курганская область,9,277497.0,272872.0,,Ремонт фундаментов,2056.1,"125,35900",132.7133894265843,-1.6666846848794714
5053481,37701000,45010000117,Курганская область,9,444753.0,444753.0,30.12.2016,Ремонт фундаментов,3428.8,"3381,85600",129.71097760149323,0.0
5066488,37701000,45010000085,Курганская область,9,390540.0,390540.0,20.07.2016,Ремонт фундаментов,3125.8,"3325,61700",124.94081515132126,0.0
5073662,37705000,45020000141,Курганская область,9,351550.0,351550.0,06.03.2018,Ремонт фундаментов,2834.9,"2175,49336",124.00790151328088,0.0
5073671,37705000,45020000142,Курганская область,9,296787.36,296787.36,27.05.2019,Ремонт фундаментов,2647.3,"2529,78923",112.10945491632984,0.0
5053936,37701000,45010000210,Курганская область,9,166895.0,166895.0,05.09.2017,Ремонт фундаментов,1551.6,"3114,68300",107.56316060840423,0.0
