,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
339664,57701000,10011567,Пермский край,11,1794439.68,303600.0,04.10.2017,Ремонт фундаментов,100.0,,3036.0,0.8308106962949013
340890,57640000,10006618,Пермский край,11,335000.0,668653.81,,Ремонт фундаментов,322.0,,2076.5646273291927,-0.9959815223880598
340772,57851000,10012113,Пермский край,11,215831.87,200122.82,30.09.2016,Ремонт фундаментов,169.0,,1184.158698224852,0.07278373671135772
340760,57851000,10012097,Пермский край,11,556113.93,553921.21,01.08.2017,Ремонт фундаментов,533.0,,1039.2518011257034,0.003942933060497313
339628,57701000,10006901,Пермский край,11,1517957.66,1244842.15,08.12.2017,Ремонт фундаментов,1482.0,,839.9744601889338,0.17992300918327328
340766,57851000,10012074,Пермский край,11,193862.71,192846.26,15.08.2017,Ремонт фундаментов,233.0,,827.6663519313305,0.005243143459616254
339563,57701000,10008778,Пермский край,11,4895172.41,4884827.0,26.12.2018,Ремонт фундаментов,6258.0,,780.5731863215085,0.0021133903228548693
340765,57851000,10012031,Пермский край,11,112766.68,112144.79,01.08.2017,Ремонт фундаментов,167.0,,671.5256886227545,0.005514838248319446
339618,57701000,10006895,Пермский край,11,3948576.05,2171610.46,20.02.2019,Ремонт фундаментов,3482.0,,623.6675646180356,0.4500269381920604
341209,57651000,10003217,Пермский край,11,182137.48,121816.49,26.10.2018,Ремонт фундаментов,224.0,,543.8236160714285,0.33118383981155336
340351,57730000,10016724,Пермский край,9,503965.18,474171.2,15.02.2018,Ремонт фундаментов,1576.0,,300.87005076142134,0.059119124063293386
340441,57616000,10002330,Пермский край,11,220627.0,213016.0,13.07.2017,Ремонт фундаментов,730.0,,291.8027397260274,0.034497137703000995
340544,57616000,10016893,Пермский край,9,1260226.27,1240824.49,26.12.2017,Ремонт фундаментов,5061.0,,245.17377790950405,0.015395473385902381
338840,57722000,10015206,Пермский край,9,116917.74,116917.16,19.09.2016,Ремонт фундаментов,482.0,,242.56672199170126,4.960752748058132e-06
339185,57701000,10008746,Пермский край,9,1128600.99,929399.87,17.11.2016,Ремонт фундаментов,4372.0,,212.58002516010978,0.17650269826539847
338865,57722000,10015391,Пермский край,9,234799.94,229976.88,30.12.2016,Ремонт фундаментов,1124.0,,204.60576512455518,0.020541146645948877
339564,57701000,10008778,Пермский край,9,1573713.74,1206735.62,26.12.2018,Ремонт фундаментов,6258.0,,192.83087567913074,0.23319242291167888
338780,57722000,10014285,Пермский край,9,401332.64,401331.96,19.09.2016,Ремонт фундаментов,2093.0,,191.74962255136168,1.6943550865761007e-06
339741,57701000,10008558,Пермский край,9,543457.84,330541.16,26.07.2019,Ремонт фундаментов,2200.0,,150.2459818181818,0.39178141215149276
339686,57701000,10005878,Пермский край,11,1731116.32,187384.66,15.10.2018,Ремонт фундаментов,1423.0,,131.68282501756852,0.8917550150529457
339633,57701000,10014123,Пермский край,9,573530.75,326080.53,13.03.2019,Ремонт фундаментов,3158.0,,103.25539265357823,0.4314506589228214
339750,57701000,10015109,Пермский край,9,1388482.88,372135.14,26.07.2019,Ремонт фундаментов,3955.0,,94.09232364096081,0.7319843511502281
340438,57616000,10002330,Пермский край,9,160025.0,62977.48,13.07.2017,Ремонт фундаментов,730.0,,86.27052054794521,0.6064522418372129
339487,57701000,10016164,Пермский край,9,2297647.85,464037.6,24.06.2019,Ремонт фундаментов,7290.0,,63.653991769547325,0.7980379804503114
339547,57701000,10009540,Пермский край,11,4005479.2,177195.48,12.10.2018,Ремонт фундаментов,3529.0,,50.211243978464154,0.9557617275855533
341314,57654000,10006389,Пермский край,11,132490.24,132490.24,08.08.2016,Ремонт фундаментов,4550.0,,29.118734065934063,0.0
340552,57616000,10016893,Пермский край,9,1260226.27,111060.0,,Ремонт фундаментов,5061.0,,21.94427978660344,0.9118729686534784
341002,57646000,10002794,Пермский край,9,129453.14,5720.0,,Ремонт фундаментов,387.0,,14.780361757105943,0.955814127026969
340927,57646000,10016429,Пермский край,9,102690.39,0.0,,Ремонт фундаментов,314.0,,0.0,1.0
340946,57646000,10016446,Пермский край,11,507815.16,0.0,,Ремонт фундаментов,548.0,,0.0,1.0
340709,57726000,10014488,Пермский край,11,218400.3,0.0,,Ремонт фундаментов,4566.6,,0.0,1.0
340926,57646000,10016424,Пермский край,9,171428.05,0.0,,Ремонт фундаментов,485.0,,0.0,1.0
340910,57644000,10008413,Пермский край,11,235200.0,0.0,,Ремонт фундаментов,2819.2,,0.0,1.0
340908,57642000,10016561,Пермский край,11,204044.05,0.0,,Ремонт фундаментов,281.0,,0.0,1.0
340974,57646000,10001838,Пермский край,9,169297.68,0.0,,Ремонт фундаментов,491.0,,0.0,1.0
340777,57851000,10012137,Пермский край,11,477876.18,0.0,,Ремонт фундаментов,453.0,,0.0,1.0
340959,57646000,10001715,Пермский край,11,196759.32,0.0,,Ремонт фундаментов,1626.6,,0.0,1.0
340701,57726000,10014421,Пермский край,11,191055.04,0.0,,Ремонт фундаментов,3495.8,,0.0,1.0
340963,57646000,10016445,Пермский край,9,152254.74,0.0,,Ремонт фундаментов,516.2,,0.0,1.0
338527,57604000,10013723,Пермский край,11,242850.0,0.0,,Ремонт фундаментов,1333.65,,0.0,1.0
340978,57646000,10001840,Пермский край,11,471095.57,0.0,,Ремонт фундаментов,456.0,,0.0,1.0
340986,57646000,10001930,Пермский край,11,466609.94,0.0,,Ремонт фундаментов,455.0,,0.0,1.0
341319,57654000,10006400,Пермский край,11,285000.36,0.0,,Ремонт фундаментов,3084.0,,0.0,1.0
341259,57654000,10004247,Пермский край,9,213388.0,0.0,,Ремонт фундаментов,2137.6,,0.0,1.0
341177,57646000,10002996,Пермский край,11,653024.42,0.0,,Ремонт фундаментов,682.0,,0.0,1.0
341169,57646000,10002974,Пермский край,11,656946.74,0.0,,Ремонт фундаментов,620.0,,0.0,1.0
341161,57646000,10001690,Пермский край,11,571031.26,0.0,,Ремонт фундаментов,601.0,,0.0,1.0
341156,57646000,10016491,Пермский край,9,389803.49,0.0,,Ремонт фундаментов,1626.0,,0.0,1.0
341154,57646000,10002877,Пермский край,11,538901.62,0.0,,Ремонт фундаментов,515.0,,0.0,1.0
341146,57646000,10001922,Пермский край,11,409026.96,0.0,,Ремонт фундаментов,360.0,,0.0,1.0
341095,57646000,10002934,Пермский край,11,299499.71,0.0,,Ремонт фундаментов,499.0,,0.0,1.0
341094,57646000,10002931,Пермский край,11,261971.88,0.0,,Ремонт фундаментов,499.0,,0.0,1.0
341089,57646000,10002930,Пермский край,11,267492.61,0.0,,Ремонт фундаментов,415.0,,0.0,1.0
341087,57646000,10002929,Пермский край,11,219646.27,0.0,,Ремонт фундаментов,321.0,,0.0,1.0
341083,57646000,10002927,Пермский край,11,225101.28,0.0,,Ремонт фундаментов,338.0,,0.0,1.0
341059,57646000,10016472,Пермский край,11,397969.36,0.0,,Ремонт фундаментов,411.0,,0.0,1.0
341054,57646000,10003893,Пермский край,9,331753.1,0.0,,Ремонт фундаментов,1393.4,,0.0,1.0
341040,57646000,10003896,Пермский край,9,519635.51,0.0,,Ремонт фундаментов,2172.5,,0.0,1.0
341039,57646000,10003896,Пермский край,11,1616371.11,0.0,,Ремонт фундаментов,2172.5,,0.0,1.0
341037,57646000,10003895,Пермский край,9,332137.37,0.0,,Ремонт фундаментов,1456.9,,0.0,1.0
341035,57646000,10003894,Пермский край,9,315895.56,0.0,,Ремонт фундаментов,1405.3,,0.0,1.0
340586,57624000,10003335,Пермский край,9,324648.11,0.0,,Ремонт фундаментов,950.0,,0.0,1.0
340992,57646000,10001932,Пермский край,11,436524.92,0.0,,Ремонт фундаментов,561.0,,0.0,1.0
340591,57624000,10003337,Пермский край,9,448043.02,0.0,,Ремонт фундаментов,1186.0,,0.0,1.0
340160,57701000,10008782,Пермский край,11,5403734.84,0.0,,Ремонт фундаментов,7443.0,,0.0,1.0
340577,57620000,10005301,Пермский край,11,124137.23,0.0,,Ремонт фундаментов,118.0,,0.0,1.0
340568,57763000,10013124,Пермский край,9,402971.14,0.0,17.09.2018,Ремонт фундаментов,1692.5,,0.0,1.0
339489,57701000,10008843,Пермский край,9,433789.59,0.0,18.09.2018,Ремонт фундаментов,1399.0,,0.0,1.0
339434,57701000,10009563,Пермский край,11,1353421.12,0.0,,Ремонт фундаментов,2700.0,,0.0,1.0
339430,57701000,10017251,Пермский край,11,665229.51,0.0,,Ремонт фундаментов,510.0,,0.0,1.0
339407,57701000,10005940,Пермский край,11,3035747.98,0.0,,Ремонт фундаментов,3703.0,,0.0,1.0
339406,57701000,10005940,Пермский край,9,975940.77,0.0,,Ремонт фундаментов,3703.0,,0.0,1.0
339180,57701000,10004751,Пермский край,11,1085735.38,0.0,,Ремонт фундаментов,1333.0,,0.0,1.0
339077,57701000,10012465,Пермский край,9,338297.66,0.0,,Ремонт фундаментов,3398.0,,0.0,1.0
339024,57701000,10004749,Пермский край,11,1058641.8,0.0,,Ремонт фундаментов,1265.0,,0.0,1.0
339017,57701000,10011429,Пермский край,9,489437.01,0.0,,Ремонт фундаментов,3184.2,,0.0,1.0
339016,57701000,10011427,Пермский край,11,220252.9,0.0,,Ремонт фундаментов,3548.0,,0.0,1.0
338996,57701000,10009846,Пермский край,11,1560749.58,0.0,,Ремонт фундаментов,2025.0,,0.0,1.0
338962,57701000,10010760,Пермский край,9,619650.0,0.0,,Ремонт фундаментов,3087.3,,0.0,1.0
338936,57701000,10010678,Пермский край,9,691609.15,0.0,,Ремонт фундаментов,3026.3,,0.0,1.0
338904,57701000,10011718,Пермский край,9,440142.86,0.0,12.09.2018,Ремонт фундаментов,1654.0,,0.0,1.0
