,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
135671,35652000,9102011340,Республика Крым,11,10300000.0,10479235.34,,Ремонт фундаментов,987.0,"0,00000",10617.259716312057,-0.017401489320388337
127697,35627000,9102008532,Республика Крым,11,12600000.0,676011.49,,Ремонт фундаментов,957.3,"2758,87000",706.1647237020787,0.9463482944444445
126500,35620000,9102009710,Республика Крым,11,3888000.0,208597.84,,Ремонт фундаментов,388.8,"1569,98000",536.5170781893004,0.94634829218107
126496,35620000,9102009709,Республика Крым,11,7405000.0,397290.87,,Ремонт фундаментов,740.5,"1974,74000",536.5170425388251,0.9463482957461175
131026,35639000,9102011061,Республика Крым,11,12400000.0,665281.15,,Ремонт фундаментов,1498.3,"5591,24000",444.0239938597077,0.9463482943548387
127016,35620000,9102010831,Республика Крым,11,26417200.0,904815.52,,Ремонт фундаментов,2108.0,"1727,07000",429.22937381404176,0.9657489998940084
125976,35620000,9102009027,Республика Крым,11,12428200.0,666794.14,,Ремонт фундаментов,2485.7,"0,00000",268.252057770447,0.9463482933972739
131135,35639000,9102011087,Республика Крым,11,16740000.0,898129.56,,Ремонт фундаментов,3368.8,"10170,20000",266.60222037520776,0.94634829390681
98258,35715000,9102002762,Республика Крым,9,352885.0,303309.73,,Ремонт фундаментов,1400.0,"0,00000",216.64980714285713,0.14048562562874597
130279,35635000,9102010704,Республика Крым,11,14708000.0,514780.0,,Ремонт фундаментов,2436.6,"5456,26000",211.26980218337027,0.965
126507,35620000,9102009711,Республика Крым,11,2386000.0,46290.09,,Ремонт фундаментов,238.6,"1114,90000",194.00708298407375,0.9805992917015927
129703,35631000,9102010289,Республика Крым,11,12920000.0,691874.54,,Ремонт фундаментов,3896.5,"6887,66000",177.5630796868985,0.946449339009288
89398,35709000,9102000743,Республика Крым,9,872300.0,770357.09,,Ремонт фундаментов,4397.7,"0,00000",175.17272437865248,0.11686680041270209
90332,35709000,9102000981,Республика Крым,9,499280.0,674669.35,,Ремонт фундаментов,4172.1,"0,00000",161.70977445411182,-0.3512845497516423
130272,35635000,9102010703,Республика Крым,11,10708000.0,374780.0,,Ремонт фундаментов,2681.0,"5521,48000",139.7911227154047,0.965
89395,35709000,9102000743,Республика Крым,11,22000000.0,454469.68,,Ремонт фундаментов,4397.7,"0,00000",103.34258362325761,0.9793422872727273
130271,35635000,9102010702,Республика Крым,11,5800000.0,203000.0,,Ремонт фундаментов,2647.0,"5492,03000",76.69059312429165,0.965
